Date,Open,High,Low,Close
12/29/20,"7,123.12","7,173.27","7,120.82","7,139.71"
12/28/20,"7,142.95","7,142.95","7,058.66","7,122.25"
12/23/20,"7,169.05","7,206.46","7,075.18","7,204.38"
12/22/20,"7,206.33","7,206.54","7,081.14","7,202.39"
12/21/20,"7,244.85","7,251.02","7,157.88","7,224.89"
12/18/20,"7,266.96","7,286.67","7,222.01","7,272.80"
12/17/20,"7,271.65","7,298.02","7,236.82","7,298.02"
12/16/20,"7,242.47","7,299.70","7,202.49","7,299.70"
12/15/20,"7,281.91","7,290.60","7,214.14","7,227.73"
12/14/20,"7,244.38","7,311.21","7,214.94","7,281.35"
12/11/20,"7,183.88","7,304.90","7,181.22","7,246.16"
12/10/20,"7,114.69","7,166.85","7,114.69","7,154.43"
12/9/20,"7,197.07","7,247.34","7,102.66","7,102.66"
12/7/20,"7,173.70","7,203.67","7,142.30","7,203.67"
12/4/20,"7,184.57","7,196.96","7,097.35","7,134.56"
12/3/20,"7,077.63","7,194.13","7,022.86","7,194.13"
12/2/20,"7,019.25","7,080.62","6,988.27","7,080.62"
12/1/20,"6,740.30","7,009.56","6,740.30","7,009.56"
11/27/20,"6,885.07","6,909.03","6,791.46","6,791.46"
11/26/20,"6,987.32","6,987.32","6,843.11","6,927.75"
11/25/20,"7,125.44","7,146.13","6,994.79","7,001.51"
11/24/20,"7,211.13","7,228.12","7,016.11","7,108.67"
11/23/20,"7,163.98","7,263.71","7,158.68","7,178.62"
11/20/20,"7,024.23","7,169.79","7,021.18","7,169.79"
11/19/20,"7,008.96","7,012.54","6,974.65","6,997.62"
11/18/20,"6,971.90","7,051.78","6,970.49","7,051.78"
11/17/20,"6,950.52","6,971.60","6,921.12","6,959.14"
11/16/20,"6,991.39","6,991.39","6,857.89","6,918.05"
11/13/20,"6,933.89","6,972.66","6,917.02","6,969.88"
11/11/20,"6,968.93","7,079.18","6,944.11","7,024.26"
11/10/20,"6,792.58","7,035.48","6,792.58","7,035.48"
11/9/20,"6,665.08","6,685.85","6,619.59","6,685.85"
11/6/20,"6,686.13","6,709.73","6,571.00","6,685.69"
11/5/20,"6,477.16","6,702.75","6,477.16","6,644.77"
11/4/20,"6,374.47","6,464.05","6,334.09","6,464.05"
11/3/20,"6,282.89","6,358.42","6,250.87","6,335.56"
10/30/20,"6,233.60","6,328.38","6,202.90","6,324.00"
10/29/20,"6,326.31","6,326.31","6,248.48","6,249.39"
10/28/20,"6,413.60","6,415.03","6,377.79","6,377.79"
10/27/20,"6,467.45","6,467.45","6,381.19","6,415.08"
10/26/20,"6,496.19","6,517.26","6,453.20","6,491.19"
10/23/20,"6,370.92","6,484.45","6,370.92","6,484.06"
10/22/20,"6,309.87","6,344.63","6,241.31","6,344.63"
10/21/20,"6,146.04","6,290.68","6,146.04","6,278.59"
10/20/20,"6,022.61","6,133.00","6,018.33","6,112.71"
10/19/20,"5,913.78","6,019.26","5,913.78","6,019.26"
10/16/20,"5,921.34","5,939.62","5,898.47","5,898.47"
10/15/20,"5,930.43","5,950.50","5,919.55","5,938.33"
