Date,Open,High,Low,Close
12/30/21,"1,657.29","1,660.85","1,652.37","1,657.62"
12/29/21,"1,643.43","1,654.98","1,641.75","1,653.33"
12/28/21,"1,640.97","1,650.28","1,640.61","1,641.52"
12/27/21,"1,641.28","1,642.42","1,632.79","1,636.50"
12/24/21,"1,642.64","1,644.12","1,635.19","1,637.22"
12/23/21,"1,633.20","1,645.71","1,632.90","1,641.47"
12/22/21,"1,628.42","1,632.33","1,624.77","1,626.79"
12/21/21,"1,623.20","1,628.84","1,618.57","1,622.25"
12/20/21,"1,631.22","1,633.80","1,612.96","1,615.80"
12/17/21,"1,644.10","1,646.85","1,637.09","1,641.73"
12/16/21,"1,629.48","1,645.44","1,624.31","1,645.32"
12/15/21,"1,628.01","1,630.89","1,622.49","1,623.66"
12/14/21,"1,619.69","1,630.93","1,616.51","1,630.64"
12/13/21,"1,626.26","1,628.93","1,618.57","1,625.83"
12/9/21,"1,621.63","1,623.82","1,612.57","1,618.23"
12/8/21,"1,617.09","1,621.21","1,610.30","1,618.36"
12/7/21,"1,600.17","1,611.58","1,595.14","1,609.28"
12/3/21,"1,593.08","1,597.25","1,587.53","1,588.19"
12/2/21,"1,583.38","1,592.00","1,580.08","1,591.84"
12/1/21,"1,576.26","1,591.86","1,563.04","1,590.81"
11/30/21,"1,601.52","1,612.10","1,565.95","1,568.69"
11/29/21,"1,608.01","1,617.55","1,587.78","1,589.69"
11/26/21,"1,639.54","1,640.91","1,608.55","1,610.61"
11/25/21,"1,654.94","1,656.46","1,644.87","1,648.46"
11/24/21,"1,650.54","1,658.60","1,647.90","1,649.82"
11/23/21,"1,652.62","1,654.49","1,644.02","1,646.42"
11/22/21,"1,648.14","1,653.33","1,645.09","1,649.54"
11/19/21,"1,653.36","1,656.27","1,641.52","1,645.06"
11/18/21,"1,643.39","1,653.68","1,642.50","1,651.02"
11/17/21,"1,646.86","1,651.51","1,642.36","1,644.60"
11/16/21,"1,642.05","1,648.43","1,639.08","1,644.01"
11/15/21,"1,636.41","1,642.60","1,635.22","1,638.73"
11/12/21,"1,636.63","1,640.66","1,632.88","1,633.94"
11/11/21,"1,629.28","1,634.44","1,626.80","1,632.44"
11/10/21,"1,627.67","1,633.43","1,625.13","1,630.47"
11/9/21,"1,626.80","1,633.76","1,623.64","1,631.69"
11/8/21,"1,631.34","1,635.62","1,621.35","1,626.13"
11/5/21,"1,627.45","1,628.60","1,619.62","1,626.22"
11/4/21,"1,613.45","1,627.57","1,607.73","1,626.27"
11/3/21,"1,620.52","1,623.08","1,607.72","1,611.92"
11/2/21,"1,616.74","1,621.69","1,608.64","1,617.89"
11/1/21,"1,627.59","1,632.73","1,611.39","1,613.78"
10/29/21,"1,626.27","1,629.25","1,619.14","1,623.43"
10/28/21,"1,626.06","1,632.30","1,622.56","1,624.31"
10/27/21,"1,632.44","1,635.68","1,626.56","1,627.61"
10/26/21,"1,635.61","1,639.93","1,627.68","1,635.97"
10/25/21,"1,645.00","1,645.91","1,631.29","1,634.20"
10/21/21,"1,644.39","1,646.50","1,639.16","1,643.42"
10/20/21,"1,633.88","1,639.41","1,632.62","1,637.55"
10/19/21,"1,648.48","1,649.66","1,627.12","1,630.39"
10/18/21,"1,641.97","1,648.00","1,639.92","1,643.92"
10/15/21,"1,646.35","1,651.41","1,635.14","1,638.34"
10/14/21,"1,647.56","1,648.62","1,637.42","1,640.97"
10/12/21,"1,644.56","1,646.85","1,637.49","1,643.64"
10/11/21,"1,644.38","1,646.50","1,629.95","1,633.44"
10/8/21,"1,641.92","1,644.16","1,635.77","1,639.41"
10/7/21,"1,627.15","1,637.82","1,624.59","1,633.72"
10/6/21,"1,626.65","1,631.81","1,617.24","1,619.48"
10/5/21,"1,612.50","1,626.44","1,611.42","1,624.24"
10/4/21,"1,611.69","1,619.62","1,610.96","1,614.48"
10/1/21,"1,600.59","1,609.48","1,593.32","1,605.17"
9/30/21,"1,616.99","1,621.15","1,601.79","1,605.68"
9/29/21,"1,605.19","1,622.62","1,604.46","1,616.98"
9/28/21,"1,623.88","1,626.55","1,614.31","1,616.50"
9/27/21,"1,637.30","1,639.97","1,616.60","1,620.02"
9/23/21,"1,632.92","1,637.65","1,623.00","1,631.15"
9/22/21,"1,614.74","1,623.86","1,611.76","1,619.59"
9/21/21,"1,604.64","1,618.19","1,591.81","1,614.86"
9/20/21,"1,617.44","1,620.72","1,601.16","1,603.06"
9/17/21,"1,632.18","1,635.04","1,617.31","1,625.65"
9/16/21,"1,633.28","1,636.01","1,628.57","1,631.70"
9/15/21,"1,624.17","1,630.05","1,620.84","1,628.04"
9/14/21,"1,639.90","1,640.40","1,621.96","1,623.84"
9/13/21,"1,634.43","1,642.63","1,627.29","1,633.76"
9/10/21,"1,633.10","1,639.65","1,620.58","1,635.35"
9/9/21,"1,637.65","1,646.07","1,626.95","1,629.12"
9/8/21,"1,632.18","1,641.29","1,627.17","1,640.45"
9/7/21,"1,653.67","1,658.08","1,635.11","1,636.45"
9/6/21,"1,652.33","1,655.04","1,644.56","1,648.37"
9/3/21,"1,654.00","1,657.79","1,644.12","1,650.33"
9/2/21,"1,634.25","1,652.03","1,633.12","1,647.75"
9/1/21,"1,643.01","1,646.07","1,628.16","1,634.48"
8/31/21,"1,632.65","1,643.76","1,628.12","1,638.75"
8/30/21,"1,621.68","1,634.92","1,621.42","1,633.77"
8/27/21,"1,602.16","1,615.22","1,600.00","1,611.20"
8/26/21,"1,601.99","1,603.99","1,595.69","1,601.91"
8/25/21,"1,591.29","1,601.09","1,588.37","1,600.49"
8/24/21,"1,590.12","1,598.39","1,585.46","1,586.98"
8/23/21,"1,566.10","1,583.13","1,565.93","1,582.07"
8/20/21,"1,549.92","1,554.45","1,545.92","1,553.18"
8/19/21,"1,546.70","1,553.90","1,543.75","1,544.28"
8/18/21,"1,546.71","1,557.08","1,545.33","1,551.87"
8/17/21,"1,536.94","1,545.95","1,533.32","1,544.22"
8/16/21,"1,527.08","1,532.94","1,512.28","1,531.24"
8/13/21,"1,530.68","1,541.08","1,525.51","1,528.32"
8/11/21,"1,549.41","1,550.74","1,531.58","1,532.71"
8/10/21,"1,544.31","1,551.61","1,539.40","1,542.62"
8/9/21,"1,528.16","1,543.71","1,525.29","1,540.19"
8/6/21,"1,530.43","1,537.27","1,514.67","1,521.72"
8/5/21,"1,544.83","1,547.38","1,526.91","1,527.66"
8/4/21,"1,542.11","1,548.63","1,533.36","1,545.86"
8/3/21,"1,525.24","1,540.52","1,524.37","1,540.51"
8/2/21,"1,523.42","1,525.73","1,513.71","1,525.11"
7/30/21,"1,536.91","1,539.03","1,516.77","1,521.92"
7/29/21,"1,541.80","1,545.08","1,533.94","1,537.78"
7/27/21,"1,547.40","1,551.43","1,531.81","1,537.63"
7/23/21,"1,550.86","1,553.25","1,540.35","1,545.10"
7/22/21,"1,549.85","1,554.65","1,546.26","1,552.36"
7/21/21,"1,543.17","1,545.39","1,532.34","1,540.88"
7/20/21,"1,551.26","1,552.38","1,530.62","1,538.86"
7/19/21,"1,557.81","1,563.88","1,551.79","1,556.01"
7/16/21,"1,569.23","1,575.66","1,567.17","1,574.37"
7/15/21,"1,575.05","1,580.43","1,570.96","1,572.01"
7/14/21,"1,570.12","1,573.04","1,561.00","1,569.70"
7/13/21,"1,557.26","1,571.82","1,555.88","1,570.99"
7/12/21,"1,558.63","1,561.72","1,544.71","1,549.84"
7/9/21,"1,537.97","1,554.60","1,535.69","1,552.09"
7/8/21,"1,563.96","1,567.33","1,540.56","1,543.67"
7/7/21,"1,585.04","1,587.70","1,574.14","1,576.60"
7/6/21,"1,585.96","1,594.15","1,585.34","1,591.43"
7/5/21,"1,580.69","1,582.46","1,573.67","1,579.28"
7/2/21,"1,591.37","1,596.05","1,574.92","1,578.49"
7/1/21,"1,591.04","1,596.36","1,584.69","1,593.75"
