Date,Open,High,Low,Close
12/31/20,"2,853.60","2,861.61","2,843.81","2,843.81"
12/30/20,"2,855.06","2,878.13","2,846.22","2,869.22"
12/29/20,"2,848.65","2,852.65","2,840.38","2,848.14"
12/28/20,"2,845.85","2,840.14","2,840.14","2,840.14"
12/24/20,"2,840.65","2,847.80","2,834.14","2,842.04"
12/23/20,"2,817.87","2,838.45","2,805.24","2,833.40"
12/22/20,"2,842.45","2,844.82","2,803.97","2,827.32"
12/21/20,"2,847.19","2,854.61","2,831.40","2,846.52"
12/18/20,"2,858.45","2,862.93","2,845.55","2,848.98"
12/17/20,"2,866.97","2,867.11","2,849.43","2,858.02"
12/16/20,"2,866.12","2,875.48","2,862.43","2,872.80"
12/15/20,"2,863.10","2,863.97","2,841.51","2,856.72"
12/14/20,"2,836.30","2,870.44","2,835.22","2,858.14"
12/11/20,"2,836.88","2,848.97","2,818.35","2,821.70"
12/10/20,"2,833.17","2,834.79","2,820.05","2,824.96"
12/9/20,"2,825.72","2,849.16","2,825.32","2,843.07"
12/8/20,"2,820.99","2,829.51","2,817.27","2,825.63"
12/7/20,"2,842.58","2,853.23","2,824.23","2,825.51"
12/4/20,"2,825.56","2,841.46","2,819.53","2,839.89"
12/3/20,"2,809.74","2,822.40","2,792.74","2,822.34"
12/2/20,"2,805.50","2,817.33","2,796.71","2,810.95"
12/1/20,"2,802.94","2,824.54","2,793.22","2,814.12"
11/30/20,"2,869.89","2,869.89","2,797.19","2,805.95"
11/27/20,"2,846.95","2,866.34","2,845.16","2,855.82"
11/26/20,"2,856.37","2,857.48","2,839.80","2,857.48"
11/25/20,"2,903.16","2,920.55","2,858.36","2,869.55"
11/24/20,"2,866.12","2,891.63","2,864.42","2,891.63"
11/23/20,"2,828.32","2,852.27","2,825.83","2,848.78"
11/20/20,"2,780.77","2,814.13","2,779.21","2,813.01"
11/19/20,"2,782.22","2,795.06","2,766.55","2,777.00"
11/18/20,"2,774.78","2,795.67","2,774.78","2,788.59"
11/17/20,"2,764.13","2,781.58","2,764.13","2,778.55"
11/16/20,"2,731.56","2,753.44","2,724.93","2,748.00"
11/13/20,"2,700.72","2,715.92","2,685.81","2,711.39"
11/12/20,"2,710.71","2,725.47","2,695.89","2,711.90"
11/11/20,"2,698.69","2,713.28","2,673.89","2,713.28"
11/10/20,"2,672.98","2,705.00","2,662.32","2,705.00"
11/9/20,"2,600.96","2,622.98","2,600.67","2,609.36"
11/6/20,"2,591.96","2,591.96","2,562.86","2,578.68"
11/5/20,"2,543.91","2,588.62","2,541.76","2,588.62"
11/4/20,"2,502.18","2,521.14","2,489.72","2,515.98"
11/3/20,"2,453.29","2,497.22","2,453.26","2,497.22"
11/2/20,"2,428.98","2,449.02","2,423.70","2,443.13"
10/30/20,"2,423.84","2,447.85","2,420.84","2,423.84"
10/29/20,"2,450.68","2,472.92","2,450.68","2,450.68"
10/28/20,"2,483.48","2,507.89","2,483.48","2,483.48"
10/27/20,"2,515.33","2,519.00","2,503.37","2,512.87"
10/26/20,"2,540.86","2,541.74","2,521.19","2,523.31"
10/23/20,"2,537.05","2,537.39","2,537.39","2,537.39"
10/22/20,"2,518.75","2,530.76","2,513.52","2,528.41"
10/21/20,"2,525.61","2,545.52","2,521.70","2,525.61"
10/20/20,"2,542.08","2,542.39","2,523.21","2,528.64"
10/19/20,"2,540.55","2,549.52","2,537.31","2,543.57"
10/16/20,"2,530.38","2,533.02","2,533.02","2,533.02"
10/15/20,"2,543.34","2,523.62","2,523.62","2,523.62"
10/14/20,"2,562.44","2,555.59","2,555.59","2,555.59"
10/13/20,"2,556.40","2,570.19","2,547.12","2,567.65"
10/12/20,"2,552.42","2,555.93","2,534.37","2,552.42"
10/9/20,"2,547.94","2,547.97","2,532.41","2,532.96"
10/8/20,"2,545.42","2,543.11","2,543.11","2,543.11"
10/7/20,"2,523.19","2,538.36","2,538.36","2,538.36"
10/6/20,"2,525.70","2,540.71","2,525.69","2,529.26"
10/5/20,"2,512.91","2,522.40","2,504.89","2,517.23"
10/2/20,"2,500.34","2,496.11","2,496.11","2,496.11"
10/1/20,"2,479.29","2,504.12","2,477.09","2,500.74"
9/30/20,"2,466.62","2,489.17","2,465.45","2,466.62"
9/29/20,"2,496.77","2,471.61","2,471.61","2,471.61"
9/28/20,"2,483.01","2,494.16","2,471.07","2,483.01"
9/25/20,"2,458.38","2,474.12","2,457.26","2,472.28"
9/24/20,"2,467.15","2,450.82","2,450.82","2,450.82"
9/23/20,"2,463.95","2,481.14","2,481.14","2,481.14"
9/22/20,"2,463.29","2,481.77","2,455.33","2,463.29"
9/21/20,"2,499.39","2,515.05","2,481.66","2,485.71"
9/18/20,"2,497.71","2,506.92","2,492.76","2,497.71"
9/17/20,"2,503.54","2,500.78","2,500.78","2,500.78"
9/16/20,"2,505.15","2,508.16","2,488.09","2,505.15"
9/15/20,"2,486.70","2,502.10","2,482.91","2,485.83"
9/14/20,"2,489.68","2,482.55","2,482.55","2,482.55"
9/11/20,"2,490.09","2,492.42","2,476.82","2,490.09"
9/10/20,"2,507.64","2,492.09","2,492.09","2,492.09"
9/9/20,"2,499.33","2,505.41","2,478.11","2,499.33"
9/8/20,"2,515.26","2,504.76","2,504.76","2,504.76"
9/7/20,"2,506.18","2,511.21","2,511.21","2,511.21"
9/4/20,"2,494.42","2,509.64","2,509.64","2,509.64"
9/3/20,"2,546.01","2,546.87","2,519.13","2,531.79"
9/2/20,"2,540.65","2,539.94","2,539.94","2,539.94"
9/1/20,"2,521.81","2,544.00","2,508.68","2,538.55"
8/31/20,"2,557.44","2,560.43","2,523.34","2,532.51"
8/28/20,"2,547.71","2,573.49","2,532.41","2,539.63"
8/27/20,"2,539.98","2,545.79","2,517.07","2,519.81"
8/26/20,"2,548.28","2,548.57","2,528.94","2,542.08"
8/25/20,"2,544.61","2,575.37","2,542.19","2,559.03"
8/24/20,"2,535.69","2,544.21","2,526.51","2,538.61"
8/21/20,"2,528.54","2,547.83","2,526.27","2,528.54"
