"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2020","2.89","2.91","2.92","2.88","1.81M","-0.58%"
"Dec 30, 2020","2.91","2.89","2.91","2.89","1.18M","0.76%"
"Dec 29, 2020","2.89","2.89","2.89","2.88","1.24M","0.00%"
"Dec 28, 2020","2.88","2.88","2.89","2.88","1.18M","0.00%"
"Dec 24, 2020","2.88","2.88","2.88","2.87","1.28M","0.00%"
"Dec 23, 2020","2.88","2.86","2.88","2.85","2.50M","0.63%"
"Dec 22, 2020","2.86","2.89","2.89","2.84","2.16M","-0.87%"
"Dec 21, 2020","2.88","2.89","2.90","2.88","1.54M","-0.35%"
"Dec 18, 2020","2.89","2.91","2.91","2.89","2.06M","-0.17%"
"Dec 17, 2020","2.90","2.90","2.91","2.89","1.55M","-0.31%"
"Dec 16, 2020","2.91","2.90","2.91","2.90","1.55M","0.48%"
"Dec 15, 2020","2.89","2.90","2.90","2.88","1.77M","0.00%"
"Dec 14, 2020","2.90","2.89","2.91","2.87","1.99M","1.36%"
"Dec 11, 2020","2.86","2.87","2.88","2.86","985.09K","-0.35%"
"Dec 10, 2020","2.87","2.88","2.88","2.85","677.50K","-0.45%"
"Dec 09, 2020","2.88","2.88","2.88","2.87","816.04K","0.77%"
"Dec 08, 2020","2.86","2.87","2.87","2.86","613.07K","-0.31%"
"Dec 07, 2020","2.87","2.89","2.89","2.87","1.38M","-0.31%"
"Dec 04, 2020","2.88","2.86","2.88","2.86","2.59M","0.84%"
"Dec 03, 2020","2.86","2.85","2.86","2.84","688.58K","0.35%"
"Dec 02, 2020","2.85","2.85","2.86","2.83","2.98M","0.00%"
"Dec 01, 2020","2.85","2.84","2.86","2.83","2.17M","0.32%"
"Nov 30, 2020","2.84","2.90","2.90","2.84","2.67M","-2.00%"
"Nov 27, 2020","2.90","2.89","2.90","2.88","1.22M","0.28%"
"Nov 26, 2020","2.89","2.90","2.90","2.87","1.93M","-0.38%"
"Nov 25, 2020","2.90","2.93","2.96","2.89","5.39M","-0.51%"
"Nov 24, 2020","2.91","2.89","2.92","2.89","3.08M","1.04%"
"Nov 23, 2020","2.88","2.85","2.88","2.85","3.12M","1.37%"
"Nov 20, 2020","2.85","2.82","2.85","2.81","3.41M","1.25%"
"Nov 19, 2020","2.81","2.82","2.83","2.80","4.24M","-0.21%"
"Nov 18, 2020","2.82","2.81","2.83","2.81","2.94M","0.32%"
"Nov 17, 2020","2.81","2.80","2.81","2.80","3.06M","1.01%"
"Nov 16, 2020","2.78","2.76","2.78","2.76","3.10M","1.39%"
"Nov 13, 2020","2.74","2.73","2.74","2.71","2.09M","0.00%"
"Nov 12, 2020","2.74","2.74","2.76","2.73","2.24M","0.00%"
"Nov 11, 2020","2.74","2.73","2.74","2.70","2.57M","0.37%"
"Nov 10, 2020","2.73","2.67","2.73","2.67","6.82M","3.41%"
"Nov 09, 2020","2.64","2.62","2.65","2.62","2.45M","1.19%"
"Nov 06, 2020","2.61","2.62","2.62","2.59","1.27M","-0.31%"
"Nov 05, 2020","2.62","2.57","2.62","2.57","3.19M","3.03%"
"Nov 04, 2020","2.54","2.54","2.55","2.52","2.52M","0.55%"
"Nov 03, 2020","2.53","2.49","2.53","2.49","1.51M","2.06%"
"Nov 02, 2020","2.47","2.46","2.48","2.46","3.01M","0.77%"
"Oct 30, 2020","2.46","2.47","2.48","2.45","7.96M","-1.76%"
"Oct 29, 2020","2.50","2.51","2.51","2.48","5.96M","-0.68%"
"Oct 28, 2020","2.52","2.55","2.55","2.52","2.53M","-1.10%"
"Oct 27, 2020","2.55","2.55","2.55","2.53","1.34M","-0.31%"
"Oct 26, 2020","2.55","2.57","2.57","2.55","1.05M","-0.39%"
"Oct 23, 2020","2.56","2.56","2.57","2.55","611.47K","0.35%"
"Oct 22, 2020","2.55","2.55","2.56","2.54","567.93K","0.00%"
"Oct 21, 2020","2.55","2.56","2.57","2.55","811.59K","-0.31%"
"Oct 20, 2020","2.56","2.57","2.57","2.55","893.98K","-0.43%"
"Oct 19, 2020","2.57","2.56","2.58","2.56","1.36M","0.47%"
"Oct 16, 2020","2.56","2.56","2.58","2.55","1.04M","0.43%"
"Oct 15, 2020","2.55","2.57","2.57","2.54","1.66M","-1.32%"
"Oct 14, 2020","2.58","2.60","2.60","2.58","1.31M","-0.42%"
"Oct 13, 2020","2.59","2.58","2.60","2.57","1.18M","0.54%"
"Oct 12, 2020","2.58","2.56","2.58","2.56","1.08M","0.74%"
"Oct 09, 2020","2.56","2.57","2.58","2.56","2.97M","-0.43%"
"Oct 08, 2020","2.57","2.57","2.57","2.56","608.59K","0.00%"
"Oct 07, 2020","2.57","2.56","2.57","2.54","898.66K","0.39%"
"Oct 06, 2020","2.56","2.55","2.57","2.55","2.25M","0.63%"
"Oct 05, 2020","2.54","2.53","2.55","2.53","1.00M","0.91%"
"Oct 02, 2020","2.52","2.53","2.53","2.49","1.09M","0.00%"
"Oct 01, 2020","2.52","2.51","2.53","2.51","901.25K","1.12%"
"Sep 30, 2020","2.49","2.50","2.52","2.49","1.02M","0.00%"
