Date,FWDN5,FWHS5,FWBRW5,FWG5,FWE5,FWFI5,FWOFI5,FWI5,FWDN1,FWHS1,FWBRW1,FWG1,FWE1,FWFI1,FWOFI1,FWI1,RWDN5,RWHS5,RWBRW5,RWG5,RWE5,RWFI5,RWOFI5,RWI5,RWDN1,RWHS1,RWBRW1,RWG1,RWE1,RWFI1,RWOFI1,RWI1
12/31/21,1.1008,1.03446,1.14456,1.056568057,1.069064036,1.066468536,0.930662817,0.630244831,1.55688,1.56527,1.87547,1.494324365,1.511997667,1.508326802,1.316254182,0.891367291,1.07255,0.99642,1.14456,1.043863426,1.061950429,1.05844507,0.899969265,0.596904623,1.51693,1.56527,1.87547,1.476355965,1.501936757,1.496979062,1.272843706,0.844213599
12/30/21,1.1008,1.03446,1.14464,1.100006373,1.133486194,1.115506477,1.044995332,0.85110821,1.55688,1.56527,1.87561,1.555760006,1.603111155,1.577682098,1.47795684,1.203738583,1.07274,0.99642,1.14464,1.085512009,1.121564392,1.106143032,1.022502717,0.821877051,1.51719,1.56527,1.87561,1.53526035,1.586249923,1.5644392,1.446145106,1.162396398
12/29/21,1.10074,1.03446,1.14473,1.135376458,1.169133278,1.1448575,1.137807367,1.002254935,1.55679,1.56527,1.87574,1.605784592,1.653527506,1.61919381,1.609222673,1.417508281,1.07288,0.99642,1.14473,1.119371058,1.154122354,1.136449673,1.125935739,0.972335389,1.51739,1.56527,1.87574,1.583147848,1.632297269,1.60730246,1.592432402,1.375192496
12/28/21,1.10103,1.03446,1.14541,1.167454186,1.197470758,1.229386184,1.409435116,1.685433834,1.55721,1.56527,1.87586,1.651152734,1.693605745,1.738744341,1.993390982,2.383741235,1.073,0.99642,1.14541,1.151569855,1.18133438,1.224863735,1.438789668,1.710583792,1.51757,1.56527,1.87586,1.628687221,1.670783758,1.732348155,2.034907684,2.4193113
12/27/21,1.10031,1.03042,1.1473,1.079990208,1.096024614,1.084064357,1.019479625,0.789385874,1.55619,1.56527,1.87599,1.527450761,1.550128527,1.533212908,1.441869489,1.116443506,1.0726,0.99053,1.1473,1.067395704,1.086729461,1.078610726,1.000993244,0.75100606,1.517,1.56527,1.87599,1.509638114,1.536982215,1.525499733,1.415723847,1.062162203
12/24/21,1.10033,1.03042,1.1479,1.12582187,1.178438704,1.185205773,1.325982107,1.566320617,1.55622,1.56527,1.87612,1.592271355,1.666688348,1.676259142,1.875361798,2.215277139,1.07279,0.99053,1.1479,1.111459347,1.162947062,1.180941703,1.351817858,1.590781542,1.51727,1.56527,1.87612,1.571958165,1.644778223,1.670228387,1.911901794,2.249872693
12/23/21,1.09976,1.02052,1.14849,1.049877188,1.089000958,1.081676373,1.019969961,0.921877582,1.55541,1.56527,1.87625,1.484861342,1.540194837,1.529835536,1.44256298,1.303829057,1.07247,0.98366,1.14849,1.038780791,1.079798286,1.075212013,1.005744011,0.912862225,1.51682,1.56527,1.87625,1.469167496,1.527179322,1.520692869,1.422442948,1.291078466
12/22/21,1.09975,1.02052,1.14909,1.063947939,1.088733199,1.082827962,0.991383941,0.737978367,1.5554,1.56527,1.87637,1.504761874,1.53981614,1.531464251,1.402133226,1.043736887,1.07254,0.98366,1.14909,1.052581409,1.079592884,1.075689642,0.966952715,0.700764218,1.51692,1.56527,1.87637,1.488685973,1.526888818,1.521368388,1.367579677,0.991104206
12/21/21,1.09975,1.02052,1.14967,1.108157397,1.156446522,1.132768893,1.153069911,1.099807672,1.55539,1.56527,1.87649,1.567288153,1.635584385,1.602096663,1.630808779,1.555478978,1.07273,0.99053,1.14967,1.09495972,1.141883025,1.127117711,1.152221092,1.087373936,1.51718,1.57649,1.87649,1.548622427,1.614986954,1.594104089,1.629608279,1.537893709
12/20/21,1.09959,1.02052,1.15026,1.124408034,1.155457953,1.205182228,1.374582488,1.669638585,1.55518,1.56527,1.87662,1.59027174,1.634186233,1.704512224,1.944098245,2.361401713,1.07279,0.99053,1.15026,1.110226921,1.140084867,1.199588451,1.406794666,1.701430615,1.51727,1.57649,1.87662,1.570215122,1.612443784,1.696600838,1.989656543,2.406365787
