Date,FWDN5,FWHS5,FWBRW5,FWG5,FWE5,FWFI5,FWOFI5,FWI5,FWDN1,FWHS1,FWBRW1,FWG1,FWE1,FWFI1,FWOFI1,FWI1,RWDN5,RWHS5,RWBRW5,RWG5,RWE5,RWFI5,RWOFI5,RWI5,RWDN1,RWHS1,RWBRW1,RWG1,RWE1,RWFI1,RWOFI1,RWI1
12/31/21,2.03339,1.77039,1.79391,1.681099313,1.853344324,1.700825317,1.502939133,1.240698797,2.87586,3.01109,3.08935,2.377610839,2.621220246,2.405509703,2.125635497,1.754743986,1.96715,1.73906,1.79391,1.648722659,1.807636272,1.664283682,1.456146986,1.186187143,2.78217,3.01109,3.09516,2.33181992,2.556574476,2.353828172,2.05945647,1.677647113
12/29/21,2.03326,1.77039,1.79392,1.754670648,1.928450656,1.766920468,1.563516219,1.161986226,2.87567,3.01109,3.09002,2.481664182,2.727444565,2.498989337,2.211310826,1.643419294,1.96741,1.73906,1.79392,1.729940332,1.891182666,1.734922898,1.51849682,1.096280105,2.78255,3.01109,3.09521,2.446687625,2.674735735,2.453734563,2.14763903,1.550489874
12/28/21,2.03364,1.77039,1.79393,1.874135028,2.081532445,1.92069,1.891627022,1.794528008,2.87621,3.01109,3.09069,2.650624935,2.94395106,2.71646852,2.675364195,2.538035207,1.96773,1.73906,1.79393,1.860823977,2.062315288,1.904215317,1.865317042,1.751464923,2.783,3.01109,3.09525,2.631798861,2.916771868,2.693168062,2.638153489,2.477130264
12/27/21,2.03409,1.77039,1.79394,1.910894563,2.100058409,1.966349548,1.980594754,1.8779087,2.87685,3.01109,3.09135,2.702614647,2.970152684,2.78104569,2.801192957,2.655962111,1.96785,1.73906,1.79394,1.90591718,2.090781511,1.966029615,1.981217756,1.880500182,2.78317,3.01109,3.09529,2.695575039,2.95703219,2.780593203,2.802074081,2.659627294
12/24/21,2.03384,1.77039,1.79898,1.962623919,2.124752642,2.085618491,2.34911062,2.745381322,2.8765,3.01109,3.09201,2.775776462,3.005078209,2.949730032,3.322391979,3.882845196,1.96799,1.73906,1.79898,1.957546955,2.117784569,2.090208183,2.350919034,2.73499277,2.78337,3.01109,3.09534,2.768596015,2.99522313,2.956221322,3.324949653,3.868152467
12/23/21,2.03342,1.75963,1.87557,1.724077932,1.897206778,1.762498862,1.626486161,1.41811093,2.87591,3.01109,3.09266,2.438396321,2.683255752,2.492735775,2.300370417,2.005661351,1.96755,1.73363,1.87557,1.70992062,1.877983068,1.750538007,1.621630744,1.423954552,2.78274,3.01109,3.09538,2.418373365,2.656067291,2.475819309,2.293503308,2.013926096
12/22/21,2.0335,1.75963,1.87618,1.791545261,1.953188511,1.847847841,1.80800737,1.771033035,2.87602,3.01109,3.09331,2.533816652,2.762431785,2.613446465,2.557099326,2.504805818,1.9678,1.73363,1.87618,1.779041778,1.935539149,1.838943148,1.808638607,1.786883764,2.78309,3.01109,3.09542,2.516132737,2.737469955,2.600852388,2.557992097,2.527223807
12/21/21,2.0332,1.75963,1.87678,1.798255993,1.92720472,1.84619132,1.764700939,1.622126953,2.87559,3.01109,3.09395,2.543307767,2.725682413,2.611103615,2.495850215,2.294205106,1.96791,1.73363,1.87678,1.779882621,1.903435195,1.828921526,1.750454858,1.6191061,2.78325,3.01109,3.09546,2.517321958,2.692064721,2.586678616,2.47570171,2.289932655
12/20/21,2.03301,1.75963,1.87738,1.846982642,1.942258645,1.900885017,1.859022963,1.709247879,2.87533,3.01109,3.09458,2.612222797,2.746973466,2.688457955,2.629251654,2.417421893,1.96809,1.73363,1.87738,1.826175795,1.915310873,1.881922988,1.828843186,1.659828117,2.78351,3.01109,3.0955,2.582795276,2.708860719,2.661639595,2.586567819,2.347526581
12/17/21,2.03282,1.75963,1.87797,1.908248015,1.967907233,2.002595693,2.14588266,2.314743637,2.87506,3.01109,3.09522,2.698871584,2.783248755,2.832309306,3.034962796,3.273786099,1.96827,1.73363,1.87797,1.895843461,1.949618923,2.001035152,2.137528265,2.291264644,2.78376,3.01109,3.09554,2.681327586,2.757383248,2.830102203,3.023147017,3.240579312
