Date,FWDN5,FWHS5,FWBRW5,FWG5,FWE5,FWFI5,FWOFI5,FWI5,FWDN1,FWHS1,FWBRW1,FWG1,FWE1,FWFI1,FWOFI1,FWI1,RWDN5,RWHS5,RWBRW5,RWG5,RWE5,RWFI5,RWOFI5,RWI5,RWDN1,RWHS1,RWBRW1,RWG1,RWE1,RWFI1,RWOFI1,RWI1
12/31/21,1.92336,1.79085,2.33471,1.877824333,1.897167207,1.91954405,1.821078915,1.531879619,2.72024,3.10329,3.1304,2.65584279,2.683199786,2.714847781,2.575586662,2.166566579,2.09487,1.99815,2.33471,1.924855215,1.925759459,1.930008139,1.830295113,1.551116665,2.96282,3.32718,3.13715,2.722359463,2.723638353,2.729647342,2.588621306,2.193773901
12/30/21,1.92319,1.79085,2.33497,1.953147294,1.930572107,1.963333695,1.875069922,1.462310529,2.72001,3.10329,3.13127,2.762373491,2.730444972,2.776780312,2.651947173,2.068173687,2.09511,1.99815,2.33497,1.993575019,1.95623503,1.967562527,1.877084518,1.466523038,2.96316,3.32718,3.13715,2.819551194,2.766740534,2.78276123,2.654796455,2.074131519
12/29/21,1.92332,1.79085,2.33523,2.096485188,2.10702947,2.221663134,2.351047075,2.718914321,2.72019,3.10329,3.13214,2.965099009,2.980011989,3.142140567,3.325130744,3.845412411,2.09549,1.99815,2.33523,2.126794254,2.135265146,2.212935447,2.354968885,2.736062638,2.96369,3.32718,3.13716,3.007965701,3.019946245,3.129796833,3.330677435,3.869665602
12/28/21,1.92231,1.79072,2.3355,1.904396005,1.903511098,1.9463416,1.88517069,1.669336897,2.71876,3.10329,3.133,2.693423612,2.692172072,2.752748067,2.666232882,2.36097503,2.09506,1.99815,2.3355,1.94398588,1.929409999,1.94376928,1.882188193,1.677527746,2.96309,3.32718,3.13716,2.749416328,2.728801382,2.749109986,2.66201468,2.372559505
12/27/21,1.92274,1.79072,2.33575,1.98006637,1.933513324,1.982646301,1.973567816,1.793569055,2.71937,3.10329,3.13385,2.800445653,2.734604792,2.8040945,2.791254624,2.536678942,2.0953,1.99815,2.33575,2.012041105,1.955920107,1.971252763,1.961328664,1.786353746,2.96342,3.32718,3.13716,2.845668131,2.766295133,2.787980401,2.773944559,2.526474193
12/24/21,1.92266,1.79072,2.33601,2.09083275,2.007413327,2.276210394,2.548299321,3.338903006,2.71926,3.10329,3.1347,2.957104659,2.839122977,3.219287798,3.604108361,4.722274239,2.09559,2.01214,2.33601,2.11194893,2.025948974,2.244721773,2.525052852,3.305810331,2.96383,3.32718,3.13717,2.986969675,2.865338295,3.17475284,3.571230436,4.675470638
12/23/21,1.92085,1.79072,2.33626,1.559380304,1.599863207,1.580405638,1.370530886,0.923495684,2.7167,3.10329,3.13554,2.205461322,2.262717064,2.235197854,1.938367986,1.30611757,2.09462,2.01214,2.33626,1.640900137,1.626206042,1.59186147,1.359417715,0.893628903,2.96246,3.32718,3.13717,2.320756378,2.299974238,2.251400056,1.922650416,1.263876411
12/22/21,1.92137,1.79072,2.33652,1.635626068,1.6533702,1.619802533,1.381726451,0.711485224,2.71743,3.10329,3.13637,2.313297161,2.338393026,2.290917634,1.954202088,1.00626713,2.09495,2.01214,2.33652,1.719234182,1.68173553,1.634338395,1.372933371,0.693164447,2.96293,3.32718,3.13717,2.431545712,2.378510653,2.31147598,1.941765867,0.980355705
12/21/21,1.92138,1.79072,2.33677,1.753395336,1.822419323,1.718319928,1.504054045,0.951525354,2.71745,3.10329,3.13737,2.479860484,2.577482426,2.430252666,2.127212339,1.345760467,2.09533,2.01214,2.33677,1.832744738,1.848089075,1.732891247,1.499449584,0.929352652,2.96347,3.32718,3.13737,2.592085859,2.613787647,2.45086116,2.120700161,1.31440119
12/20/21,1.92215,1.79072,2.33702,1.859235687,1.918928378,1.79640512,1.578530237,0.933646915,2.71854,3.10329,3.14335,2.629552513,2.713977025,2.540690043,2.232545439,1.320474649,2.09568,2.01214,2.33702,1.937422289,1.947914574,1.814687494,1.581821628,0.925196724,2.96395,3.32718,3.14335,2.740133316,2.754972755,2.566547153,2.237200515,1.308523382
