Date,FWDN5,FWHS5,FWBRW5,FWG5,FWE5,FWFI5,FWOFI5,FWI5,FWDN1,FWHS1,FWBRW1,FWG1,FWE1,FWFI1,FWOFI1,FWI1,RWDN5,RWHS5,RWBRW5,RWG5,RWE5,RWFI5,RWOFI5,RWI5,RWDN1,RWHS1,RWBRW1,RWG1,RWE1,RWFI1,RWOFI1,RWI1
12/31/21,1.51856,1.28364,1.25016,1.008923111,1.043199478,1.064284819,0.94026405,0.822574002,2.14773,2.18981,1.85756,1.426939209,1.475416929,1.50523833,1.329833389,1.163382109,1.49529,1.32679,1.25016,1.013967784,1.042792214,1.010312205,0.920933448,0.780253197,2.11482,2.3544,1.85756,1.434073987,1.474840928,1.428903832,1.302493751,1.103526987
12/30/21,1.51897,1.28364,1.25079,1.029691898,1.05264281,1.079833646,0.948608784,0.773624035,2.14831,2.18981,1.85904,1.456312901,1.488772815,1.527229333,1.341635505,1.094151236,1.49571,1.32679,1.25079,1.032985377,1.051448675,1.021903064,0.928361508,0.737790231,2.11541,2.3544,1.85904,1.460970932,1.487083926,1.445297005,1.312999397,1.043470803
12/29/21,1.51893,1.28364,1.25141,1.071782591,1.093382464,1.166584057,1.156006373,1.249618451,2.14825,2.18981,1.86051,1.515842571,1.546391684,1.649922094,1.634961874,1.767359222,1.49615,1.32679,1.25141,1.071011656,1.0878843,1.101236667,1.077636726,1.13920251,2.11603,2.3544,1.86051,1.514752224,1.538615526,1.557500033,1.524122186,1.61119585
12/28/21,1.51849,1.28364,1.25203,0.998242811,1.000903349,1.053444812,0.856377964,0.61183558,2.14763,2.18981,1.86197,1.411833858,1.415596707,1.4899071,1.211191697,0.865330736,1.49629,1.32679,1.25203,1.02072543,1.018437581,1.005203348,0.868877829,0.572932854,2.11624,2.3544,1.86197,1.443631454,1.440395706,1.421678278,1.228870494,0.810309869
12/27/21,1.51862,1.28364,1.25265,1.048243552,1.066543222,1.107273426,0.948699591,0.777907232,2.14782,2.18981,1.86342,1.48255086,1.508432432,1.566037937,1.341763936,1.100209043,1.49678,1.32679,1.25265,1.067098057,1.076515167,1.064033046,0.952358064,0.729208945,2.11692,2.3544,1.86342,1.509217146,1.522535944,1.504882243,1.346938185,1.031334126
12/24/21,1.51868,1.28364,1.25326,1.084182499,1.092056837,1.133642152,0.966956863,0.742559125,2.1479,2.18981,1.86486,1.533379999,1.544516825,1.603331729,1.367585544,1.05021554,1.4972,1.32704,1.25326,1.103704067,1.101817299,1.101889697,0.991335306,0.728882878,2.11752,2.49815,1.86486,1.560989725,1.558321232,1.558423626,1.402064441,1.030872964
12/23/21,1.51914,1.28364,1.25386,1.139236749,1.140349426,1.1759044,1.018208724,0.717885587,2.14855,2.18981,1.86628,1.611244275,1.612817956,1.663104034,1.440072029,1.015319285,1.49765,1.32704,1.25386,1.154452033,1.146121017,1.149393694,1.053848681,0.766585316,2.11815,2.49815,1.86628,1.632763541,1.620980826,1.625609436,1.490478301,1.084196242
12/22/21,1.5193,1.28364,1.25446,1.223237766,1.257358974,1.266628936,1.208956049,1.010199324,2.14878,2.18981,1.8677,1.730048516,1.778306792,1.791417475,1.709849612,1.428744182,1.49814,1.32704,1.25446,1.225828418,1.245038328,1.226385279,1.195518752,1.048490407,2.11885,2.49815,1.8677,1.733712525,1.760881467,1.734500104,1.690844985,1.482899992
12/21/21,1.51925,1.28364,1.25506,1.295448323,1.313215887,1.450367754,1.666649715,1.995682268,2.1487,2.18981,1.8691,1.832177284,1.85730629,2.051282792,2.357174498,2.822531516,1.49855,1.32704,1.25506,1.286740572,1.290651853,1.38366057,1.508835384,1.857610993,2.11943,2.49815,1.8691,1.819861746,1.825393546,1.956937549,2.133974678,2.627254677
12/20/21,1.51809,1.28364,1.25781,1.059137407,1.094894142,1.150032234,1.054961843,1.020395102,2.14707,2.18981,1.87049,1.497958247,1.54852968,1.626512535,1.492052667,1.443164265,1.4981,1.32704,1.25861,1.099528957,1.116728325,1.095881855,1.02019508,0.947125641,2.11879,2.49815,1.87049,1.555084787,1.579410181,1.549926621,1.442881371,1.339537869
12/17/21,1.51802,1.28364,1.26146,1.048717077,1.059803575,1.123894724,0.96343815,0.831987442,2.14697,2.18981,1.87187,1.483220574,1.498900421,1.589545756,1.362608961,1.176695716,1.49842,1.32704,1.26175,1.101384541,1.093326802,1.074887491,0.953558185,0.746917105,2.11924,2.49815,1.87187,1.557709175,1.54631296,1.520233891,1.348635539,1.056379115
