Date,FWDN5,FWHS5,FWBRW5,FWG5,FWE5,FWFI5,FWOFI5,FWI5,FWDN1,FWHS1,FWBRW1,FWG1,FWE1,FWFI1,FWOFI1,FWI1,RWDN5,RWHS5,RWBRW5,RWG5,RWE5,RWFI5,RWOFI5,RWI5,RWDN1,RWHS1,RWBRW1,RWG1,RWE1,RWFI1,RWOFI1,RWI1
12/30/21,1.72472,1.36424,1.35177,1.258581508,1.277430107,1.218196649,1.143705883,1.067901087,2.43931,2.47612,2.17183,1.780035845,1.806693777,1.722918768,1.617565056,1.510352886,1.65927,1.3252,1.35524,1.23866571,1.252584934,1.260265484,1.548001687,1.260265475,2.34673,2.4481,2.17183,1.751868551,1.771554775,1.782417524,2.189368327,1.782417512
12/29/21,1.72454,1.36424,1.35636,1.263019152,1.251039988,1.223802557,1.08526046,0.741688865,2.43906,2.47612,2.17559,1.786312089,1.769369729,1.730847311,1.534904579,1.048984716,1.65956,1.3252,1.35609,1.243030612,1.226160036,1.264749384,1.628827339,1.264749369,2.34715,2.4481,2.17558,1.758041916,1.734181538,1.788759189,2.303681589,1.788759168
12/28/21,1.72454,1.36424,1.36439,1.309174879,1.299022551,1.283055812,1.157441802,0.777310225,2.43905,2.47612,2.17932,1.851591015,1.837232384,1.814650321,1.636992029,1.099364685,1.66009,1.3252,1.36439,1.291440187,1.276424294,1.314844941,1.60432917,1.314844928,2.34789,2.4481,2.17931,1.826508502,1.805271237,1.859610292,2.269033361,1.859610274
12/27/21,1.72479,1.36424,1.36541,1.366220753,1.394323912,1.353119814,1.267271166,0.984691608,2.4394,2.47612,2.18302,1.932272083,1.972018917,1.913743176,1.792325795,1.392668133,1.66065,1.3252,1.3654,1.350927702,1.372058614,1.376288667,1.519528902,1.376288659,2.3487,2.4481,2.18301,1.910642829,1.940528682,1.946511327,2.149098723,1.946511315
12/24/21,1.72476,1.36424,1.36818,1.419535788,1.459785697,1.430593396,1.422936606,1.414663103,2.43936,2.47612,2.18669,2.007676555,2.06460277,2.02331554,2.012486397,2.000785024,1.66118,1.3252,1.36816,1.40674369,1.438113478,1.433823659,1.3708656,1.433823659,2.34944,2.4481,2.18668,1.989584446,2.033951337,2.027884163,1.938841379,2.027884164
12/23/21,1.72423,1.36424,1.37033,1.411198774,1.415812895,1.423366792,1.360151109,1.094326069,2.43861,2.47612,2.19033,1.995885356,2.002411196,2.013094816,1.923687669,1.547726243,1.66132,1.3252,1.37032,1.399531786,1.394924128,1.426212907,1.445879155,1.426212902,2.34964,2.4481,2.19032,1.979384513,1.972867814,2.017120131,2.044934481,2.017120124
12/22/21,1.72422,1.36424,1.37247,1.468594249,1.487392321,1.464916291,1.476051698,1.368522692,2.4386,2.47612,2.19394,2.077060873,2.103647344,2.071859066,2.087608085,1.935527759,1.66185,1.3252,1.37246,1.460047953,1.468245424,1.488337695,1.239922249,1.488337699,2.35039,2.4481,2.19393,2.064973682,2.076567522,2.104984405,1.753645699,2.104984411
12/21/21,1.72456,1.36424,1.37459,1.522366431,1.541762696,1.539912133,1.726484484,2.213435364,2.43907,2.47612,2.19752,2.153111895,2.180544403,2.177927117,2.441799953,3.130503875,1.66234,1.3252,1.37458,1.517764017,1.526838938,1.547461098,0.680407052,1.547461123,2.35108,2.4481,2.19751,2.146602613,2.159437447,2.188603762,0.962312678,2.188603798
12/20/21,1.72288,1.36424,1.37669,1.356016222,1.351082789,1.314704494,1.263951046,1.068981072,2.43671,2.47612,2.20107,1.917839621,1.910862171,1.859411655,1.787630085,1.511880329,1.66146,1.3252,1.37668,1.343438186,1.332060428,1.368232107,1.415839511,1.368232103,2.34984,2.4481,2.20106,1.900050263,1.883958483,1.93511678,2.002448839,1.935116774
12/17/21,1.72287,1.36424,1.37878,1.411250021,1.419926157,1.395973114,1.47657391,1.781262346,2.43669,2.47612,2.20459,1.995957837,2.008228661,1.974351415,2.08834666,2.519273328,1.662,1.3252,1.37877,1.401109357,1.401876241,1.427709994,1.146176912,1.427710005,2.3506,2.4481,2.20459,1.981615702,1.98270032,2.019237491,1.62105988,2.019237506
12/16/21,1.72185,1.36424,1.38085,1.30896218,1.281201928,1.268029852,1.149193234,0.863544749,2.43525,2.47612,2.20809,1.851290191,1.812028337,1.793398818,1.625325921,1.221327818,1.66162,1.32054,1.38084,1.297242772,1.263011774,1.320198856,1.540640518,1.320198845,2.35006,2.4481,2.20808,1.834715208,1.786301655,1.867182435,2.178957285,1.86718242
12/15/21,1.72173,1.36424,1.3829,1.347474027,1.306697103,1.324619731,1.200447582,0.821513913,2.43508,2.47612,2.21156,1.905758231,1.84808665,1.873434964,1.697815925,1.161882805,1.66208,1.32054,1.38289,1.336778757,1.285652745,1.361115509,1.527973859,1.361115499,2.35071,2.4481,2.21155,1.890631706,1.818323213,1.925051639,2.161042588,1.925051625
