Date,Open,High,Low,Close
12/31/21,"1,567.53","1,567.53","1,567.53","1,567.53"
12/30/21,"1,543.61","1,543.61","1,543.61","1,543.61"
12/29/21,"1,545.04","1,545.04","1,545.04","1,545.04"
12/28/21,"1,539.89","1,539.89","1,539.89","1,539.89"
12/27/21,"1,533.91","1,533.91","1,533.91","1,533.91"
12/24/21,"1,516.45","1,516.45","1,516.45","1,516.45"
12/23/21,"1,516.42","1,516.42","1,516.42","1,516.42"
12/22/21,"1,500.32","1,500.32","1,500.32","1,500.32"
12/21/21,"1,492.59","1,492.59","1,492.59","1,492.59"
12/20/21,"1,493.90","1,493.90","1,493.90","1,493.90"
12/17/21,"1,502.01","1,502.01","1,502.01","1,502.01"
12/16/21,"1,484.64","1,484.64","1,484.64","1,484.64"
12/15/21,"1,482.81","1,482.81","1,482.81","1,482.81"
12/14/21,"1,480.92","1,480.92","1,480.92","1,480.92"
12/13/21,"1,494.86","1,494.86","1,494.86","1,494.86"
12/10/21,"1,488.88","1,488.88","1,488.88","1,488.88"
12/9/21,"1,501.79","1,501.79","1,501.79","1,501.79"
12/8/21,"1,494.03","1,494.03","1,494.03","1,494.03"
12/7/21,"1,497.97","1,497.97","1,497.97","1,497.97"
12/6/21,"1,483.45","1,483.45","1,483.45","1,483.45"
12/2/21,"1,501.74","1,501.74","1,501.74","1,501.74"
12/1/21,"1,496.93","1,496.93","1,496.93","1,496.93"
11/30/21,"1,513.98","1,513.98","1,513.98","1,513.98"
11/29/21,"1,510.57","1,510.57","1,510.57","1,510.57"
11/26/21,"1,512.22","1,512.22","1,512.22","1,512.22"
11/25/21,"1,517.60","1,517.60","1,517.60","1,517.60"
11/24/21,"1,522.27","1,522.27","1,522.27","1,522.27"
11/23/21,"1,522.88","1,522.88","1,522.88","1,522.88"
11/22/21,"1,526.87","1,526.87","1,526.87","1,526.87"
11/19/21,"1,525.54","1,525.54","1,525.54","1,525.54"
11/18/21,"1,523.79","1,523.79","1,523.79","1,523.79"
11/17/21,"1,525.13","1,525.13","1,525.13","1,525.13"
11/16/21,"1,522.89","1,522.89","1,522.89","1,522.89"
11/15/21,"1,522.34","1,522.34","1,522.34","1,522.34"
11/12/21,"1,531.22","1,531.22","1,531.22","1,531.22"
11/11/21,"1,518.85","1,518.85","1,518.85","1,518.85"
11/10/21,"1,520.74","1,520.74","1,520.74","1,520.74"
11/9/21,"1,524.03","1,524.03","1,524.03","1,524.03"
11/8/21,"1,535.41","1,535.41","1,535.41","1,535.41"
11/5/21,"1,531.73","1,531.73","1,531.73","1,531.73"
11/3/21,"1,531.33","1,531.33","1,531.33","1,531.33"
11/2/21,"1,537.63","1,537.63","1,537.63","1,537.63"
11/1/21,"1,530.92","1,530.92","1,530.92","1,530.92"
10/29/21,"1,562.31","1,562.31","1,562.31","1,562.31"
10/28/21,"1,566.86","1,566.86","1,566.86","1,566.86"
10/27/21,"1,583.08","1,583.08","1,583.08","1,583.08"
10/26/21,"1,584.20","1,584.20","1,584.20","1,584.20"
10/25/21,"1,587.94","1,587.94","1,587.94","1,587.94"
10/22/21,"1,588.08","1,588.08","1,588.08","1,588.08"
10/21/21,"1,591.62","1,591.62","1,591.62","1,591.62"
10/20/21,"1,606.32","1,606.32","1,606.32","1,606.32"
10/18/21,"1,605.97","1,605.97","1,605.97","1,605.97"
10/15/21,"1,598.28","1,598.28","1,598.28","1,598.28"
10/14/21,"1,592.52","1,592.52","1,592.52","1,592.52"
10/13/21,"1,600.38","1,600.38","1,600.38","1,600.38"
10/12/21,"1,583.91","1,583.91","1,583.91","1,583.91"
10/11/21,"1,570.82","1,570.82","1,570.82","1,570.82"
10/8/21,"1,563.90","1,563.90","1,563.90","1,563.90"
10/7/21,"1,561.29","1,561.29","1,561.29","1,561.29"
10/6/21,"1,559.42","1,559.42","1,559.42","1,559.42"
10/5/21,"1,530.42","1,530.42","1,530.42","1,530.42"
10/4/21,"1,522.47","1,522.47","1,522.47","1,522.47"
10/1/21,"1,524.48","1,524.48","1,524.48","1,524.48"
9/30/21,"1,537.80","1,537.80","1,537.80","1,537.80"
