Date,Forecasted VaR
2021-12-31,5.25582
2021-12-30,5.26679
2021-12-29,5.27766
2021-12-28,5.28845
2021-12-27,5.29915
2021-12-24,5.30977
2021-12-23,5.3203
2021-12-22,5.33075
2021-12-21,5.34111
2021-12-20,5.3514
2021-12-17,5.36159
2021-12-16,5.37171
2021-12-15,5.38175
2021-12-14,5.3917
2021-12-13,5.40158
2021-12-10,5.41138
2021-12-09,5.4211
2021-12-08,5.43074
2021-12-07,5.4403
2021-12-06,5.44979
2021-12-02,5.4592
2021-12-01,5.46854
2021-11-30,5.4778
2021-11-29,5.48699
2021-11-26,5.4961
2021-11-25,5.50515
2021-11-24,5.51412
2021-11-23,5.52301
2021-11-22,5.53184
2021-11-19,5.54059
2021-11-18,5.54928
2021-11-17,5.5579
2021-11-16,5.56644
2021-11-15,5.57492
2021-11-12,5.58333
2021-11-11,5.59168
2021-11-10,5.59995
2021-11-09,5.60816
2021-11-08,5.61631
2021-11-05,5.62439
2021-11-03,5.6324
2021-11-02,5.64035
2021-11-01,5.64824
2021-10-29,5.65607
2021-10-28,5.66383
2021-10-27,5.67153
2021-10-26,5.67917
2021-10-25,5.68674
2021-10-22,5.69426
2021-10-21,5.70172
2021-10-20,5.70911
2021-10-18,5.71645
2021-10-15,5.72373
2021-10-14,5.73095
2021-10-13,5.73811
2021-10-12,5.74522
2021-10-11,5.75227
2021-10-08,5.75926
2021-10-07,5.76619
2021-10-06,5.77307
2021-10-05,5.7799
2021-10-04,5.78667
2021-10-01,5.79339
2021-09-30,5.80005
2021-09-29,5.80666
2021-09-28,5.81322
2021-09-27,5.81972
2021-09-24,5.82617
2021-09-23,5.83258
2021-09-22,5.83893
2021-09-21,5.84522
2021-09-20,5.85147
2021-09-17,5.85767
2021-09-15,5.86382
2021-09-14,5.86992
2021-09-13,5.87597
2021-09-10,5.88197
2021-09-09,5.88793
2021-09-08,5.89383
2021-09-07,5.89969
2021-09-06,5.90551
2021-09-03,5.91127
2021-09-02,5.91699
2021-09-01,5.92267
2021-08-30,5.9283
2021-08-27,5.93388
2021-08-26,5.93942
2021-08-25,5.94491
2021-08-24,5.95037
2021-08-23,5.95577
2021-08-20,5.96114
