Date,Forecasted VaR
2021-12-31,6.51706
2021-12-29,6.52229
2021-12-28,6.52749
2021-12-27,6.53264
2021-12-24,6.53775
2021-12-23,6.54283
2021-12-22,6.54786
2021-12-21,6.55285
2021-12-20,6.5578
2021-12-17,6.56271
2021-12-16,6.56758
2021-12-15,6.57241
2021-12-14,6.57721
2021-12-13,6.58196
2021-12-10,6.58668
2021-12-09,6.59136
2021-12-08,6.596
2021-12-07,6.60061
2021-12-06,6.60518
2021-12-03,6.60971
2021-12-02,6.61421
2021-12-01,6.61867
2021-11-29,6.62309
2021-11-26,6.62748
2021-11-25,6.63183
2021-11-24,6.63615
2021-11-23,6.64044
2021-11-22,6.64469
2021-11-19,6.6489
2021-11-18,6.65309
2021-11-17,6.65723
2021-11-16,6.66135
2021-11-15,6.66543
2021-11-12,6.66948
2021-11-11,6.6735
2021-11-10,6.67749
2021-11-09,6.68144
2021-11-08,6.68536
2021-11-05,6.68925
2021-11-04,6.69311
2021-11-03,6.69694
2021-11-02,6.70074
2021-10-29,6.70451
2021-10-28,6.70824
2021-10-27,6.71195
2021-10-26,6.71563
2021-10-25,6.71928
2021-10-22,6.7229
2021-10-21,6.72649
2021-10-20,6.73005
2021-10-19,6.73358
2021-10-18,6.73709
2021-10-15,6.74056
2021-10-14,6.74401
2021-10-13,6.74743
2021-10-12,6.75083
2021-10-11,6.7542
2021-10-08,6.75754
2021-10-07,6.76085
2021-10-06,6.76414
2021-10-05,6.7674
2021-10-04,6.77063
2021-10-01,6.77384
2021-09-30,6.77702
2021-09-29,6.78018
2021-09-28,6.78331
2021-09-27,6.8597
2021-09-24,6.86219
2021-09-23,6.86467
2021-09-22,6.86713
2021-09-21,6.86956
2021-09-20,6.87198
2021-09-17,6.87438
2021-09-16,6.87676
2021-09-15,6.87912
2021-09-14,6.88146
2021-09-13,6.88378
2021-09-10,6.88608
2021-09-09,6.88837
2021-09-08,6.89063
2021-09-07,6.89288
2021-09-06,6.89511
2021-09-03,6.89732
2021-09-02,6.89952
2021-09-01,6.9017
2021-08-31,6.90386
2021-08-27,6.906
2021-08-26,6.90812
2021-08-25,6.91023
2021-08-24,6.91233
2021-08-23,6.9144
2021-08-20,6.91646
2021-08-19,6.9185
2021-08-18,6.92053
2021-08-17,6.92254
