Date,Forecasted VaR
2021-12-31,5.83834
2021-12-30,5.83879
2021-12-29,5.83924
2021-12-28,5.83968
2021-12-27,5.84012
2021-12-24,5.84056
2021-12-23,5.84099
2021-12-22,5.84142
2021-12-21,5.84185
2021-12-20,5.84227
2021-12-17,5.84269
2021-12-16,5.8431
2021-12-15,5.84352
2021-12-14,5.84393
2021-12-13,5.84433
2021-12-10,5.84473
2021-12-09,5.84513
2021-12-08,5.84553
2021-12-07,5.84592
2021-12-06,5.84631
2021-12-03,5.8467
2021-12-02,5.84708
2021-12-01,5.84746
2021-11-30,5.84784
2021-11-29,5.84821
2021-11-26,5.84859
2021-11-25,5.84895
2021-11-24,5.84932
2021-11-23,5.84968
2021-11-22,5.85004
2021-11-19,5.8504
2021-11-18,5.85075
2021-11-17,5.8511
2021-11-16,5.85145
2021-11-15,5.8518
2021-11-12,5.85214
2021-11-11,5.85248
2021-11-10,5.85282
2021-11-09,5.85315
2021-11-08,5.85348
2021-11-05,5.85381
2021-11-03,5.85414
2021-11-02,5.85446
2021-11-01,5.85479
2021-10-29,5.85511
2021-10-28,5.85542
2021-10-27,5.85574
2021-10-26,5.85605
2021-10-25,5.85636
2021-10-22,5.85666
2021-10-21,5.85697
2021-10-20,5.85727
2021-10-19,5.85757
2021-10-18,5.85786
2021-10-15,5.85816
2021-10-14,5.85845
2021-10-13,5.85874
2021-10-12,5.85903
2021-10-11,5.85931
2021-10-08,5.85959
2021-10-07,5.85987
2021-10-06,5.86015
2021-10-05,5.86043
2021-10-04,5.8607
2021-10-01,5.86097
2021-09-30,5.86124
2021-09-29,5.86151
2021-09-28,5.86177
2021-09-27,5.86204
2021-09-24,5.8623
2021-09-23,5.86256
2021-09-22,5.86281
2021-09-21,5.86307
2021-09-20,5.86332
2021-09-17,5.86357
2021-09-16,5.86382
2021-09-15,5.86407
2021-09-14,5.86431
2021-09-13,5.86455
2021-09-10,5.8648
2021-09-09,5.86503
2021-09-08,5.86527
2021-09-07,5.86551
2021-09-06,5.86574
2021-09-03,5.86597
2021-09-02,5.8662
2021-09-01,5.86643
2021-08-31,5.86665
2021-08-30,5.86688
2021-08-27,5.8671
2021-08-26,5.86732
2021-08-25,5.86754
2021-08-24,5.86775
2021-08-23,5.86797
2021-08-20,5.86818
2021-08-19,5.8684
2021-08-18,5.86861
2021-08-17,5.86881
2021-08-16,5.86902
2021-08-13,5.86923
2021-08-12,5.86943
2021-08-11,5.86963
2021-08-10,5.86983
2021-08-06,5.87003
2021-08-05,5.87023
2021-08-04,5.87042
2021-08-03,5.87061
2021-08-02,5.87081
2021-07-30,5.871
2021-07-29,5.87119
2021-07-28,5.87137
2021-07-27,5.87156
2021-07-26,5.87175
2021-07-23,5.87193
2021-07-22,5.87211
2021-07-21,5.87229
2021-07-19,5.87247
2021-07-16,5.87265
2021-07-15,5.87282
2021-07-14,5.873
2021-07-13,5.87317
2021-07-12,5.87334
2021-07-09,5.87351
2021-07-08,5.87368
2021-07-07,5.87385
2021-07-06,5.87402
2021-07-05,5.87418
2021-07-02,5.87434
2021-07-01,5.87451
2021-06-30,5.87467
2021-06-29,5.87483
2021-06-28,5.87499
2021-06-25,5.87514
2021-06-24,5.8753
2021-06-23,5.87545
2021-06-22,5.87561
2021-06-21,5.87576
2021-06-18,5.87591
2021-06-17,5.87606
2021-06-16,5.87621
2021-06-15,5.87636
2021-06-14,5.8765
2021-06-11,5.87665
2021-06-10,5.87679
2021-06-09,5.87694
2021-06-08,5.87708
2021-06-07,5.87722
2021-06-04,5.87736
2021-06-03,5.8775
2021-06-02,5.87763
2021-06-01,5.87777
2021-05-31,5.8779
2021-05-28,5.87804
2021-05-27,5.87817
2021-05-25,5.8783
2021-05-24,5.87843
2021-05-21,5.87856
2021-05-20,5.87869
2021-05-19,5.87882
2021-05-18,5.87895
2021-05-17,5.87907
2021-05-14,5.8792
2021-05-12,5.87932
2021-05-11,5.87944
2021-05-10,5.87956
2021-05-07,5.87968
2021-05-06,5.8798
2021-05-05,5.87992
2021-05-04,5.88004
2021-05-03,5.88016
2021-04-30,5.88027
2021-04-29,5.88039
2021-04-28,5.8805
2021-04-27,5.88062
2021-04-26,5.88073
2021-04-23,5.88084
2021-04-22,5.88095
2021-04-21,5.88106
2021-04-20,5.88117
2021-04-19,5.88128
2021-04-16,5.88138
2021-04-15,5.88149
2021-04-14,5.88159
2021-04-13,5.8817
2021-04-12,5.8818
2021-04-09,5.88191
2021-04-08,5.88201
2021-04-07,5.88211
2021-04-06,5.88221
2021-04-05,5.88231
2021-04-01,5.88241
2021-03-31,5.8825
2021-03-30,5.8826
2021-03-29,5.8827
2021-03-26,5.88279
2021-03-25,5.88289
2021-03-24,5.88298
2021-03-23,5.88308
2021-03-22,5.88317
2021-03-19,5.88326
2021-03-18,5.88335
2021-03-17,5.88344
2021-03-16,5.88353
2021-03-15,5.88362
2021-03-12,5.88371
2021-03-11,5.8838
2021-03-10,5.88388
2021-03-09,5.88397
2021-03-08,5.88405
2021-03-05,5.88414
2021-03-04,5.88422
2021-03-03,5.88431
2021-03-02,5.88439
2021-03-01,5.88447
2021-02-26,5.88455
2021-02-25,5.88463
2021-02-24,5.88471
2021-02-23,5.88479
2021-02-22,5.88487
2021-02-19,5.88495
2021-02-18,5.88503
2021-02-17,5.8851
2021-02-16,5.88518
2021-02-15,5.88526
2021-02-11,5.88533
2021-02-10,5.88541
2021-02-09,5.88548
2021-02-08,5.88555
2021-02-05,5.88563
2021-02-04,5.8857
2021-02-03,5.88577
2021-02-02,5.88584
2021-02-01,5.88591
2021-01-29,5.88598
2021-01-28,5.88605
2021-01-27,5.88612
2021-01-26,5.88619
2021-01-25,5.88625
2021-01-22,5.88632
2021-01-21,5.88639
2021-01-20,5.88645
2021-01-19,5.88652
2021-01-18,5.88659
2021-01-15,5.88665
2021-01-14,5.88671
