Date,Forecasted VaR
2021-12-30,7.19629
2021-12-29,7.19995
2021-12-28,7.20357
2021-12-27,7.20717
2021-12-24,7.21074
2021-12-23,7.21427
2021-12-22,7.21779
2021-12-21,7.22127
2021-12-20,7.22472
2021-12-17,7.22815
2021-12-16,7.23155
2021-12-15,7.23492
2021-12-14,7.23827
2021-12-13,7.24158
2021-12-09,7.24488
2021-12-08,7.24814
2021-12-07,7.25138
2021-12-03,7.25459
2021-12-02,7.25778
2021-12-01,7.26094
2021-11-30,7.26408
2021-11-29,7.26719
2021-11-26,7.27028
2021-11-25,7.27334
2021-11-24,7.27638
2021-11-23,7.27939
2021-11-22,7.28238
2021-11-19,7.28535
2021-11-18,7.28829
2021-11-17,7.29121
2021-11-16,7.2941
2021-11-15,7.29698
2021-11-12,7.29982
2021-11-11,7.30265
2021-11-10,7.30545
2021-11-09,7.30823
2021-11-08,7.31099
2021-11-05,7.31373
2021-11-04,7.31644
2021-11-03,7.31914
2021-11-02,7.32181
2021-11-01,7.32446
2021-10-29,7.32709
2021-10-28,7.3297
2021-10-27,7.33228
2021-10-26,7.33485
2021-10-25,7.33739
2021-10-21,7.33992
2021-10-20,7.34243
2021-10-19,7.34491
2021-10-18,7.34738
2021-10-15,7.34982
2021-10-14,7.35225
2021-10-12,7.35465
2021-10-11,7.35704
2021-10-08,7.35941
2021-10-07,7.36176
2021-10-06,7.36409
2021-10-05,7.3664
2021-10-04,7.36869
2021-10-01,7.37097
2021-09-30,7.37323
2021-09-29,7.37547
2021-09-28,7.37769
2021-09-27,7.37989
2021-09-23,7.38207
2021-09-22,7.38424
2021-09-21,7.38639
2021-09-20,7.38853
2021-09-17,7.39064
2021-09-16,7.39274
2021-09-15,7.39482
2021-09-14,7.39689
2021-09-13,7.39894
2021-09-10,7.40097
2021-09-09,7.40299
2021-09-08,7.40499
2021-09-07,7.40698
2021-09-06,7.40894
2021-09-03,7.4109
2021-09-02,7.41283
2021-09-01,7.41476
2021-08-31,7.41666
2021-08-30,7.41855
2021-08-27,7.42043
2021-08-26,7.42229
2021-08-25,7.6329
2021-08-24,7.63306
2021-08-23,7.63322
2021-08-20,7.63338
2021-08-19,7.63353
2021-08-18,7.63369
2021-08-17,7.63384
2021-08-16,7.634
2021-08-13,7.63415
2021-08-11,7.6343
2021-08-10,7.63445
2021-08-09,7.6346
2021-08-06,7.63475
2021-08-05,7.6349
2021-08-04,7.63504
2021-08-03,7.63519
2021-08-02,7.63533
2021-07-30,7.63547
2021-07-29,7.63561
2021-07-27,7.63575
2021-07-23,7.63589
2021-07-22,7.63603
2021-07-21,7.63616
2021-07-20,7.6363
2021-07-19,7.63643
2021-07-16,7.63657
2021-07-15,7.6367
2021-07-14,7.63683
2021-07-13,7.63696
2021-07-12,7.63709
2021-07-09,7.63722
2021-07-08,7.63734
2021-07-07,7.63747
2021-07-06,7.63759
2021-07-05,7.63772
2021-07-02,7.63784
2021-07-01,7.63796
2021-06-30,7.63808
2021-06-29,7.6382
2021-06-28,7.63832
2021-06-25,7.63844
2021-06-24,7.63856
2021-06-23,7.63867
2021-06-22,7.63879
2021-06-21,7.6389
2021-06-18,7.63902
2021-06-17,7.63913
2021-06-16,7.63924
2021-06-15,7.63935
2021-06-14,7.63946
2021-06-11,7.63957
2021-06-10,7.63968
2021-06-09,7.63978
2021-06-08,7.63989
2021-06-07,7.64
2021-06-04,7.6401
2021-06-02,7.6402
2021-06-01,7.64031
2021-05-31,7.64041
2021-05-28,7.64051
2021-05-27,7.64061
2021-05-25,7.64071
2021-05-24,7.64081
2021-05-21,7.64091
2021-05-20,7.641
2021-05-19,7.6411
2021-05-18,7.6412
2021-05-17,7.64129
2021-05-14,7.64139
2021-05-13,7.64148
2021-05-12,7.64157
2021-05-11,7.64166
2021-05-10,7.64176
2021-05-07,7.64185
2021-05-06,7.64194
2021-05-05,7.64202
2021-04-30,7.64211
2021-04-29,7.6422
2021-04-28,7.64229
2021-04-27,7.64237
2021-04-26,7.64246
2021-04-23,7.64254
2021-04-22,7.64263
2021-04-21,7.64271
2021-04-20,7.64279
2021-04-19,7.64288
2021-04-16,7.64296
2021-04-12,7.64304
2021-04-09,7.64312
2021-04-08,7.6432
2021-04-07,7.64328
2021-04-05,7.64336
2021-04-02,7.64343
2021-04-01,7.64351
2021-03-31,7.64359
2021-03-30,7.64366
2021-03-29,7.64374
2021-03-26,7.64381
2021-03-25,7.64389
2021-03-24,7.64396
2021-03-23,7.64403
2021-03-22,7.64411
2021-03-19,7.64418
2021-03-18,7.64425
2021-03-17,7.64432
2021-03-16,7.64439
2021-03-15,7.64446
2021-03-12,7.64453
2021-03-11,7.6446
2021-03-10,7.64466
2021-03-09,7.64473
2021-03-08,7.6448
2021-03-05,7.64486
2021-03-04,7.64493
2021-03-03,7.645
2021-03-02,7.64506
2021-03-01,7.64512
2021-02-25,7.64519
2021-02-24,7.64525
2021-02-23,7.64531
2021-02-22,7.64538
2021-02-19,7.64544
2021-02-18,7.6455
2021-02-17,7.64556
2021-02-16,7.64562
2021-02-15,7.64568
2021-02-11,7.64574
2021-02-10,7.6458
2021-02-09,7.64585
2021-02-08,7.64591
2021-02-05,7.64597
2021-02-04,7.64603
2021-02-03,7.64608
2021-02-02,7.64614
2021-02-01,7.64619
2021-01-29,7.64625
2021-01-28,7.6463
2021-01-27,7.64636
2021-01-26,7.64641
2021-01-25,7.64646
2021-01-22,7.64652
2021-01-21,7.64657
2021-01-20,7.64662
2021-01-19,7.64667
2021-01-18,7.64672
2021-01-15,7.64678
2021-01-14,7.64683
2021-01-13,7.64688
2021-01-12,7.64692
2021-01-11,7.64697
2021-01-08,7.64702
2021-01-07,7.64707
2021-01-06,7.64712
2021-01-05,7.64717
2021-01-04,7.64721
2020-12-30,7.64726
2020-12-29,7.64731
2020-12-28,7.64735
2020-12-25,7.6474
2020-12-24,7.64744
2020-12-23,7.64749
2020-12-22,7.64753
2020-12-21,7.64758
2020-12-18,7.64762
2020-12-17,7.64767
2020-12-16,7.64771
2020-12-15,7.64775
2020-12-14,7.64779
2020-12-09,7.64784
2020-12-08,7.64788
2020-12-04,7.64792
2020-12-03,7.64796
2020-12-02,7.648
2020-12-01,7.64804
2020-11-30,7.64808
2020-11-27,7.64812
2020-11-26,7.64816
2020-11-25,7.6482
2020-11-24,7.64824
2020-11-23,7.64828
2020-11-20,7.64832
2020-11-19,7.64836
2020-11-18,7.64839
2020-11-17,7.64843
2020-11-16,7.64847
2020-11-13,7.6485
2020-11-12,7.64854
2020-11-11,7.64858
2020-11-10,7.64861
2020-11-09,7.64865
2020-11-06,7.64868
2020-11-05,7.64872
2020-11-04,7.64875
2020-11-03,7.64879
2020-11-02,7.64882
2020-10-30,7.64886
2020-10-29,7.64889
2020-10-28,7.64892
2020-10-27,7.64896
2020-10-26,7.64899
2020-10-22,7.64902
2020-10-21,7.64906
2020-10-20,7.64909
2020-10-19,7.64912
2020-10-16,7.64915
2020-10-15,7.64918
2020-10-14,7.64921
2020-10-12,7.64924
2020-10-09,7.64927
2020-10-08,7.64931
2020-10-07,7.64934
2020-10-06,7.64937
2020-10-05,7.64939
2020-10-02,7.64942
2020-10-01,7.64945
2020-09-30,7.64948
2020-09-29,7.64951
2020-09-28,7.64954
2020-09-25,7.64957
2020-09-24,7.6496
2020-09-23,7.64962
2020-09-22,7.64965
2020-09-21,7.64968
2020-09-18,7.64971
2020-09-17,7.64973
2020-09-16,7.64976
2020-09-15,7.64979
2020-09-14,7.64981
2020-09-11,7.64984
2020-09-10,7.64986
2020-09-09,7.64989
2020-09-08,7.64992
2020-09-03,7.64994
2020-09-02,7.64997
2020-09-01,7.64999
2020-08-31,7.65001
2020-08-28,7.65004
2020-08-27,7.65006
2020-08-26,7.65009
2020-08-25,7.65011
2020-08-24,7.65014
2020-08-21,7.65016
2020-08-20,7.65018
2020-08-19,7.65021
2020-08-18,7.65023
2020-08-17,7.65025
2020-08-14,7.65027
2020-08-13,7.6503
2020-08-11,7.65032
2020-08-10,7.65034
2020-08-07,7.65036
2020-08-06,7.65038
2020-08-05,7.6504
2020-08-04,7.65043
2020-08-03,7.65045
2020-07-31,7.65047
2020-07-30,7.65049
2020-07-29,7.65051
2020-07-24,7.65053
2020-07-23,7.65055
2020-07-22,7.65057
2020-07-21,7.65059
2020-07-20,7.65061
2020-07-17,7.65063
2020-07-16,7.65065
2020-07-15,7.65067
2020-07-14,7.65069
2020-07-13,7.65071
2020-07-10,7.65073
2020-07-09,7.65075
2020-07-08,7.65076
2020-07-07,7.65078
2020-07-03,7.6508
2020-07-02,7.65082
2020-07-01,7.65084
2020-06-30,7.65085
2020-06-29,7.65087
2020-06-26,7.65089
2020-06-25,7.65091
2020-06-24,7.65092
2020-06-23,7.65094
2020-06-22,7.65096
2020-06-19,7.65098
2020-06-18,7.65099
2020-06-17,7.65101
2020-06-16,7.65103
2020-06-15,7.65104
2020-06-12,7.65106
2020-06-11,7.65107
2020-06-10,7.65109
2020-06-09,7.65111
2020-06-08,7.65112
2020-06-05,7.65114
2020-06-04,7.65115
2020-06-02,7.65117
2020-06-01,7.65118
2020-05-29,7.6512
2020-05-28,7.65121
2020-05-27,7.65123
2020-05-26,7.65124
2020-05-25,7.65126
2020-05-22,7.65127
2020-05-21,7.65129
2020-05-20,7.6513
2020-05-19,7.65131
2020-05-18,7.65133
2020-05-15,7.65134
