Date,Forecasted VaR
2021-12-31,5.38718
2021-12-30,5.38722
2021-12-29,5.38725
2021-12-28,5.38729
2021-12-27,5.38732
2021-12-24,5.38736
2021-12-23,5.38739
2021-12-22,5.38743
2021-12-21,5.38746
2021-12-20,5.38749
2021-12-17,5.38753
2021-12-16,5.38756
2021-12-15,5.38759
2021-12-14,5.38763
2021-12-13,5.38766
2021-12-10,5.38769
2021-12-09,5.38772
2021-12-08,5.38775
2021-12-07,5.38778
2021-12-06,5.38782
2021-12-03,5.38785
2021-12-02,5.38788
2021-12-01,5.38791
2021-11-30,5.38794
2021-11-29,5.38797
2021-11-26,5.388
2021-11-25,5.38803
2021-11-24,5.38805
2021-11-23,5.38808
2021-11-22,5.38811
2021-11-19,5.38814
2021-11-18,5.38817
2021-11-17,5.3882
2021-11-16,5.38822
2021-11-15,5.38825
2021-11-12,5.38828
2021-11-11,5.38831
2021-11-10,5.38833
2021-11-09,5.38836
2021-11-08,5.38839
2021-11-05,5.38841
2021-11-04,5.38844
2021-11-03,5.38846
2021-11-02,5.38849
2021-11-01,5.38851
2021-10-29,5.38854
2021-10-28,5.38856
2021-10-27,5.38859
2021-10-26,5.38861
2021-10-25,5.38864
2021-10-22,5.38866
2021-10-21,5.38869
2021-10-20,5.38871
2021-10-19,5.38873
2021-10-18,5.38876
2021-10-15,5.38878
2021-10-14,5.3888
2021-10-13,5.38883
2021-10-12,5.38885
2021-10-11,5.38887
2021-10-08,5.38889
2021-10-07,5.38892
2021-10-06,5.38894
2021-10-05,5.38896
2021-10-04,5.38898
2021-10-01,5.389
2021-09-30,5.38902
2021-09-29,5.38904
2021-09-28,5.38907
2021-09-27,5.38909
2021-09-24,5.38911
2021-09-23,5.38913
2021-09-22,5.38915
2021-09-21,5.38917
2021-09-20,5.38919
2021-09-17,5.38921
2021-09-16,5.38923
2021-09-15,5.38925
2021-09-14,5.38927
2021-09-13,5.38929
2021-09-10,5.3893
2021-09-09,5.38932
2021-09-08,5.38934
2021-09-07,5.38936
2021-09-06,5.38938
2021-09-01,5.3894
2021-08-31,5.38941
2021-08-30,5.38943
2021-08-27,5.38945
2021-08-26,5.38947
2021-08-25,5.38949
2021-08-24,5.3895
2021-08-23,5.38952
2021-08-20,5.38954
2021-08-19,5.38955
2021-08-18,5.38957
2021-08-17,5.38959
2021-08-16,5.3896
2021-08-13,5.38962
2021-08-12,5.38964
2021-08-11,5.38965
2021-08-10,5.38967
2021-08-09,5.38969
2021-08-06,5.3897
2021-08-05,5.38972
2021-08-04,5.38973
2021-08-03,5.38975
2021-08-02,5.38976
2021-07-30,5.38978
2021-07-29,5.38979
2021-07-28,5.38981
2021-07-27,5.38982
2021-07-26,5.38984
2021-07-23,5.38985
2021-07-22,5.38987
2021-07-21,5.38988
2021-07-20,5.3899
2021-07-19,5.38991
2021-07-16,5.38992
2021-07-15,5.38994
2021-07-14,5.38995
2021-07-13,5.38996
2021-07-12,5.38998
2021-07-09,5.38999
2021-07-08,5.39001
2021-07-07,5.39002
2021-07-06,5.39003
2021-07-05,5.39004
2021-07-02,5.39006
2021-07-01,5.39007
2021-06-30,5.39008
2021-06-29,5.3901
2021-06-28,5.39011
2021-06-25,5.39012
2021-06-24,5.39013
2021-06-23,5.39015
2021-06-22,5.39016
2021-06-21,5.39017
2021-06-18,5.39018
2021-06-17,5.39019
2021-06-16,5.3902
2021-06-15,5.39022
2021-06-14,5.39023
2021-06-11,5.39024
2021-06-10,5.39025
2021-06-09,5.39026
2021-06-08,5.39027
2021-06-07,5.39028
2021-06-04,5.3903
2021-06-03,5.39031
2021-06-02,5.39032
2021-06-01,5.39033
2021-05-31,5.39034
2021-05-28,5.39035
2021-05-27,5.39036
2021-05-26,5.39037
2021-05-25,5.39038
2021-05-24,5.39039
2021-05-21,5.3904
2021-05-20,5.39041
2021-05-19,5.39042
2021-05-18,5.39043
2021-05-17,5.39044
2021-05-14,5.39045
2021-05-13,5.39046
2021-05-12,5.39047
2021-05-11,5.39048
2021-05-10,5.39049
2021-05-07,5.3905
2021-05-06,5.39051
2021-05-05,5.39052
2021-05-04,5.39053
2021-04-29,5.39053
2021-04-28,5.39054
2021-04-27,5.39055
2021-04-26,5.39056
2021-04-23,5.39057
2021-04-22,5.39058
2021-04-20,5.39059
2021-04-19,5.3906
2021-04-16,5.3906
2021-04-15,5.39061
2021-04-14,5.39062
2021-04-13,5.39063
2021-04-12,5.39064
2021-04-09,5.39065
2021-04-08,5.39065
2021-04-07,5.39066
2021-04-06,5.39067
2021-04-05,5.39068
2021-04-02,5.39069
2021-04-01,5.39069
2021-03-31,5.3907
2021-03-30,5.39071
2021-03-29,5.39072
2021-03-26,5.39072
2021-03-25,5.39073
2021-03-24,5.39074
2021-03-23,5.39075
2021-03-22,5.39075
2021-03-19,5.39076
2021-03-18,5.39077
2021-03-17,5.39078
2021-03-16,5.39078
2021-03-15,5.39079
2021-03-12,5.3908
2021-03-11,5.3908
2021-03-10,5.39081
2021-03-09,5.39082
2021-03-08,5.39082
2021-03-05,5.39083
2021-03-04,5.39084
2021-03-03,5.39084
2021-03-02,5.39085
2021-03-01,5.39086
2021-02-26,5.39086
2021-02-25,5.39087
2021-02-24,5.39088
2021-02-23,5.39088
2021-02-22,5.39089
2021-02-19,5.39089
2021-02-18,5.3909
2021-02-17,5.39091
2021-02-09,5.39091
2021-02-08,5.39092
2021-02-05,5.39092
2021-02-04,5.39093
2021-02-03,5.39094
2021-02-02,5.39094
2021-02-01,5.39095
2021-01-29,5.39095
2021-01-28,5.39096
2021-01-27,5.39096
2021-01-26,5.39097
2021-01-25,5.39098
2021-01-22,5.39098
2021-01-21,5.39099
2021-01-20,5.39099
2021-01-19,5.391
2021-01-18,5.391
2021-01-15,5.39101
2021-01-14,5.39101
2021-01-13,5.39102
2021-01-12,5.39102
2021-01-11,5.39103
2021-01-08,5.39103
2021-01-07,5.39104
2021-01-06,5.39104
2021-01-05,5.39105
2021-01-04,5.39105
2020-12-31,5.39106
2020-12-30,5.39106
2020-12-29,5.39107
2020-12-28,5.39107
2020-12-25,5.39108
2020-12-24,5.39108
2020-12-23,5.39109
2020-12-22,5.39109
2020-12-21,5.3911
2020-12-18,5.3911
2020-12-17,5.3911
2020-12-16,5.39111
2020-12-15,5.39111
2020-12-14,5.39112
2020-12-11,5.39112
2020-12-10,5.39113
2020-12-09,5.39113
2020-12-08,5.39113
2020-12-07,5.39114
2020-12-04,5.39114
2020-12-03,5.39115
2020-12-02,5.39115
2020-12-01,5.39116
2020-11-30,5.39116
2020-11-27,5.39116
2020-11-26,5.39117
2020-11-25,5.39117
2020-11-24,5.39117
2020-11-23,5.39118
2020-11-20,5.39118
2020-11-19,5.39119
2020-11-18,5.39119
