Date,Forecasted VaR
2021-12-30,2.18744
2021-12-29,2.18978
2021-12-28,2.1921
2021-12-27,2.19439
2021-12-24,2.19667
2021-12-23,2.19894
2021-12-22,2.20118
2021-12-21,2.20341
2021-12-20,2.20561
2021-12-17,2.2078
2021-12-16,2.20998
2021-12-15,2.21213
2021-12-14,2.36507
2021-12-13,2.3653
2021-12-09,2.36552
2021-12-08,2.36575
2021-12-07,2.36597
2021-12-03,2.36619
2021-12-02,2.3664
2021-12-01,2.36662
2021-11-30,2.36683
2021-11-29,2.36705
2021-11-26,2.36726
2021-11-25,2.36747
2021-11-24,2.36767
2021-11-23,2.36788
2021-11-22,2.36808
2021-11-19,2.36828
2021-11-18,2.36848
2021-11-17,2.44935
2021-11-16,2.45092
2021-11-15,2.45248
2021-11-12,2.45404
2021-11-11,2.45557
2021-11-10,2.4571
2021-11-09,2.45861
2021-11-08,2.46011
2021-11-05,2.4616
2021-11-04,2.46308
2021-11-03,2.46455
2021-11-02,2.466
2021-11-01,2.46744
2021-10-29,2.46887
2021-10-28,2.47029
2021-10-27,2.4717
2021-10-26,2.4731
2021-10-25,2.47448
2021-10-21,2.47586
2021-10-20,2.56308
2021-10-19,2.56401
2021-10-18,2.56492
2021-10-15,2.56583
2021-10-14,2.56673
2021-10-12,2.56763
2021-10-11,2.56852
2021-10-08,2.5694
2021-10-07,2.57027
2021-10-06,2.57114
2021-10-05,2.572
2021-10-04,2.57285
2021-10-01,2.5737
2021-09-30,2.57454
2021-09-29,2.57537
2021-09-28,2.5762
2021-09-27,2.57702
2021-09-23,2.57783
2021-09-22,2.57864
2021-09-21,2.57944
2021-09-20,2.58023
2021-09-17,2.58102
2021-09-16,2.5818
2021-09-15,2.58268
2021-09-14,2.58397
2021-09-13,2.58524
2021-09-10,2.58651
2021-09-09,2.58777
2021-09-08,2.58902
2021-09-07,2.59026
2021-09-06,2.59148
2021-09-03,2.5927
2021-09-02,2.59391
2021-09-01,2.59511
2021-08-31,2.5963
2021-08-30,2.59748
2021-08-27,2.59865
2021-08-26,2.59981
2021-08-25,2.60096
2021-08-24,2.6021
2021-08-23,2.60324
2021-08-20,2.60436
2021-08-19,2.60548
2021-08-18,2.60658
2021-08-17,2.60768
2021-08-16,2.60877
2021-08-13,2.60985
2021-08-11,2.61092
2021-08-10,2.61198
2021-08-09,2.61304
2021-08-06,2.61408
2021-08-05,2.61512
2021-08-04,2.61615
2021-08-03,2.61717
2021-08-02,2.61818
2021-07-30,2.61919
2021-07-29,2.62018
2021-07-27,2.62117
2021-07-23,2.62215
2021-07-22,2.62313
2021-07-21,2.62409
2021-07-20,2.62505
2021-07-19,2.626
2021-07-16,2.62694
2021-07-15,2.62788
2021-07-14,2.62894
2021-07-13,2.63032
2021-07-12,2.63168
2021-07-09,2.63303
2021-07-08,2.63437
2021-07-07,2.6357
2021-07-06,2.63702
2021-07-05,2.63833
2021-07-02,2.63962
2021-07-01,2.64091
2021-06-30,2.64219
2021-06-29,2.64346
2021-06-28,2.64471
2021-06-25,2.85334
2021-06-24,2.85985
2021-06-23,2.8663
2021-06-22,2.8727
2021-06-21,2.87905
2021-06-18,2.88535
2021-06-17,2.8916
2021-06-16,2.8978
2021-06-15,2.9202
2021-06-14,2.92021
2021-06-11,2.92022
2021-06-10,2.92022
2021-06-09,2.92023
2021-06-08,2.92024
2021-06-07,2.92025
2021-06-04,2.92026
2021-06-02,2.92027
2021-06-01,2.92027
2021-05-31,3.20023
2021-05-28,3.20064
2021-05-27,3.20106
2021-05-25,3.20147
2021-05-24,3.20187
2021-05-21,3.20228
2021-05-20,3.20268
2021-05-19,3.20307
2021-05-18,3.20347
2021-05-17,3.20386
2021-05-14,3.20425
2021-05-13,3.20463
2021-05-12,3.20501
2021-05-11,3.28309
2021-05-10,3.28535
2021-05-07,3.28758
2021-05-06,3.2898
2021-05-05,3.29201
2021-04-30,3.29419
2021-04-29,3.29636
2021-04-28,3.29851
2021-04-27,3.30064
2021-04-26,3.30276
2021-04-23,3.30486
2021-04-22,3.30694
2021-04-21,3.30901
2021-04-20,3.31106
2021-04-19,3.31309
2021-04-16,3.31511
2021-04-12,3.31711
