Date,Forecasted VaR
2021-12-31,1.14456
2021-12-30,1.14464
2021-12-29,1.14473
2021-12-28,1.14541
2021-12-27,1.1473
2021-12-24,1.1479
2021-12-23,1.14849
2021-12-22,1.14909
2021-12-21,1.14967
2021-12-20,1.15026
2021-12-17,1.04943
2021-12-16,1.05009
2021-12-15,1.05073
2021-12-14,1.05137
2021-12-13,1.05201
2021-12-10,1.05271
2021-12-09,1.05687
2021-12-08,1.05941
2021-12-07,1.06517
2021-12-06,1.07333
2021-12-02,1.08133
2021-12-01,1.08903
2021-11-30,1.12881
2021-11-29,1.13979
2021-11-26,1.14582
2021-11-25,1.14741
2021-11-24,1.14792
2021-11-23,1.14842
2021-11-22,1.14892
2021-11-19,1.14942
2021-11-18,1.14991
2021-11-17,1.1504
2021-11-16,1.15088
2021-11-15,1.15145
2021-11-12,1.15269
2021-11-11,1.1634
2021-11-10,1.17003
2021-11-09,1.1754
2021-11-08,1.17565
2021-11-05,1.17589
2021-11-03,1.17613
2021-11-02,1.17637
2021-11-01,1.17661
2021-10-29,1.1769
2021-10-28,1.17835
2021-10-27,1.17991
2021-10-26,1.18145
2021-10-25,1.18298
2021-10-22,1.1845
2021-10-21,1.19752
2021-10-20,1.1989
2021-10-18,1.20027
2021-10-15,1.20234
2021-10-14,1.20256
2021-10-13,1.20726
2021-10-12,1.20768
2021-10-11,1.20809
2021-10-08,1.21692
2021-10-07,1.21726
2021-10-06,1.17623
2021-10-05,1.17643
2021-10-04,1.17664
2021-10-01,1.17689
2021-09-30,1.17807
2021-09-29,1.17941
2021-09-28,1.18073
2021-09-27,1.18205
2021-09-24,1.18335
2021-09-23,1.18464
2021-09-22,1.19744
2021-09-21,1.19862
2021-09-20,1.19978
2021-09-17,1.20094
2021-09-15,1.20242
2021-09-14,1.20261
2021-09-13,1.20728
2021-09-10,1.20763
2021-09-09,1.20798
2021-09-08,1.20833
2021-09-07,1.21706
2021-09-06,1.21735
2021-09-03,1.23702
2021-09-02,1.23833
2021-09-01,1.24841
2021-08-30,1.25127
2021-08-27,1.25525
2021-08-26,1.25944
2021-08-25,1.29398
2021-08-24,1.19789
2021-08-23,1.1989
2021-08-20,1.1999
2021-08-19,1.2009
2021-08-18,1.20238
2021-08-17,1.17593
2021-08-16,1.17609
2021-08-13,1.17624
2021-08-12,1.17639
2021-08-11,1.17655
2021-08-09,1.17672
2021-08-06,1.1769
2021-08-05,1.17781
2021-08-04,1.1788
2021-08-03,1.17978
2021-08-02,1.18076
2021-07-30,1.18173
2021-07-29,1.18269
2021-07-28,1.18364
2021-07-27,1.18458
2021-07-26,1.18552
2021-07-23,1.19793
2021-07-22,1.19878
2021-07-21,1.19963
2021-07-19,1.20046
2021-07-16,1.2013
2021-07-15,1.20242
2021-07-14,1.20256
2021-07-13,1.20709
2021-07-12,1.20734
2021-07-09,1.20759
2021-07-08,1.20784
2021-07-07,1.20809
2021-07-06,1.20834
2021-07-05,1.21699
2021-07-02,1.21719
2021-07-01,1.21739
2021-06-30,1.23682
2021-06-29,1.23774
2021-06-28,1.23865
2021-06-25,1.24824
2021-06-24,1.25024
2021-06-23,1.25244
2021-06-22,1.25536
2021-06-21,1.25826
2021-06-18,1.26113
2021-06-17,1.29402
2021-06-16,1.29433
2021-06-15,1.29463
2021-06-14,1.29493
2021-06-11,1.30247
2021-06-10,1.30417
2021-06-09,1.30586
2021-06-08,1.30753
2021-06-04,1.30919
2021-06-03,1.30946
2021-06-02,1.30951
2021-06-01,1.30957
2021-05-31,1.30962
2021-05-28,1.30968
2021-05-27,1.30973
2021-05-25,1.30979
2021-05-24,1.36102
2021-05-21,1.36121
2021-05-20,1.36139
2021-05-19,1.36157
2021-05-18,1.36175
2021-05-17,1.36193
2021-05-12,1.36211
2021-05-11,1.36228
2021-05-10,1.36245
2021-05-07,1.36263
2021-05-06,1.3628
2021-05-05,1.36297
2021-05-04,1.36314
2021-05-03,1.3633
2021-04-30,1.36347
2021-04-28,1.36363
2021-04-27,1.38775
2021-04-26,1.39377
2021-04-23,1.42778
2021-04-22,1.4292
2021-04-21,1.43062
2021-04-20,1.43203
2021-04-19,1.43646
2021-04-16,1.44065
2021-04-15,1.44481
2021-04-14,1.44893
2021-04-13,1.48486
2021-04-12,1.4866
2021-04-09,1.48832
2021-04-08,1.49092
2021-04-07,1.4945
2021-04-06,1.49805
2021-04-05,1.50157
2021-04-02,1.5062
2021-04-01,1.5071
2021-03-31,1.50799
2021-03-30,1.50887
2021-03-29,1.50974
2021-03-26,1.51061
2021-03-25,1.51146
2021-03-24,1.51232
2021-03-23,1.51316
2021-03-22,1.514
2021-03-19,1.51483
2021-03-18,1.51566
2021-03-17,1.51648
2021-03-16,1.51729
2021-03-15,1.5255
2021-03-12,1.52567
2021-03-11,1.52584
2021-03-10,1.52601
2021-03-09,1.52618
2021-03-08,1.52634
2021-03-05,1.5265
2021-03-04,1.52667
2021-03-03,1.52683
2021-03-02,1.52699
2021-03-01,1.52714
2021-02-26,1.5273
2021-02-25,1.51264
2021-02-24,1.51337
2021-02-23,1.51409
2021-02-22,1.5148
2021-02-19,1.51551
2021-02-18,1.51621
2021-02-17,1.51691
2021-02-16,1.53569
2021-02-15,1.54011
2021-02-11,1.54202
2021-02-10,1.54392
2021-02-09,1.5458
2021-02-08,1.54766
2021-02-05,1.54952
2021-02-04,1.64196
2021-02-03,1.64222
2021-02-02,1.64247
2021-01-29,1.77749
2021-01-27,1.77947
2021-01-26,1.78144
2021-01-25,1.78339
2021-01-22,1.78533
2021-01-21,1.78725
2021-01-20,1.78916
2021-01-19,1.79105
2021-01-18,1.79293
2021-01-15,1.79479
2021-01-14,1.79663
2021-01-13,1.79846
2021-01-12,1.80028
2021-01-11,1.80208
2021-01-08,1.54838
2021-01-07,1.64177
2021-01-06,1.64199
2021-01-05,1.64221
2021-01-04,1.64242
2020-12-31,1.64264
2020-12-30,1.77855
2020-12-29,1.78024
2020-12-28,1.78191
2020-12-24,1.78358
2020-12-23,1.78523
2020-12-22,1.78686
2020-12-21,1.78849
2020-12-18,1.7901
2020-12-17,1.79169
