Date,Forecasted VaR
2021-12-31,1.79391
2021-12-29,1.79392
2021-12-28,1.79393
2021-12-27,1.79394
2021-12-24,1.79898
2021-12-23,1.87557
2021-12-22,1.87618
2021-12-21,1.87678
2021-12-20,1.87738
2021-12-17,1.87797
2021-12-16,1.87855
2021-12-15,1.87914
2021-12-14,1.87972
2021-12-13,1.88029
2021-12-10,1.88086
2021-12-09,1.88142
2021-12-08,1.88198
2021-12-07,1.88254
2021-12-06,1.88309
2021-12-03,1.88364
2021-12-02,1.88418
2021-12-01,1.88633
2021-11-29,1.91839
2021-11-26,1.95371
2021-11-25,2.00369
2021-11-24,2.00609
2021-11-23,2.02235
2021-11-22,2.02467
2021-11-19,2.02696
2021-11-18,2.11871
2021-11-17,2.12303
2021-11-16,2.12306
2021-11-15,2.12309
2021-11-12,2.12311
2021-11-11,2.12314
2021-11-10,2.12316
2021-11-09,2.12319
2021-11-08,2.12321
2021-11-05,2.12323
2021-11-04,2.12326
2021-11-03,2.12328
2021-11-02,2.12331
2021-10-29,2.12333
2021-10-28,2.15077
2021-10-27,2.15712
2021-10-26,2.16334
2021-10-25,2.16951
2021-10-22,2.25768
2021-10-21,2.27918
2021-10-20,2.28224
2021-10-19,2.28527
2021-10-18,2.28828
2021-10-15,2.29126
2021-10-14,2.29422
2021-10-13,2.29716
2021-10-12,2.30007
2021-10-11,2.12322
2021-10-08,2.12324
2021-10-07,2.12326
2021-10-06,2.12328
2021-10-05,2.1233
2021-10-04,2.12332
2021-10-01,2.14778
2021-09-30,2.15324
2021-09-29,2.15862
2021-09-28,2.16392
2021-09-27,2.16918
2021-09-24,2.2232
2021-09-23,2.2586
2021-09-22,2.28069
2021-09-21,2.28328
2021-09-20,2.28584
2021-09-17,2.28838
2021-09-16,2.2909
2021-09-15,2.2934
2021-09-14,2.29588
2021-09-13,2.29834
2021-09-10,2.30079
2021-09-09,2.30321
2021-09-08,2.32125
2021-09-07,2.32155
2021-09-06,2.32185
2021-09-03,2.32216
2021-09-02,2.32245
2021-09-01,2.32275
2021-08-31,2.32304
2021-08-27,2.32334
2021-08-26,2.32362
2021-08-25,2.32391
2021-08-24,2.3242
2021-08-23,2.32448
2021-08-20,2.32476
2021-08-19,2.32504
2021-08-18,2.32531
2021-08-17,2.32559
2021-08-16,2.29928
2021-08-13,2.30138
2021-08-12,2.30346
2021-08-11,2.30552
2021-08-10,2.3215
2021-08-09,2.32176
2021-08-06,2.32202
2021-08-05,2.32227
2021-08-04,2.32253
2021-08-03,2.32278
2021-08-02,2.28051
2021-07-30,2.28244
2021-07-29,2.28436
2021-07-28,2.28626
2021-07-27,2.02259
2021-07-26,2.02378
2021-07-23,2.02496
2021-07-22,2.02613
2021-07-21,2.06413
2021-07-20,2.068
2021-07-19,2.14655
2021-07-16,2.15012
2021-07-15,2.15365
2021-07-14,2.15715
2021-07-13,2.16059
2021-07-12,2.16399
2021-07-09,2.16737
2021-07-08,2.17072
2021-07-07,2.21219
2021-07-06,2.25808
2021-07-05,2.25885
2021-07-02,2.30175
2021-07-01,2.30199
2021-06-30,2.30224
2021-06-29,2.30248
2021-06-28,2.30273
2021-06-25,2.30297
2021-06-24,2.3032
2021-06-23,2.30344
2021-06-22,2.30367
2021-06-21,2.30391
2021-06-18,2.30414
2021-06-17,2.30436
2021-06-16,2.30459
2021-06-15,2.30482
2021-06-14,2.30504
2021-06-11,2.30526
2021-06-10,2.30548
2021-06-09,2.32374
2021-06-08,2.32845
2021-06-07,2.33312
2021-06-04,2.33776
2021-06-03,2.34235
2021-06-02,2.30258
2021-06-01,2.30278
2021-05-31,2.30299
2021-05-28,2.30319
2021-05-27,2.15259
2021-05-26,1.95563
2021-05-25,2.00235
2021-05-24,2.00319
2021-05-21,2.00403
2021-05-20,2.00486
2021-05-18,2.00568
2021-05-17,2.0065
2021-05-14,2.0073
2021-05-12,2.022
2021-05-11,2.02278
2021-05-10,2.02356
2021-05-07,2.02433
2021-05-06,2.0251
2021-05-05,2.02585
2021-05-04,2.02661
2021-05-03,2.06435
2021-04-30,2.06683
2021-04-29,2.08037
2021-04-28,2.14647
2021-04-27,2.14875
2021-04-26,2.151
2021-04-23,2.15324
2021-04-22,2.15546
2021-04-21,2.17374
2021-04-20,2.17375
2021-04-19,2.17376
2021-04-16,2.17376
2021-04-15,2.17377
2021-04-14,2.17378
2021-04-13,2.17379
2021-04-12,2.1738
2021-04-08,2.22359
2021-04-07,2.25786
2021-04-06,2.25834
2021-04-05,2.25881
2021-03-31,2.32277
2021-03-30,2.32605
2021-03-29,2.32931
2021-03-26,2.33253
2021-03-25,2.33574
2021-03-24,2.33891
2021-03-23,2.34206
2021-03-22,2.34519
2021-03-19,2.34829
2021-03-18,2.35136
2021-03-17,2.35442
2021-03-16,2.35744
2021-03-15,2.36045
2021-03-12,2.36344
2021-03-11,2.40244
2021-03-10,2.40508
2021-03-09,2.4077
2021-03-08,2.4103
2021-03-05,2.41288
2021-03-04,2.41544
2021-03-03,2.41798
2021-03-02,2.4205
2021-03-01,2.423
2021-02-26,2.42547
2021-02-24,2.42793
2021-02-23,2.43037
2021-02-22,2.44436
2021-02-19,2.44662
2021-02-18,2.44886
2021-02-17,2.45108
2021-02-16,2.45328
2021-02-15,2.45547
2021-02-11,2.57085
2021-02-10,2.57107
2021-02-09,2.57128
2021-02-08,2.5715
2021-02-05,2.57172
2021-02-04,2.57193
2021-02-03,2.57214
2021-02-02,2.57235
2021-02-01,2.42146
2021-01-29,2.4236
2021-01-28,2.42573
2021-01-27,2.42784
2021-01-26,2.42993
2021-01-25,2.44363
2021-01-22,2.44557
2021-01-21,2.44749
2021-01-20,2.44939
2021-01-19,2.45129
2021-01-18,2.45316
2021-01-15,2.45502
2021-01-14,2.57077
2021-01-13,2.57096
2021-01-12,2.57114
2021-01-11,2.57133
2021-01-08,2.57151
2021-01-07,2.57169
2021-01-06,2.57187
2021-01-05,2.57205
2021-01-04,2.57222
2020-12-29,2.5724
2020-12-28,2.57257
2020-12-23,2.65511
2020-12-22,2.65669
2020-12-21,2.65826
2020-12-18,2.65982
2020-12-17,2.66136
2020-12-16,2.66289
2020-12-15,2.66441
2020-12-14,2.66592
2020-12-11,2.66741
2020-12-10,2.66889
2020-12-09,2.67036
2020-12-07,2.67182
2020-12-04,2.67327
2020-12-03,2.6747
2020-12-02,2.67613
2020-12-01,2.57212
2020-11-27,2.57227
2020-11-26,2.57242
2020-11-25,2.57257
2020-11-24,2.65483
2020-11-23,2.65618
2020-11-20,2.65753
2020-11-19,2.65886
2020-11-18,2.66019
2020-11-17,2.6615
2020-11-16,2.66281
2020-11-13,2.6641
2020-11-11,2.66538
2020-11-10,2.57124
2020-11-09,2.57138
2020-11-06,2.57151
2020-11-05,2.2586
2020-11-04,2.25882
2020-11-03,2.25903
2020-10-30,2.443
2020-10-29,2.44428
2020-10-28,2.44554
2020-10-27,2.4468
2020-10-26,2.44804
2020-10-23,2.44928
2020-10-22,2.4505
2020-10-21,2.15389
2020-10-20,2.15475
2020-10-19,2.1556
2020-10-16,2.20869
2020-10-15,2.24331
2020-10-14,2.25764
2020-10-13,2.25783
2020-10-12,2.25802
2020-10-09,2.25821
2020-10-08,2.2584
2020-10-07,2.25859
2020-10-06,2.25877
2020-10-05,2.25896
2020-10-02,2.44235
2020-10-01,2.44344
2020-09-30,2.44452
2020-09-29,2.44559
2020-09-28,2.44665
2020-09-25,2.4477
2020-09-24,2.44874
2020-09-23,2.44978
2020-09-22,2.45081
2020-09-21,2.45182
2020-09-18,2.45283
2020-09-17,2.45384
2020-09-16,2.45483
2020-09-15,2.51276
2020-09-14,2.57076
2020-09-11,2.57086
2020-09-10,2.57096
2020-09-09,2.57106
2020-09-08,2.57115
2020-09-07,2.44277
2020-09-04,2.4437
2020-09-03,2.44463
2020-09-02,2.44555
2020-09-01,2.44646
2020-08-28,2.44736
2020-08-27,2.44826
2020-08-26,2.44914
2020-08-25,2.45003
2020-08-24,2.4509
2020-08-20,2.45177
2020-08-19,2.45263
2020-08-18,2.45348
2020-08-17,2.45433
2020-08-14,2.45517
2020-08-13,2.517
2020-08-12,2.60292
2020-08-11,2.70174
2020-08-10,2.70518
2020-08-07,2.77624
2020-08-06,2.79076
2020-08-05,2.79326
2020-08-04,2.79574
2020-08-03,2.79819
2020-07-30,2.80063
2020-07-29,2.80305
2020-07-28,2.80545
2020-07-27,2.80783
2020-07-24,2.81019
2020-07-23,2.81253
2020-07-22,2.81485
2020-07-21,2.96854
2020-07-20,2.96978
2020-07-17,2.971
2020-07-16,2.97221
2020-07-15,2.97342
2020-07-14,2.97461
2020-07-13,2.97579
2020-07-10,2.97697
2020-07-09,2.97813
2020-07-08,2.97929
2020-07-07,2.98044
2020-07-06,2.98157
2020-07-03,2.9827
2020-07-02,3.16087
2020-07-01,3.17395
2020-06-30,3.18693
2020-06-29,3.19981
2020-06-26,3.21259
2020-06-25,3.22526
2020-06-24,3.23783
2020-06-23,3.2503
2020-06-22,3.26267
2020-06-19,3.27494
2020-06-18,3.28711
2020-06-17,3.29919
2020-06-16,3.4145
2020-06-15,3.5834
2020-06-11,3.58397
2020-06-10,3.58455
2020-06-09,3.58512
2020-06-08,3.58568
2020-06-05,3.58625
2020-06-04,3.1659
2020-06-03,2.81707
2020-06-02,2.81709
2020-06-01,2.81711
2020-05-29,2.70208
2020-05-28,2.70438
2020-05-27,2.70666
2020-05-26,2.77756
2020-05-22,2.81682
2020-05-21,2.81683
2020-05-20,2.81685
2020-05-19,2.81687
2020-05-18,2.81689
2020-05-15,2.81691
2020-05-14,2.81693
2020-05-13,2.81694
2020-05-12,2.81696
2020-05-11,2.81698
2020-05-08,2.817
2020-05-07,2.81701
2020-05-06,2.81703
2020-05-05,2.81705
2020-05-04,2.81707
2020-04-30,2.81708
2020-04-29,2.8171
2020-04-28,2.81712
2020-04-27,2.96903
2020-04-24,2.9698
2020-04-23,2.97057
2020-04-22,2.97133
2020-04-21,2.97209
2020-04-20,2.97284
2020-04-17,2.81691
2020-04-16,2.81693
2020-04-15,2.24432
2020-04-14,2.0664
2020-04-13,2.06672
2020-04-08,2.06704
2020-04-07,2.06736
2020-04-06,1.95214
2020-04-03,1.95298
2020-04-02,1.9538
2020-04-01,1.95462
2020-03-31,1.92447
2020-03-30,1.92538
2020-03-27,1.92628
2020-03-26,1.79625
2020-03-25,1.74826
2020-03-24,1.74838
2020-03-20,1.72742
2020-03-19,1.72747
2020-03-16,1.72752
2020-03-13,1.72757
2020-03-12,1.72761
2020-03-11,1.72766
2020-03-10,1.72771
2020-03-09,1.72775
2020-03-06,1.73313
2020-03-05,1.73378
2020-03-04,1.74059
2020-03-03,1.74742
2020-03-02,1.74752
2020-02-28,1.74762
2020-02-27,1.74772
2020-02-26,1.74782
2020-02-24,1.74792
2020-02-21,1.74802
2020-02-20,1.74812
2020-02-19,1.74821
2020-02-18,1.74831
2020-02-17,1.7484
2020-02-14,1.7485
2020-02-13,1.74859
2020-02-12,1.74868
2020-02-11,1.75121
2020-02-10,1.75493
2020-02-07,1.76693
2020-02-06,1.7394
2020-02-05,1.74734
2020-02-04,1.74743
2020-02-03,1.74751
2020-01-31,1.7476
2020-01-30,1.74769
2020-01-29,1.74777
2020-01-28,1.74786
2020-01-27,1.74794
2020-01-24,1.74803
2020-01-23,1.68685
2020-01-22,1.68739
2020-01-21,1.68793
2020-01-20,1.68846
2020-01-17,1.69206
2020-01-16,1.69222
2020-01-15,1.69237
2020-01-14,1.70578
2020-01-10,1.73306
2020-01-09,1.73343
2020-01-08,1.73931
2020-01-07,1.74073
2020-01-06,1.7474
2020-01-03,1.74747
2020-01-02,1.74754
2019-12-27,1.74762
2019-12-26,1.74769
2019-12-23,1.74776
2019-12-20,1.74784
2019-12-19,1.74791
2019-12-18,1.74798
2019-12-17,1.74805
2019-12-16,1.74812
2019-12-13,1.69212
2019-12-12,1.69225
2019-12-11,1.69238
2019-12-10,1.70545
2019-12-09,1.733
2019-12-06,1.73331
2019-12-05,1.73363
2019-12-04,1.73986
2019-12-03,1.74888
2019-12-02,1.66079
2019-11-29,1.66085
2019-11-28,1.6609
2019-11-27,1.68592
2019-11-26,1.68633
2019-11-25,1.68674
2019-11-22,1.68714
2019-11-21,1.68754
2019-11-20,1.68793
2019-11-19,1.68833
2019-11-18,1.68871
2019-11-15,1.6921
2019-11-14,1.69221
2019-11-13,1.69232
2019-11-12,1.69243
2019-11-11,1.70689
2019-11-08,1.73301
2019-11-06,1.73327
2019-11-05,1.59864
2019-11-04,1.59917
2019-10-31,1.61203
2019-10-30,1.61251
2019-10-29,1.68585
2019-10-28,1.6862
2019-10-25,1.68655
2019-10-24,1.68689
2019-10-23,1.68723
2019-10-22,1.68757
2019-10-21,1.68791
2019-10-18,1.68825
2019-10-17,1.68858
2019-10-16,1.69204
2019-10-15,1.69213
2019-10-14,1.69223
2019-10-11,1.69232
2019-10-10,1.69241
2019-10-09,1.70509
2019-10-08,1.71054
2019-10-07,1.73312
2019-10-04,1.61221
2019-10-03,1.61262
2019-10-02,1.68588
2019-10-01,1.68619
2019-09-30,1.68648
2019-09-27,1.68678
2019-09-26,1.68707
2019-09-25,1.68737
2019-09-24,1.68766
2019-09-23,1.68794
2019-09-20,1.68823
2019-09-19,1.68851
2019-09-18,1.68879
2019-09-17,1.69209
2019-09-16,1.69217
2019-09-13,1.69224
2019-09-12,1.69232
2019-09-11,1.6924
2019-09-10,1.69248
2019-09-09,1.70817
2019-09-06,1.73298
2019-09-05,1.73317
2019-09-04,1.73336
2019-09-03,1.73355
2019-09-02,1.73887
2019-08-30,1.73976
2019-08-29,1.74047
2019-08-28,1.74912
2019-08-27,1.75064
2019-08-23,1.75215
2019-08-22,1.75365
2019-08-20,1.75514
2019-08-19,1.69212
2019-08-16,1.69219
2019-08-15,1.69225
2019-08-14,1.69232
2019-08-13,1.69239
2019-08-09,1.69245
2019-08-08,1.70603
2019-08-07,1.68628
2019-08-06,1.6865
2019-08-05,1.68673
2019-08-02,1.68695
2019-08-01,1.68716
2019-07-31,1.68738
2019-07-30,1.6876
2019-07-29,1.68781
2019-07-26,1.68802
2019-07-25,1.68823
2019-07-24,1.68844
2019-07-23,1.68865
2019-07-22,1.69202
2019-07-19,1.69208
2019-07-18,1.69214
2019-07-17,1.6922
2019-07-16,1.69226
2019-07-15,1.68592
2019-07-12,1.68611
2019-07-11,1.6863
2019-07-10,1.6865
2019-07-09,1.68669
2019-07-08,1.68688
2019-07-05,1.68706
2019-07-04,1.68725
2019-07-03,1.68743
2019-07-02,1.68762
2019-07-01,1.6878
2019-06-28,1.68798
2019-06-27,1.68816
2019-06-26,1.68833
2019-06-25,1.68851
2019-06-24,1.68868
2019-06-21,1.69202
2019-06-20,1.69207
2019-06-19,1.69212
