Date,Forecasted VaR
2021-12-31,1.2548
2021-12-30,1.25485
2021-12-29,1.25491
2021-12-28,1.25496
2021-12-27,1.25501
2021-12-24,1.25507
2021-12-23,1.25512
2021-12-22,1.25517
2021-12-21,1.25522
2021-12-20,1.26122
2021-12-17,1.26271
2021-12-16,1.2636
2021-12-15,1.26365
2021-12-14,1.26371
2021-12-13,1.26376
2021-12-10,1.26382
2021-12-09,1.26387
2021-12-08,1.26393
2021-12-07,1.26398
2021-12-06,1.26403
2021-12-03,1.26409
2021-12-02,1.26414
2021-12-01,1.25498
2021-11-30,1.25503
2021-11-29,1.25507
2021-11-26,1.25512
2021-11-25,1.25516
2021-11-24,1.2552
2021-11-23,1.26052
2021-11-22,1.2618
2021-11-19,1.26306
2021-11-18,1.2636
2021-11-17,1.26365
2021-11-16,1.2637
2021-11-15,1.26375
2021-11-12,1.26379
2021-11-11,1.26384
2021-11-10,1.26388
2021-11-09,1.26393
2021-11-08,1.26397
2021-11-05,1.26402
2021-11-03,1.26406
2021-11-02,1.26411
2021-11-01,1.26415
2021-10-29,1.26419
2021-10-28,1.26424
2021-10-27,1.26428
2021-10-26,1.26819
2021-10-25,1.28029
2021-10-22,1.28048
2021-10-21,1.28066
2021-10-20,1.28085
2021-10-19,1.28104
2021-10-18,1.28122
2021-10-15,1.2814
2021-10-14,1.28159
2021-10-13,1.2639
2021-10-12,1.26394
2021-10-11,1.26398
2021-10-08,1.26402
2021-10-07,1.26406
2021-10-06,1.26409
2021-10-05,1.26413
2021-10-04,1.26417
2021-10-01,1.2642
2021-09-30,1.26424
2021-09-29,1.26428
2021-09-28,1.26772
2021-09-27,1.26968
2021-09-24,1.28038
2021-09-23,1.28054
2021-09-22,1.2807
2021-09-21,1.28086
2021-09-20,1.2814
2021-09-17,1.28151
2021-09-16,1.28163
2021-09-15,1.28174
2021-09-14,1.28186
2021-09-13,1.28197
2021-09-10,1.28208
2021-09-09,1.28219
2021-09-08,1.2823
2021-09-07,1.28241
2021-09-06,1.28252
2021-09-03,1.28297
2021-09-02,1.28302
2021-09-01,1.28307
2021-08-31,1.28311
2021-08-30,1.28321
2021-08-27,1.2839
2021-08-26,1.28737
2021-08-25,1.28766
2021-08-24,1.28796
2021-08-23,1.28825
2021-08-20,1.3157
2021-08-19,1.31581
2021-08-18,1.31593
2021-08-17,1.31604
2021-08-16,1.31615
2021-08-13,1.31626
2021-08-12,1.31637
2021-08-11,1.31648
2021-08-10,1.31659
2021-08-06,1.3167
2021-08-05,1.31681
2021-08-04,1.31691
2021-08-03,1.31702
2021-08-02,1.31713
2021-07-30,1.31723
2021-07-29,1.31733
2021-07-28,1.33219
2021-07-27,1.33408
2021-07-26,1.33596
2021-07-23,1.33782
2021-07-22,1.33966
2021-07-21,1.35618
2021-07-19,1.36984
2021-07-16,1.3714
2021-07-15,1.37229
2021-07-14,1.37289
