Date,Forecasted VaR
2021-12-30,1.3554
2021-12-29,1.36302
2021-12-28,1.36439
2021-12-27,1.36627
2021-12-24,1.38998
2021-12-23,1.39008
2021-12-22,1.39019
2021-12-21,1.39029
2021-12-20,1.39039
2021-12-17,1.3905
2021-12-16,1.3906
2021-12-15,1.3907
2021-12-14,1.3908
2021-12-13,1.3909
2021-12-09,1.39099
2021-12-08,1.39109
2021-12-07,1.39843
2021-12-03,1.39852
2021-12-02,1.39862
2021-12-01,1.35541
2021-11-30,1.36425
2021-11-29,1.3644
2021-11-26,1.3662
2021-11-25,1.36781
2021-11-24,1.39005
2021-11-23,1.39014
2021-11-22,1.39023
2021-11-19,1.39032
2021-11-18,1.3904
2021-11-17,1.39049
2021-11-16,1.39058
2021-11-15,1.39066
2021-11-12,1.39075
2021-11-11,1.39083
2021-11-10,1.39091
2021-11-09,1.391
2021-11-08,1.39108
2021-11-05,1.4232
2021-11-04,1.42378
2021-11-03,1.42435
2021-11-02,1.42492
2021-11-01,1.42534
2021-10-29,1.4257
2021-10-28,1.42604
2021-10-27,1.43435
2021-10-26,1.43499
2021-10-25,1.43561
2021-10-21,1.43623
2021-10-20,1.43685
2021-10-19,1.43746
2021-10-18,1.43807
2021-10-15,1.43928
2021-10-14,1.44022
2021-10-12,1.44111
2021-10-11,1.44371
2021-10-08,1.44384
2021-10-07,1.44396
2021-10-06,1.44409
2021-10-05,1.44592
2021-10-04,1.44688
2021-10-01,1.44784
2021-09-30,1.44878
2021-09-29,1.44972
2021-09-28,1.45065
2021-09-27,1.45157
2021-09-23,1.45248
2021-09-22,1.45339
2021-09-21,1.46382
2021-09-20,1.4682
2021-09-17,1.48405
2021-09-16,1.48445
2021-09-15,1.48485
2021-09-14,1.48524
2021-09-13,1.48563
2021-09-10,1.50776
2021-09-09,1.5079
2021-09-08,1.50804
2021-09-07,1.50819
2021-09-06,1.50833
2021-09-03,1.50847
2021-09-02,1.50861
2021-09-01,1.54648
2021-08-31,1.55595
2021-08-30,1.55601
2021-08-27,1.55606
2021-08-26,1.55611
2021-08-25,1.55617
2021-08-24,1.55622
2021-08-23,1.4842
2021-08-20,1.48455
2021-08-19,1.48489
2021-08-18,1.48523
2021-08-17,1.48556
2021-08-16,1.50771
2021-08-13,1.50783
2021-08-11,1.50796
2021-08-10,1.50808
2021-08-09,1.5082
2021-08-06,1.50832
2021-08-05,1.50844
2021-08-04,1.50856
2021-08-03,1.50868
2021-08-02,1.5466
2021-07-30,1.55596
2021-07-29,1.55601
2021-07-27,1.55605
2021-07-23,1.5561
2021-07-22,1.55614
2021-07-21,1.55619
2021-07-20,1.55623
2021-07-19,1.55627
2021-07-16,1.55632
2021-07-15,1.55636
2021-07-14,1.5564
2021-07-13,1.55645
2021-07-12,1.55649
2021-07-09,1.55653
2021-07-08,1.55657
2021-07-07,1.56763
2021-07-06,1.56893
2021-07-05,1.58184
2021-07-02,1.58188
2021-07-01,1.58192
2021-06-30,1.58196
2021-06-29,1.58199
2021-06-28,1.58203
2021-06-25,1.59811
2021-06-24,1.59894
2021-06-23,1.59975
2021-06-22,1.59988
2021-06-21,1.59991
2021-06-18,1.59994
2021-06-17,1.59997
2021-06-16,1.59999
2021-06-15,1.60002
2021-06-14,1.60005
2021-06-11,1.60008
2021-06-10,1.64868
2021-06-09,1.64957
2021-06-08,1.65044
2021-06-07,1.65131
2021-06-04,1.65217
2021-06-02,1.65303
2021-06-01,1.65388
2021-05-31,1.65472
2021-05-28,1.65555
2021-05-27,1.65638
2021-05-25,1.6572
2021-05-24,1.65802
2021-05-21,1.65883
2021-05-20,1.65963
2021-05-19,1.66042
2021-05-18,1.66121
2021-05-17,1.66316
2021-05-14,1.6649
2021-05-13,1.66662
2021-05-12,1.73387
2021-05-11,1.73412
2021-05-10,1.73437
2021-05-07,1.73461
2021-05-06,1.79917
2021-05-05,1.80115
2021-04-30,1.80312
2021-04-29,1.8052
2021-04-28,1.80738
2021-04-27,1.80953
2021-04-26,1.81167
2021-04-23,1.8492
2021-04-22,1.84964
2021-04-21,1.85596
2021-04-20,1.85598
2021-04-19,1.85599
2021-04-16,1.85605
2021-04-12,1.98298
2021-04-09,1.98336
2021-04-08,1.98373
2021-04-07,1.98409
2021-04-05,1.98446
2021-04-02,1.98482
2021-04-01,1.98518
2021-03-31,1.98553
2021-03-30,1.98589
2021-03-29,1.98624
2021-03-26,2.01177
2021-03-25,2.01334
2021-03-24,2.01489
2021-03-23,2.01643
2021-03-22,2.01796
2021-03-19,2.01947
2021-03-18,2.02098
2021-03-17,2.02247
2021-03-16,2.02395
2021-03-15,2.02542
2021-03-12,2.07563
2021-03-11,2.07596
2021-03-10,2.07628
2021-03-09,2.15018
2021-03-08,2.15553
