Date,Forecasted VaR
2021-12-31,2.33471
2021-12-30,2.33497
2021-12-29,2.33523
2021-12-28,2.3355
2021-12-27,2.33575
2021-12-24,2.33601
2021-12-23,2.33626
2021-12-22,2.33652
2021-12-21,2.33677
2021-12-20,2.33702
2021-12-17,2.33726
2021-12-16,2.33751
2021-12-15,2.33775
2021-12-14,2.33799
2021-12-13,2.33823
2021-12-10,2.34694
2021-12-09,2.3478
2021-12-08,2.34865
2021-12-07,2.33454
2021-12-06,2.33477
2021-12-03,2.335
2021-12-02,2.33523
2021-12-01,2.33545
2021-11-30,2.33567
2021-11-29,2.33589
2021-11-26,2.33611
2021-11-25,2.33633
2021-11-24,2.33654
2021-11-23,2.33675
2021-11-22,2.33696
2021-11-19,2.33717
2021-11-18,2.33738
2021-11-17,2.21997
2021-11-16,2.29611
2021-11-15,2.30328
2021-11-12,2.31374
2021-11-11,2.3467
2021-11-10,2.34742
2021-11-09,2.34814
2021-11-08,2.34886
2021-11-05,2.34957
2021-11-04,2.35027
2021-11-03,2.35097
2021-11-02,2.35166
2021-11-01,2.35235
2021-10-29,2.37189
2021-10-28,2.3725
2021-10-27,2.37311
2021-10-26,2.37371
2021-10-25,2.37431
2021-10-22,2.3749
2021-10-21,2.42005
2021-10-20,2.42044
2021-10-19,2.42083
2021-10-18,2.42121
2021-10-15,2.42159
2021-10-14,2.42197
2021-10-13,2.42235
2021-10-12,2.42272
2021-10-11,2.42309
2021-10-08,2.42674
2021-10-07,2.43139
2021-10-06,2.436
2021-10-05,2.44058
2021-10-04,2.44512
2021-10-01,2.44962
2021-09-30,2.45409
2021-09-29,2.47209
2021-09-28,2.47615
2021-09-27,2.47896
2021-09-24,2.4811
2021-09-23,2.48322
2021-09-22,2.48533
2021-09-21,2.48741
2021-09-20,2.48948
2021-09-17,2.53863
2021-09-16,2.53926
2021-09-15,2.53989
2021-09-14,2.54052
2021-09-13,2.54114
2021-09-10,2.63985
2021-09-09,2.64025
2021-09-08,2.64064
2021-09-07,2.64104
2021-09-06,2.64143
2021-09-01,2.64181
2021-08-31,2.64219
2021-08-30,2.64257
2021-08-27,2.64295
2021-08-26,2.64332
2021-08-25,2.6437
2021-08-24,2.67968
2021-08-23,2.67974
2021-08-20,2.6798
2021-08-19,2.83353
2021-08-18,2.83382
2021-08-17,2.8341
2021-08-16,2.83439
2021-08-13,2.83467
2021-08-12,2.86971
2021-08-11,2.87111
2021-08-10,2.87249
2021-08-09,2.87387
2021-08-06,2.87523
2021-08-05,2.87659
2021-08-04,2.89007
2021-08-03,2.89072
2021-08-02,2.89137
2021-07-30,2.89201
2021-07-29,2.89265
2021-07-28,2.89328
2021-07-27,2.89391
2021-07-26,2.89453
2021-07-23,2.95951
2021-07-22,2.95972
2021-07-21,2.95992
2021-07-20,2.8345
2021-07-19,2.83474
2021-07-16,2.86985
2021-07-15,2.64136
2021-07-14,2.64165
2021-07-13,2.64194
2021-07-12,2.64222
2021-07-09,2.64251
2021-07-08,2.64279
2021-07-07,2.64307
2021-07-06,2.64335
2021-07-05,2.64362
2021-07-02,2.6439
2021-07-01,2.6797
2021-06-30,2.67974
2021-06-29,2.67978
2021-06-28,2.83338
2021-06-25,2.83359
2021-06-24,2.8338
2021-06-23,2.83401
2021-06-22,2.83422
2021-06-21,2.83443
2021-06-18,2.83464
2021-06-17,2.86914
2021-06-16,2.87015
2021-06-15,2.87115
2021-06-14,2.87215
2021-06-11,2.87314
2021-06-10,2.87412
2021-06-09,2.64345
2021-06-08,2.64369
2021-06-07,2.65373
2021-06-04,2.6797
2021-06-03,2.67973
2021-06-02,2.67977
2021-06-01,2.83328
2021-05-31,2.83346
2021-05-28,2.83364
2021-05-27,2.83382
2021-05-26,2.834
2021-05-25,2.83418
2021-05-24,2.83436
2021-05-21,2.83453
2021-05-20,2.83471
2021-05-19,2.86933
