Date,Forecasted VaR
2021-12-31,2.40423
2021-12-30,2.40425
2021-12-29,2.4042
2021-12-28,2.40416
2021-12-27,2.40316
2021-12-24,2.40335
2021-12-23,2.40245
2021-12-22,2.40368
2021-12-21,2.40368
2021-12-20,2.409
2021-12-17,2.40887
2021-12-16,2.41041
2021-12-15,2.41057
2021-12-14,2.41269
2021-12-13,2.41259
2021-12-10,2.41666
2021-12-09,2.41795
2021-12-08,2.41799
2021-12-07,2.4202
2021-12-06,2.41884
2021-12-02,2.41924
2021-12-01,2.41808
2021-11-30,2.41805
2021-11-29,2.42336
2021-11-26,2.42348
2021-11-25,2.42359
2021-11-24,2.42402
2021-11-23,2.42396
2021-11-22,2.42405
2021-11-19,2.42434
2021-11-18,2.42615
2021-11-17,2.42644
2021-11-16,2.42656
2021-11-15,2.42771
2021-11-12,2.42721
2021-11-11,2.42724
2021-11-10,2.42793
2021-11-09,2.42971
2021-11-08,2.42975
2021-11-05,2.42987
2021-11-03,2.42977
2021-11-02,2.43002
2021-11-01,2.42639
2021-10-29,2.42741
2021-10-28,2.42664
2021-10-27,2.42676
2021-10-26,2.42754
2021-10-25,2.42763
2021-10-22,2.43003
2021-10-21,2.42934
2021-10-20,2.42934
2021-10-18,2.43219
2021-10-15,2.43219
2021-10-14,2.43206
2021-10-13,2.43143
2021-10-12,2.43087
2021-10-11,2.43084
2021-10-08,2.43135
2021-10-07,2.43182
2021-10-06,2.42912
2021-10-05,2.42948
2021-10-04,2.43059
2021-10-01,2.43034
2021-09-30,2.42998
2021-09-29,2.43277
2021-09-28,2.4321
2021-09-27,2.43314
2021-09-24,2.43312
2021-09-23,2.43349
2021-09-22,2.43656
2021-09-21,2.43682
2021-09-20,2.43523
2021-09-17,2.44232
2021-09-15,2.44407
2021-09-14,2.44555
2021-09-13,2.44549
2021-09-10,2.44571
2021-09-09,2.44446
2021-09-08,2.44391
2021-09-07,2.44411
2021-09-06,2.44755
2021-09-03,2.44806
2021-09-02,2.44878
2021-09-01,2.44846
2021-08-30,2.44892
2021-08-27,2.44927
2021-08-26,2.45297
2021-08-25,2.45218
2021-08-24,2.44965
2021-08-23,2.4496
2021-08-20,2.4496
2021-08-19,2.44928
2021-08-18,2.45305
2021-08-17,2.45165
2021-08-16,2.45374
2021-08-13,2.45389
2021-08-12,2.45412
2021-08-11,2.45549
2021-08-09,2.45534
2021-08-06,2.45697
2021-08-05,2.45725
2021-08-04,2.45694
2021-08-03,2.4568
2021-08-02,2.4568
2021-07-30,2.45656
2021-07-29,2.45674
2021-07-28,2.45777
2021-07-27,2.45886
2021-07-26,2.45844
2021-07-23,2.46237
2021-07-22,2.46287
2021-07-21,2.46321
2021-07-19,2.47727
2021-07-16,2.47841
2021-07-15,2.48515
2021-07-14,2.48506
2021-07-13,2.49353
2021-07-12,2.50497
2021-07-09,2.50628
2021-07-08,2.50657
2021-07-07,2.50729
2021-07-06,2.50747
2021-07-05,2.50974
2021-07-02,2.51848
2021-07-01,2.52093
2021-06-30,2.52214
2021-06-29,2.52473
2021-06-28,2.53535
2021-06-25,2.53532
2021-06-24,2.54144
2021-06-23,2.54114
2021-06-22,2.54444
2021-06-21,2.5435
2021-06-18,2.54243
2021-06-17,2.54224
2021-06-16,2.54235
2021-06-15,2.54246
2021-06-14,2.54233
2021-06-11,2.5423
2021-06-10,2.54235
2021-06-09,2.55166
2021-06-08,2.55248
2021-06-04,2.55272
2021-06-03,2.55554
2021-06-02,2.5563
2021-06-01,2.55634
2021-05-31,2.55951
2021-05-28,2.55977
2021-05-27,2.55934
2021-05-25,2.55943
2021-05-24,2.56066
2021-05-21,2.56006
2021-05-20,2.55999
2021-05-19,2.56088
2021-05-18,2.56701
2021-05-17,2.56706
2021-05-12,2.56705
2021-05-11,2.56742
2021-05-10,2.56772
2021-05-07,2.56886
2021-05-06,2.56887
2021-05-05,2.56842
2021-05-04,2.57003
2021-05-03,2.57044
2021-04-30,2.57172
2021-04-28,2.57178
2021-04-27,2.57114
2021-04-26,2.57094
2021-04-23,2.57127
2021-04-22,2.57145
2021-04-21,2.57116
2021-04-20,2.57114
2021-04-19,2.57346
2021-04-16,2.57415
2021-04-15,2.57395
2021-04-14,2.574
2021-04-13,2.57413
2021-04-12,2.57415
2021-04-09,2.57479
2021-04-08,2.57478
2021-04-07,2.57329
2021-04-06,2.57897
2021-04-05,2.57921
2021-04-02,2.57921
2021-04-01,2.5807
2021-03-31,2.57652
2021-03-30,2.57696
2021-03-29,2.57841
2021-03-26,2.57863
2021-03-25,2.57994
2021-03-24,2.57991
2021-03-23,2.58061
2021-03-22,2.58057
2021-03-19,2.58087
2021-03-18,2.58329
2021-03-17,2.58604
2021-03-16,2.58685
2021-03-15,2.58686
2021-03-12,2.5873
2021-03-11,2.58712
2021-03-10,2.58686
2021-03-09,2.58648
2021-03-08,2.58679
2021-03-05,2.58624
2021-03-04,2.58757
2021-03-03,2.58774
2021-03-02,2.5883
2021-03-01,2.58832
2021-02-26,2.58834
2021-02-25,2.58652
2021-02-24,2.58634
2021-02-23,2.58624
2021-02-22,2.58721
2021-02-19,2.59029
2021-02-18,2.59376
2021-02-17,2.59348
2021-02-16,2.5936
2021-02-15,2.59432
2021-02-11,2.59533
2021-02-10,2.59497
2021-02-09,2.59541
2021-02-08,2.59532
2021-02-05,2.59519
2021-02-04,2.59523
2021-02-03,2.59528
2021-02-02,2.59482
2021-01-29,2.59501
2021-01-27,2.59513
2021-01-26,2.59532
2021-01-25,2.59399
2021-01-22,2.5942
2021-01-21,2.59434
2021-01-20,2.59446
2021-01-19,2.5945
2021-01-18,2.59413
2021-01-15,2.5939
2021-01-14,2.59394
2021-01-13,2.59243
2021-01-12,2.59242
2021-01-11,2.5923
2021-01-08,2.58969
2021-01-07,2.58944
2021-01-06,2.58868
2021-01-05,2.58896
2021-01-04,2.58703
2020-12-31,2.58686
2020-12-30,2.58723
2020-12-29,2.58702
2020-12-28,2.58746
2020-12-24,2.58794
2020-12-23,2.58818
2020-12-22,2.5874
2020-12-21,2.58956
2020-12-18,2.58813
2020-12-17,2.58809
2020-12-16,2.58794
2020-12-15,2.58765
2020-12-14,2.58732
2020-12-11,2.58528
2020-12-10,2.58514
2020-12-09,2.58511
2020-12-08,2.58497
2020-12-07,2.58535
2020-12-04,2.58649
2020-12-03,2.58839
2020-12-02,2.58916
2020-12-01,2.58408
2020-11-30,2.57765
2020-11-27,2.57761
2020-11-26,2.57873
2020-11-25,2.57779
2020-11-24,2.58207
