Date,Forecasted VaR
2021-12-31,2.77042
2021-12-30,2.77076
2021-12-29,2.77104
2021-12-28,2.77129
2021-12-27,2.77084
2021-12-24,2.77119
2021-12-23,2.77084
2021-12-22,2.77103
2021-12-21,2.77137
2021-12-20,2.77152
2021-12-17,2.77104
2021-12-16,2.77138
2021-12-15,2.77171
2021-12-14,2.7715
2021-12-13,2.77175
2021-12-10,2.77162
2021-12-09,2.7718
2021-12-08,2.7721
2021-12-07,2.77187
2021-12-06,2.77127
2021-12-02,2.77155
2021-12-01,2.77108
2021-11-30,2.7714
2021-11-29,2.77174
2021-11-26,2.772
2021-11-25,2.77228
2021-11-24,2.77262
2021-11-23,2.77292
2021-11-22,2.77326
2021-11-19,2.7736
2021-11-18,2.77393
2021-11-17,2.77427
2021-11-16,2.77461
2021-11-15,2.77474
2021-11-12,2.77469
2021-11-11,2.77502
2021-11-10,2.77534
2021-11-09,2.77533
2021-11-08,2.77564
2021-11-05,2.77599
2021-11-03,2.77622
2021-11-02,2.77645
2021-11-01,2.77421
2021-10-29,2.77449
2021-10-28,2.77416
2021-10-27,2.7745
2021-10-26,2.77481
2021-10-25,2.77516
2021-10-22,2.77547
2021-10-21,2.77527
2021-10-20,2.77562
2021-10-18,2.77583
2021-10-15,2.7761
2021-10-14,2.77629
2021-10-13,2.77599
2021-10-12,2.77592
2021-10-11,2.77616
2021-10-08,2.77649
2021-10-07,2.77683
2021-10-06,2.77501
2021-10-05,2.7752
2021-10-04,2.77553
2021-10-01,2.77539
2021-09-30,2.77547
2021-09-29,2.77582
2021-09-28,2.77568
2021-09-27,2.77603
2021-09-24,2.77623
2021-09-23,2.77631
2021-09-22,2.77665
2021-09-21,2.77698
2021-09-20,2.77618
2021-09-17,2.77641
2021-09-15,2.77676
2021-09-14,2.77654
2021-09-13,2.7768
2021-09-10,2.77712
2021-09-09,2.77658
2021-09-08,2.77645
2021-09-07,2.77679
2021-09-06,2.77698
2021-09-03,2.77722
2021-09-02,2.77751
2021-09-01,2.77732
2021-08-30,2.77738
2021-08-27,2.77768
2021-08-26,2.77741
2021-08-25,2.77708
2021-08-24,2.77492
2021-08-23,2.77523
2021-08-20,2.77555
2021-08-19,2.77561
2021-08-18,2.77595
2021-08-17,2.77515
2021-08-16,2.77548
2021-08-13,2.77581
2021-08-12,2.77614
2021-08-11,2.77633
2021-08-09,2.77655
2021-08-06,2.7768
2021-08-05,2.7771
2021-08-04,2.77722
2021-08-03,2.77743
2021-08-02,2.77777
2021-07-30,2.77716
2021-07-29,2.7775
2021-07-28,2.77785
2021-07-27,2.77819
2021-07-26,2.7782
2021-07-23,2.7785
2021-07-22,2.77853
2021-07-21,2.77885
2021-07-19,2.77918
2021-07-16,2.77953
2021-07-15,2.77969
2021-07-14,2.77989
2021-07-13,2.78013
2021-07-12,2.78031
2021-07-09,2.78029
2021-07-08,2.77936
2021-07-07,2.77971
2021-07-06,2.78006
2021-07-05,2.78041
2021-07-02,2.78076
2021-07-01,2.78111
2021-06-30,2.78079
2021-06-29,2.78111
2021-06-28,2.78086
2021-06-25,2.78118
2021-06-24,2.78131
2021-06-23,2.78143
2021-06-22,2.78178
2021-06-21,2.7814
2021-06-18,2.78093
2021-06-17,2.78113
2021-06-16,2.78146
2021-06-15,2.78181
2021-06-14,2.78204
2021-06-11,2.78233
2021-06-10,2.78268
2021-06-09,2.78292
2021-06-08,2.78306
2021-06-04,2.78303
2021-06-03,2.78324
2021-06-02,2.78325
2021-06-01,2.78359
2021-05-31,2.78364
2021-05-28,2.78399
2021-05-27,2.78371
2021-05-25,2.78399
2021-05-24,2.78411
2021-05-21,2.78401
2021-05-20,2.78429
2021-05-19,2.78434
2021-05-18,2.78455
2021-05-17,2.7849
2021-05-12,2.7852
2021-05-11,2.78545
2021-05-10,2.78578
2021-05-07,2.78593
2021-05-06,2.78628
2021-05-05,2.78622
2021-05-04,2.78655
2021-05-03,2.7866
2021-04-30,2.78683
2021-04-28,2.78719
2021-04-27,2.78684
2021-04-26,2.78666
2021-04-23,2.78702
2021-04-22,2.78708
2021-04-21,2.78712
2021-04-20,2.78736
2021-04-19,2.78755
2021-04-16,2.78791
2021-04-15,2.78803
2021-04-14,2.78839
2021-04-13,2.78845
2021-04-12,2.78877
2021-04-09,2.7889
2021-04-08,2.78926
2021-04-07,2.78845
2021-04-06,2.78873
2021-04-05,2.78909
2021-04-02,2.78943
2021-04-01,2.78959
2021-03-31,2.78668
2021-03-30,2.78703
2021-03-29,2.78716
2021-03-26,2.78749
2021-03-25,2.78779
2021-03-24,2.78803
2021-03-23,2.78722
2021-03-22,2.78735
2021-03-19,2.7877
2021-03-18,2.78805
2021-03-17,2.78841
2021-03-16,2.78875
2021-03-15,2.78905
2021-03-12,2.78893
2021-03-11,2.78902
2021-03-10,2.78885
2021-03-09,2.78882
2021-03-08,2.78885
2021-03-05,2.78833
2021-03-04,2.78855
2021-03-03,2.78805
2021-03-02,2.78839
2021-03-01,2.78845
2021-02-26,2.78877
2021-02-25,2.78765
2021-02-24,2.78786
2021-02-23,2.78814
2021-02-22,2.78794
2021-02-19,2.7881
2021-02-18,2.78747
2021-02-17,2.78752
2021-02-16,2.78787
2021-02-15,2.78806
2021-02-11,2.78841
2021-02-10,2.78849
2021-02-09,2.78844
2021-02-08,2.78873
2021-02-05,2.78898
2021-02-04,2.78934
2021-02-03,2.78969
2021-02-02,2.78955
2021-01-29,2.78937
2021-01-27,2.78967
2021-01-26,2.79003
2021-01-25,2.78932
2021-01-22,2.78968
2021-01-21,2.78992
2021-01-20,2.79029
2021-01-19,2.7905
2021-01-18,2.79008
2021-01-15,2.79025
2021-01-14,2.79061
2021-01-13,2.78951
2021-01-12,2.7898
2021-01-11,2.78952
2021-01-08,2.78765
2021-01-07,2.78773
2021-01-06,2.78739
2021-01-05,2.78768
2021-01-04,2.7865
2020-12-31,2.78612
2020-12-30,2.78628
2020-12-29,2.78644
2020-12-28,2.78679
2020-12-24,2.78706
2020-12-23,2.78685
2020-12-22,2.78658
2020-12-21,2.78689
2020-12-18,2.7861
2020-12-17,2.78634
2020-12-16,2.78659
2020-12-15,2.78667
2020-12-14,2.7859
2020-12-11,2.78416
2020-12-10,2.78439
2020-12-09,2.78424
2020-12-08,2.78443
2020-12-07,2.78479
2020-12-04,2.78505
2020-12-03,2.78326
2020-12-02,2.78359
2020-12-01,2.7799
2020-11-30,2.77494
2020-11-27,2.77525
2020-11-26,2.77509
2020-11-25,2.77452
2020-11-24,2.77391
2020-11-23,2.77425
2020-11-20,2.77436
2020-11-19,2.77355
2020-11-18,2.77383
2020-11-17,2.77393
2020-11-16,2.77406
2020-11-13,2.77442
2020-11-12,2.77368
2020-11-11,2.77397
2020-11-10,2.7673
2020-11-09,2.76761
2020-11-06,2.76704
2020-11-05,2.76335
2020-11-04,2.76369
