Date,Forecasted VaR
2021-12-31,4.45294
2021-12-29,4.45278
2021-12-28,4.45464
2021-12-27,4.45507
2021-12-24,4.45462
2021-12-23,4.45349
2021-12-22,4.45335
2021-12-21,4.45291
2021-12-20,4.45293
2021-12-17,4.45327
2021-12-16,4.45246
2021-12-15,4.45175
2021-12-14,4.45165
2021-12-13,4.45175
2021-12-10,4.45193
2021-12-09,4.45127
2021-12-08,4.45131
2021-12-07,4.45218
2021-12-06,4.45224
2021-12-03,4.4538
2021-12-02,4.4532
2021-12-01,4.44997
2021-11-29,4.45207
2021-11-26,4.45188
2021-11-25,4.45172
2021-11-24,4.45179
2021-11-23,4.45251
2021-11-22,4.45264
2021-11-19,4.4528
2021-11-18,4.45268
2021-11-17,4.45283
2021-11-16,4.45286
2021-11-15,4.45343
2021-11-12,4.45811
2021-11-11,4.45882
2021-11-10,4.45942
2021-11-09,4.4593
2021-11-08,4.46026
2021-11-05,4.45875
2021-11-04,4.45874
2021-11-03,4.45836
2021-11-02,4.45836
2021-10-29,4.45871
2021-10-28,4.45957
2021-10-27,4.45956
2021-10-26,4.47311
2021-10-25,4.47263
2021-10-22,4.47317
2021-10-21,4.47884
2021-10-20,4.47877
2021-10-19,4.47861
2021-10-18,4.4789
2021-10-15,4.47967
2021-10-14,4.47894
2021-10-13,4.48095
2021-10-12,4.48097
2021-10-11,4.47637
2021-10-08,4.47701
2021-10-07,4.4763
2021-10-06,4.47578
2021-10-05,4.47606
2021-10-04,4.47678
2021-10-01,4.48808
2021-09-30,4.48807
2021-09-29,4.48929
2021-09-28,4.4895
2021-09-27,4.50613
2021-09-24,4.5077
2021-09-23,4.51665
2021-09-22,4.52284
2021-09-21,4.52436
2021-09-20,4.53009
2021-09-17,4.53167
2021-09-16,4.5353
2021-09-15,4.53633
2021-09-14,4.53607
2021-09-13,4.53616
2021-09-10,4.53634
2021-09-09,4.53684
2021-09-08,4.54208
2021-09-07,4.54197
2021-09-06,4.54257
2021-09-03,4.5489
2021-09-02,4.55843
2021-09-01,4.56808
2021-08-31,4.57672
2021-08-27,4.57675
2021-08-26,4.65948
2021-08-25,4.65969
2021-08-24,4.6698
2021-08-23,4.67024
2021-08-20,4.67248
2021-08-19,4.67377
2021-08-18,4.67297
2021-08-17,4.68634
2021-08-16,4.68333
2021-08-13,4.70013
2021-08-12,4.69919
2021-08-11,4.73484
2021-08-10,4.73519
2021-08-09,4.74578
2021-08-06,4.75023
2021-08-05,4.75337
2021-08-04,4.75488
2021-08-03,4.75475
2021-08-02,4.75229
2021-07-30,4.74639
2021-07-29,4.74697
2021-07-28,4.7489
2021-07-27,4.74684
2021-07-26,4.7452
2021-07-23,4.74724
2021-07-22,4.75586
2021-07-21,4.76341
2021-07-20,4.76434
2021-07-19,4.77314
2021-07-16,4.78148
2021-07-15,4.78076
2021-07-14,4.78152
2021-07-13,4.78019
2021-07-12,4.77965
2021-07-09,4.77882
2021-07-08,4.77934
2021-07-07,4.7791
2021-07-06,4.77994
2021-07-05,4.78012
2021-07-02,4.78
2021-07-01,4.7803
2021-06-30,4.78003
2021-06-29,4.78005
2021-06-28,4.78021
2021-06-25,4.77984
2021-06-24,4.78015
2021-06-23,4.78002
2021-06-22,4.78061
2021-06-21,4.78055
2021-06-18,4.78042
2021-06-17,4.78042
2021-06-16,4.78053
2021-06-15,4.7837
2021-06-14,4.78373
2021-06-11,4.78376
2021-06-10,4.78951
2021-06-09,4.7887
2021-06-08,4.78866
2021-06-07,4.78857
2021-06-04,4.78861
2021-06-03,4.79064
2021-06-02,4.78622
2021-06-01,4.78676
2021-05-31,4.78694
2021-05-28,4.79079
2021-05-27,4.78157
2021-05-26,4.77922
2021-05-25,4.77967
2021-05-24,4.77953
2021-05-21,4.77983
2021-05-20,4.78085
2021-05-18,4.78222
2021-05-17,4.78247
2021-05-14,4.78249
2021-05-12,4.78226
2021-05-11,4.78295
2021-05-10,4.78353
2021-05-07,4.78507
2021-05-06,4.78546
2021-05-05,4.787
2021-05-04,4.78738
2021-05-03,4.78899
2021-04-30,4.78745
2021-04-29,4.78976
2021-04-28,4.78846
2021-04-27,4.78924
2021-04-26,4.78971
2021-04-23,4.79412
2021-04-22,4.79419
2021-04-21,4.79465
2021-04-20,4.79455
2021-04-19,4.79457
2021-04-16,4.79726
2021-04-15,4.7973
2021-04-14,4.79773
2021-04-13,4.80037
2021-04-12,4.80597
2021-04-08,4.80498
2021-04-07,4.80649
2021-04-06,4.80562
2021-04-05,4.80647
2021-03-31,4.80529
2021-03-30,4.8052
2021-03-29,4.80538
2021-03-26,4.80554
2021-03-25,4.80493
2021-03-24,4.80472
2021-03-23,4.8045
2021-03-22,4.80498
2021-03-19,4.80114
2021-03-18,4.80091
2021-03-17,4.80091
2021-03-16,4.80091
2021-03-15,4.79772
2021-03-12,4.7978
2021-03-11,4.79813
2021-03-10,4.7983
2021-03-09,4.79849
2021-03-08,4.79715
2021-03-05,4.79723
2021-03-04,4.79727
2021-03-03,4.79775
2021-03-02,4.79803
2021-03-01,4.79747
2021-02-26,4.79746
2021-02-24,4.79802
2021-02-23,4.80064
2021-02-22,4.79947
2021-02-19,4.7995
2021-02-18,4.79886
2021-02-17,4.79862
2021-02-16,4.79833
2021-02-15,4.79839
2021-02-11,4.79773
2021-02-10,4.79782
2021-02-09,4.79798
2021-02-08,4.79809
2021-02-05,4.79689
2021-02-04,4.79693
2021-02-03,4.79692
2021-02-02,4.79807
2021-02-01,4.79406
2021-01-29,4.79122
2021-01-28,4.79133
2021-01-27,4.79045
2021-01-26,4.79003
2021-01-25,4.79001
2021-01-22,4.7895
2021-01-21,4.78982
2021-01-20,4.7909
2021-01-19,4.79181
2021-01-18,4.79186
2021-01-15,4.7991
2021-01-14,4.79968
2021-01-13,4.79976
2021-01-12,4.80057
2021-01-11,4.80055
2021-01-08,4.80567
2021-01-07,4.80908
2021-01-06,4.80863
2021-01-05,4.80838
2021-01-04,4.80848
2020-12-29,4.80969
2020-12-28,4.80918
2020-12-23,4.8092
2020-12-22,4.80944
2020-12-21,4.80923
2020-12-18,4.81356
2020-12-17,4.81358
2020-12-16,4.8132
2020-12-15,4.81325
2020-12-14,4.81334
2020-12-11,4.81302
2020-12-10,4.81287
2020-12-09,4.81212
2020-12-07,4.81191
2020-12-04,4.81331
2020-12-03,4.81232
2020-12-02,4.81189
2020-12-01,4.80869
2020-11-27,4.80752
2020-11-26,4.80732
2020-11-25,4.80654
2020-11-24,4.80611
2020-11-23,4.80654
2020-11-20,4.80405
2020-11-19,4.80429
2020-11-18,4.80711
2020-11-17,4.8107
2020-11-16,4.81359
2020-11-13,4.82823
2020-11-11,4.82834
2020-11-10,4.81947
2020-11-09,4.824
2020-11-06,4.82752
2020-11-05,4.82457
2020-11-04,4.82294
2020-11-03,4.82382
2020-10-30,4.82375
2020-10-29,4.82182
2020-10-28,4.82204
2020-10-27,4.82462
2020-10-26,4.82481
2020-10-23,4.82761
2020-10-22,4.82713
2020-10-21,4.82463
2020-10-20,4.82459
2020-10-19,4.82498
2020-10-16,4.82537
2020-10-15,4.82559
2020-10-14,4.8256
2020-10-13,4.82568
2020-10-12,4.82671
2020-10-09,4.82946
2020-10-08,4.82889
2020-10-07,4.83021
2020-10-06,4.8301
2020-10-05,4.83127
2020-10-02,4.83094
2020-10-01,4.83251
2020-09-30,4.83246
2020-09-29,4.8325
2020-09-28,4.83324
2020-09-25,4.83384
2020-09-24,4.83359
2020-09-23,4.83366
2020-09-22,4.83526
2020-09-21,4.83529
2020-09-18,4.83551
2020-09-17,4.83586
2020-09-16,4.83911
2020-09-15,4.83979
2020-09-14,4.84157
2020-09-11,4.84106
2020-09-10,4.84323
2020-09-09,4.84203
2020-09-08,4.84334
2020-09-07,4.84039
2020-09-04,4.84343
2020-09-03,4.84333
2020-09-02,4.84281
2020-09-01,4.8419
2020-08-28,4.84191
2020-08-27,4.8419
2020-08-26,4.84192
2020-08-25,4.84191
2020-08-24,4.84283
2020-08-20,4.84293
2020-08-19,4.84888
2020-08-18,4.84869
2020-08-17,4.84872
2020-08-14,4.84965
2020-08-13,4.84903
2020-08-12,4.84924
2020-08-11,4.84921
