Date,Forecasted VaR
2021-12-31,4.89605
2021-12-29,4.89653
2021-12-28,4.8971
2021-12-27,4.89738
2021-12-24,4.89768
2021-12-23,4.89719
2021-12-22,4.89764
2021-12-21,4.89789
2021-12-20,4.89826
2021-12-17,4.89862
2021-12-16,4.89857
2021-12-15,4.89832
2021-12-14,4.89883
2021-12-13,4.89946
2021-12-10,4.89995
2021-12-09,4.90007
2021-12-08,4.9007
2021-12-07,4.90131
2021-12-06,4.90156
2021-12-03,4.90216
2021-12-02,4.90227
2021-12-01,4.89814
2021-11-29,4.89833
2021-11-26,4.89837
2021-11-25,4.89882
2021-11-24,4.89943
2021-11-23,4.89915
2021-11-22,4.89979
2021-11-19,4.90039
2021-11-18,4.90083
2021-11-17,4.90144
2021-11-16,4.90204
2021-11-15,4.90255
2021-11-12,4.90302
2021-11-11,4.90351
2021-11-10,4.90383
2021-11-09,4.90434
2021-11-08,4.90479
2021-11-05,4.90417
2021-11-04,4.90479
2021-11-03,4.905
2021-11-02,4.90546
2021-10-29,4.9053
2021-10-28,4.90554
2021-10-27,4.90613
2021-10-26,4.90667
2021-10-25,4.90685
2021-10-22,4.90745
2021-10-21,4.90808
2021-10-20,4.90866
2021-10-19,4.90916
2021-10-18,4.90979
2021-10-15,4.91038
2021-10-14,4.91011
2021-10-13,4.91063
2021-10-12,4.91124
2021-10-11,4.90844
2021-10-08,4.90891
2021-10-07,4.90867
2021-10-06,4.90891
2021-10-05,4.90952
2021-10-04,4.91006
2021-10-01,4.91063
2021-09-30,4.91125
2021-09-29,4.91172
2021-09-28,4.91195
2021-09-27,4.91259
2021-09-24,4.91314
2021-09-23,4.91375
2021-09-22,4.91438
2021-09-21,4.91499
2021-09-20,4.91538
2021-09-17,4.91577
2021-09-16,4.91584
2021-09-15,4.91634
2021-09-14,4.9168
2021-09-13,4.91744
2021-09-10,4.91793
2021-09-09,4.91852
2021-09-08,4.91907
2021-09-07,4.91963
2021-09-06,4.92023
2021-09-03,4.92059
2021-09-02,4.92106
2021-09-01,4.9213
2021-08-31,4.92159
2021-08-27,4.92214
2021-08-26,4.92278
2021-08-25,4.92181
2021-08-24,4.92185
2021-08-23,4.92234
2021-08-20,4.92235
2021-08-19,4.92289
2021-08-18,4.92239
2021-08-17,4.92285
2021-08-16,4.92021
2021-08-13,4.91579
2021-08-12,4.91537
2021-08-11,4.91587
2021-08-10,4.91651
2021-08-09,4.91645
2021-08-06,4.91709
2021-08-05,4.9176
2021-08-04,4.91821
2021-08-03,4.91776
2021-08-02,4.91562
2021-07-30,4.91153
2021-07-29,4.91214
2021-07-28,4.91255
2021-07-27,4.91124
2021-07-26,4.90988
2021-07-23,4.91024
2021-07-22,4.91004
2021-07-21,4.90957
2021-07-20,4.91022
2021-07-19,4.90987
2021-07-16,4.91041
2021-07-15,4.91009
2021-07-14,4.91062
2021-07-13,4.91011
