Date,Forecasted VaR
2021-12-31,3.40476
2021-12-30,3.40662
2021-12-29,3.40675
2021-12-28,3.42512
2021-12-27,3.42553
2021-12-24,3.42651
2021-12-23,3.42881
2021-12-22,3.4379
2021-12-21,3.43791
2021-12-20,3.4387
2021-12-17,3.43913
2021-12-16,3.4391
2021-12-15,3.44883
2021-12-14,3.4501
2021-12-13,3.44994
2021-12-10,3.44991
2021-12-09,3.45047
2021-12-08,3.45346
2021-12-07,3.45616
2021-12-06,3.45716
2021-12-03,3.45748
2021-12-02,3.46166
2021-12-01,3.46094
2021-11-30,3.45765
2021-11-29,3.45929
2021-11-26,3.4581
2021-11-25,3.459
2021-11-24,3.4614
2021-11-23,3.46157
2021-11-22,3.46158
2021-11-19,3.46162
2021-11-18,3.46169
2021-11-17,3.46526
2021-11-16,3.46611
2021-11-15,3.46604
2021-11-12,3.47948
2021-11-11,3.48069
2021-11-10,3.48062
2021-11-09,3.48114
2021-11-08,3.48206
2021-11-05,3.48231
2021-11-03,3.48363
2021-11-02,3.49118
2021-11-01,3.49094
2021-10-29,3.49135
2021-10-28,3.49296
2021-10-27,3.49375
2021-10-26,3.49884
2021-10-25,3.50074
2021-10-22,3.5008
2021-10-21,3.51642
2021-10-20,3.52515
2021-10-19,3.52496
2021-10-18,3.52517
2021-10-15,3.53106
2021-10-14,3.5313
2021-10-13,3.53041
2021-10-12,3.53133
2021-10-11,3.53622
2021-10-08,3.53617
2021-10-07,3.53671
2021-10-06,3.53658
2021-10-05,3.53636
2021-10-04,3.53772
2021-10-01,3.54259
2021-09-30,3.54394
2021-09-29,3.55241
2021-09-28,3.57085
2021-09-27,3.57043
2021-09-24,3.57029
2021-09-23,3.56979
2021-09-22,3.57537
2021-09-21,3.57883
2021-09-20,3.57921
2021-09-17,3.57919
2021-09-16,3.58621
2021-09-15,3.58828
2021-09-14,3.59222
2021-09-13,3.59693
2021-09-10,3.6025
2021-09-09,3.60408
2021-09-08,3.60972
2021-09-07,3.60988
2021-09-06,3.60972
2021-09-03,3.61129
2021-09-02,3.61229
2021-09-01,3.62236
2021-08-31,3.62171
2021-08-30,3.62483
2021-08-27,3.62866
2021-08-26,3.63128
2021-08-25,3.63636
2021-08-24,3.65006
2021-08-23,3.65002
2021-08-20,3.68304
2021-08-19,3.68185
2021-08-18,3.69127
2021-08-17,3.73489
2021-08-16,3.74505
2021-08-13,3.76127
2021-08-12,3.7618
2021-08-11,3.7671
2021-08-10,3.77491
2021-08-06,3.79158
2021-08-05,3.79774
2021-08-04,3.80055
2021-08-03,3.82325
2021-08-02,3.85597
2021-07-30,3.86204
2021-07-29,3.88732
2021-07-28,3.88741
2021-07-27,3.90589
2021-07-26,3.91022
2021-07-23,3.91023
2021-07-22,3.90935
2021-07-21,3.91176
2021-07-19,3.91182
2021-07-16,3.91276
2021-07-15,3.91266
2021-07-14,3.91657
2021-07-13,3.91656
2021-07-12,3.93371
2021-07-09,3.9334
2021-07-08,3.93439
2021-07-07,3.93364
2021-07-06,3.9384
2021-07-05,3.93904
2021-07-02,3.94446
2021-07-01,3.94646
2021-06-30,3.94587
2021-06-29,3.95642
2021-06-28,3.95858
2021-06-25,3.96355
2021-06-24,3.96556
2021-06-23,3.96698
2021-06-22,3.96744
2021-06-21,3.96881
2021-06-18,3.96894
2021-06-17,3.96894
2021-06-16,3.96877
2021-06-15,3.96859
2021-06-14,3.96865
2021-06-11,3.96971
2021-06-10,3.97005
2021-06-09,3.97165
2021-06-08,3.9719
2021-06-07,3.97183
2021-06-04,3.97174
2021-06-03,3.97175
2021-06-02,3.97143
2021-06-01,3.97136
2021-05-31,3.97176
2021-05-28,3.97346
2021-05-27,3.97372
2021-05-25,3.97361
2021-05-24,3.97417
2021-05-21,3.97449
2021-05-20,3.97449
2021-05-19,3.97463
2021-05-18,3.97279
2021-05-17,3.97254
2021-05-14,3.97178
2021-05-12,3.97153
2021-05-11,3.97564
2021-05-10,3.976
2021-05-07,3.97893
2021-05-06,3.97891
2021-05-05,3.9791
2021-05-04,3.97909
2021-05-03,3.98205
2021-04-30,3.98238
2021-04-29,3.98278
2021-04-28,3.98293
2021-04-27,3.9835
2021-04-26,3.98488
2021-04-23,3.98596
2021-04-22,3.98548
2021-04-21,3.98517
2021-04-20,3.98501
2021-04-19,3.98602
2021-04-16,3.98592
2021-04-15,3.98629
2021-04-14,3.98627
2021-04-13,3.98653
2021-04-12,3.98665
2021-04-09,3.98696
2021-04-08,3.98696
2021-04-07,3.98822
2021-04-06,3.9883
2021-04-05,3.98793
2021-04-01,3.98975
2021-03-31,3.99039
2021-03-30,3.99068
2021-03-29,3.99063
2021-03-26,3.99198
2021-03-25,3.99413
2021-03-24,3.99414
2021-03-23,3.99417
2021-03-22,3.99435
2021-03-19,3.99497
2021-03-18,3.99455
2021-03-17,3.99508
2021-03-16,3.99551
2021-03-15,3.99561
2021-03-12,3.99562
2021-03-11,3.99543
2021-03-10,3.99578
2021-03-09,3.99569
2021-03-08,3.99377
2021-03-05,3.99467
2021-03-04,3.99515
2021-03-03,3.99477
2021-03-02,3.99478
2021-03-01,3.99471
2021-02-26,3.99452
2021-02-25,3.99308
2021-02-24,3.99405
2021-02-23,3.99419
2021-02-22,3.99419
2021-02-19,3.99376
2021-02-18,3.99781
2021-02-17,3.998
2021-02-16,3.99844
2021-02-15,3.9985
2021-02-11,3.99857
2021-02-10,3.99866
2021-02-09,3.99867
2021-02-08,3.99844
2021-02-05,3.9996
2021-02-04,3.9993
2021-02-03,4.00008
2021-02-02,4.00034
2021-02-01,4.00043
2021-01-29,4.00421
2021-01-28,4.00547
2021-01-27,4.00572
2021-01-26,4.00616
2021-01-25,4.00739
2021-01-22,4.00738
2021-01-21,4.00731
2021-01-20,4.00851
2021-01-19,4.01193
2021-01-18,4.0127
2021-01-15,4.01304
2021-01-14,4.01277
2021-01-13,4.0133
2021-01-12,4.01329
2021-01-11,4.01644
2021-01-08,4.01872
2021-01-07,4.01752
2021-01-06,4.01751
2021-01-05,4.01864
2021-01-04,4.01994
2020-12-31,4.02027
2020-12-30,4.02823
2020-12-29,4.03028
2020-12-28,4.03067
2020-12-24,4.0312
2020-12-23,4.03287
2020-12-22,4.03266
2020-12-21,4.03271
2020-12-18,4.03268
2020-12-17,4.03855
2020-12-16,4.03968
2020-12-15,4.03991
2020-12-14,4.03919
2020-12-11,4.03927
2020-12-10,4.03921
2020-12-09,4.03903
2020-12-08,4.03948
2020-12-07,4.04223
2020-12-04,4.04214
2020-12-03,4.04207
2020-12-02,4.04312
2020-12-01,4.04855
2020-11-30,4.04723
2020-11-27,4.04936
2020-11-26,4.05183
2020-11-25,4.05827
2020-11-24,4.05793
2020-11-23,4.05984
2020-11-20,4.05936
2020-11-19,4.05946
2020-11-18,4.06083
2020-11-17,4.06023
2020-11-16,4.06699
2020-11-13,4.07357
2020-11-12,4.07615
2020-11-11,4.08457
2020-11-10,4.07933
2020-11-09,4.09892
2020-11-06,4.09952
2020-11-05,4.09888
2020-11-04,4.10359
2020-11-03,4.10313
2020-11-02,4.10515
2020-10-30,4.10478
2020-10-29,4.10439
2020-10-28,4.10393
2020-10-27,4.10393
2020-10-26,4.10677
2020-10-23,4.10748
2020-10-22,4.1096
2020-10-21,4.10979
2020-10-20,4.11015
2020-10-19,4.11047
2020-10-16,4.1104
2020-10-15,4.11038
2020-10-14,4.11089
2020-10-13,4.11177
2020-10-12,4.11157
2020-10-09,4.11174
2020-10-08,4.11822
2020-10-07,4.11821
2020-10-06,4.12038
2020-10-05,4.12064
2020-10-02,4.12135
2020-10-01,4.12035
2020-09-30,4.12034
2020-09-29,4.12024
2020-09-28,4.12077
2020-09-25,4.12048
2020-09-24,4.11976
2020-09-23,4.12096
2020-09-22,4.12549
2020-09-21,4.12538
2020-09-18,4.12624
2020-09-17,4.13084
2020-09-16,4.13066
2020-09-15,4.1313
2020-09-14,4.13595
2020-09-11,4.13615
2020-09-10,4.13661
2020-09-09,4.1374
2020-09-08,4.13829
2020-09-07,4.13973
2020-09-04,4.13965
2020-09-03,4.14353
2020-09-02,4.14548
2020-09-01,4.14547
2020-08-31,4.14578
2020-08-28,4.14636
2020-08-27,4.14898
2020-08-26,4.14876
2020-08-25,4.14842
2020-08-24,4.14857
2020-08-21,4.1495
2020-08-20,4.15026
2020-08-19,4.15194
2020-08-18,4.15281
2020-08-17,4.15354
2020-08-14,4.15763
2020-08-13,4.15815
2020-08-12,4.15805
2020-08-11,4.15857
2020-08-07,4.15957
2020-08-06,4.15901
2020-08-05,4.15886
2020-08-04,4.15947
2020-08-03,4.15861
2020-07-30,4.15784
2020-07-29,4.15778
2020-07-28,4.15833
2020-07-27,4.1587
2020-07-24,4.15846
2020-07-23,4.15882
2020-07-22,4.15892
2020-07-21,4.15881
2020-07-20,4.16041
2020-07-17,4.16069
2020-07-16,4.16026
2020-07-15,4.16333
2020-07-14,4.1633
2020-07-13,4.1636
2020-07-09,4.1691
2020-07-08,4.16906
2020-07-07,4.17
2020-07-06,4.16949
2020-07-03,4.1693
2020-07-02,4.16883
2020-07-01,4.16974
2020-06-30,4.17057
2020-06-29,4.17015
2020-06-26,4.17027
2020-06-25,4.1712
2020-06-24,4.17124
2020-06-23,4.17124
2020-06-22,4.17353
2020-06-19,4.17287
2020-06-18,4.17293
2020-06-17,4.1737
2020-06-16,4.17171
2020-06-15,4.16805
2020-06-12,4.1691
2020-06-11,4.16719
2020-06-10,4.17104
2020-06-09,4.1895
2020-06-08,4.18837
2020-06-05,4.19583
2020-06-04,4.20189
2020-06-03,4.19618
2020-06-02,4.19356
2020-06-01,4.19384
2020-05-29,4.2002
2020-05-28,4.20021
2020-05-27,4.20725
2020-05-26,4.20653
2020-05-22,4.20408
2020-05-21,4.20997
2020-05-20,4.20989
2020-05-19,4.20893
2020-05-18,4.21214
2020-05-15,4.2133
2020-05-14,4.21172
2020-05-13,4.21195
2020-05-12,4.21162
2020-05-11,4.21233
2020-05-08,4.21262
2020-05-06,4.21389
2020-05-05,4.21383
2020-05-04,4.21107
2020-04-30,4.20959
2020-04-29,4.20977
2020-04-28,4.20988
2020-04-27,4.2091
2020-04-24,4.21033
2020-04-23,4.21033
2020-04-22,4.21036
2020-04-21,4.20884
2020-04-20,4.20886
2020-04-17,4.20885
2020-04-16,4.20888
2020-04-15,4.2086
2020-04-14,4.20538
2020-04-13,4.20633
2020-04-09,4.20598
2020-04-08,4.2053
2020-04-07,4.197
2020-04-06,4.19121
2020-04-03,4.18774
2020-04-02,4.18862
2020-04-01,4.18722
2020-03-31,4.18377
2020-03-30,4.17322
2020-03-27,4.17193
2020-03-26,4.17302
2020-03-25,4.15639
2020-03-24,4.14032
2020-03-23,4.10997
2020-03-20,4.10056
2020-03-19,4.08865
2020-03-18,4.08861
2020-03-17,4.08731
2020-03-16,4.07219
2020-03-13,4.07095
2020-03-12,4.06396
2020-03-11,4.06274
2020-03-10,4.06133
2020-03-09,4.04106
2020-03-06,4.03911
2020-03-05,4.03912
2020-03-04,4.03941
2020-03-03,4.03973
2020-03-02,4.04002
2020-02-28,4.0357
2020-02-27,4.03586
2020-02-26,4.03503
2020-02-25,4.03495
2020-02-24,4.03488
2020-02-21,4.03473
2020-02-20,4.0353
2020-02-19,4.0356
2020-02-18,4.03666
2020-02-17,4.03742
2020-02-14,4.03747
2020-02-13,4.03851
2020-02-12,4.03735
2020-02-11,4.03736
2020-02-10,4.03766
2020-02-07,4.03898
2020-02-06,4.04538
2020-02-05,4.0444
2020-02-04,4.04352
2020-02-03,4.04365
2020-01-31,4.04352
2020-01-30,4.0448
2020-01-29,4.0448
2020-01-28,4.04318
2020-01-24,4.04471
2020-01-23,4.04453
2020-01-22,4.04581
2020-01-21,4.04596
2020-01-20,4.046
2020-01-17,4.046
2020-01-16,4.04613
2020-01-15,4.04657
2020-01-14,4.04679
2020-01-13,4.04678
2020-01-10,4.04683
2020-01-09,4.04913
2020-01-08,4.05011
2020-01-07,4.0497
2020-01-06,4.0508
2020-01-03,4.05144
2020-01-02,4.05214
2019-12-31,4.05761
2019-12-30,4.05812
2019-12-27,4.05925
2019-12-26,4.05974
2019-12-24,4.0615
2019-12-23,4.06173
2019-12-20,4.06331
2019-12-19,4.06846
2019-12-18,4.06852
2019-12-17,4.06862
2019-12-16,4.07668
2019-12-13,4.07932
2019-12-12,4.0791
2019-12-11,4.07924
2019-12-10,4.07913
2019-12-09,4.08052
2019-12-06,4.08043
2019-12-05,4.08281
2019-12-04,4.0836
2019-12-03,4.08378
2019-12-02,4.08478
2019-11-29,4.08477
2019-11-28,4.08499
2019-11-27,4.08505
2019-11-26,4.08497
2019-11-25,4.08497
2019-11-22,4.08641
2019-11-21,4.08682
2019-11-20,4.08681
2019-11-19,4.08662
2019-11-18,4.08731
2019-11-15,4.08738
2019-11-14,4.08865
2019-11-13,4.08836
2019-11-12,4.08811
2019-11-11,4.09043
2019-11-08,4.09035
2019-11-07,4.09045
2019-11-06,4.09035
2019-11-05,4.09028
2019-11-04,4.09058
2019-11-01,4.09142
2019-10-31,4.09125
2019-10-30,4.0926
2019-10-29,4.09254
2019-10-25,4.09292
2019-10-24,4.09261
2019-10-23,4.09251
2019-10-22,4.09414
2019-10-21,4.09401
2019-10-18,4.09395
2019-10-17,4.0942
2019-10-16,4.09402
2019-10-15,4.09415
2019-10-14,4.0941
2019-10-11,4.09416
2019-10-10,4.09703
2019-10-09,4.09768
2019-10-08,4.09789
2019-10-07,4.09822
2019-10-04,4.09823
2019-10-03,4.09813
2019-10-02,4.09747
2019-10-01,4.09786
2019-09-30,4.09785
2019-09-27,4.09789
2019-09-26,4.09956
2019-09-25,4.09922
2019-09-24,4.09915
2019-09-23,4.09912
2019-09-20,4.1001
2019-09-19,4.10191
2019-09-18,4.10212
2019-09-17,4.10208
2019-09-16,4.10213
2019-09-13,4.10257
2019-09-12,4.10297
2019-09-11,4.10317
2019-09-10,4.10328
2019-09-09,4.10348
2019-09-06,4.10369
2019-09-05,4.10362
2019-09-04,4.10276
2019-09-03,4.10276
2019-09-02,4.10253
2019-08-30,4.10225
2019-08-29,4.1022
2019-08-28,4.10214
2019-08-27,4.10225
2019-08-26,4.10118
2019-08-23,4.10206
2019-08-22,4.1021
2019-08-21,4.10322
2019-08-20,4.10325
2019-08-19,4.1037
2019-08-16,4.10399
2019-08-15,4.10376
2019-08-14,4.10419
2019-08-13,4.10444
2019-08-08,4.1043
2019-08-07,4.10498
2019-08-06,4.10468
2019-08-05,4.1028
2019-08-02,4.10234
2019-08-01,4.10236
2019-07-31,4.10153
2019-07-30,4.102
2019-07-29,4.10191
2019-07-26,4.10258
2019-07-25,4.1026
2019-07-24,4.10265
2019-07-23,4.10345
2019-07-22,4.10324
2019-07-19,4.10318
2019-07-18,4.10414
2019-07-17,4.10416
2019-07-16,4.10411
2019-07-15,4.10437
2019-07-12,4.10438
2019-07-11,4.10438
2019-07-10,4.10467
2019-07-09,4.10526
2019-07-08,4.10477
2019-07-05,4.10481
2019-07-04,4.10525
2019-07-03,4.10525
2019-07-02,4.10577
2019-07-01,4.10459
2019-06-28,4.10498
2019-06-27,4.10469
2019-06-26,4.10468
2019-06-25,4.1052
2019-06-24,4.10519
2019-06-21,4.10535
2019-06-20,4.10524
2019-06-19,4.1047
2019-06-18,4.1048
2019-06-17,4.10479
2019-06-14,4.10524
2019-06-13,4.10523
2019-06-12,4.10538
2019-06-11,4.10536
2019-06-10,4.10523
2019-06-07,4.10539
2019-06-06,4.10549
2019-06-04,4.10542
2019-06-03,4.10541
2019-05-31,4.10507
2019-05-30,4.10511
2019-05-29,4.10513
2019-05-28,4.10512
2019-05-27,4.1052
2019-05-24,4.10516
2019-05-23,4.10495
2019-05-22,4.10495
2019-05-21,4.10484
2019-05-17,4.10477
2019-05-16,4.10584
2019-05-15,4.10583
2019-05-14,4.10656
2019-05-13,4.10581
2019-05-10,4.10585
2019-05-09,4.10769
2019-05-08,4.10731
2019-05-07,4.10737
2019-05-06,4.10431
2019-05-03,4.10546
2019-05-02,4.1061
2019-04-30,4.10609
2019-04-29,4.10544
2019-04-26,4.10547
2019-04-25,4.1054
2019-04-24,4.10575
2019-04-23,4.1063
2019-04-22,4.10637
2019-04-18,4.10637
2019-04-17,4.10821
2019-04-16,4.10941
2019-04-15,4.10943
2019-04-12,4.10952
2019-04-11,4.11012
2019-04-10,4.11042
2019-04-09,4.11122
2019-04-08,4.11122
2019-04-05,4.11259
2019-04-04,4.11263
2019-04-03,4.11683
2019-04-02,4.11691
2019-04-01,4.1163
2019-03-29,4.11803
2019-03-28,4.11802
2019-03-27,4.11958
2019-03-26,4.12215
2019-03-25,4.12267
2019-03-22,4.1228
2019-03-21,4.12293
2019-03-20,4.12363
2019-03-19,4.12362
2019-03-18,4.12708
2019-03-15,4.12713
2019-03-14,4.12713
2019-03-13,4.12882
2019-03-12,4.12965
2019-03-11,4.12965
2019-03-08,4.12922
2019-03-07,4.13421
2019-03-06,4.13428
2019-03-05,4.13569
2019-03-04,4.13656
2019-03-01,4.13688
2019-02-28,4.14181
2019-02-27,4.1421
2019-02-26,4.14212
2019-02-25,4.14284
2019-02-22,4.14346
2019-02-21,4.14357
2019-02-20,4.14358
2019-02-19,4.14402
2019-02-18,4.14414
2019-02-15,4.14418
2019-02-14,4.14416
2019-02-13,4.14329
2019-02-12,4.14334
2019-02-11,4.14343
2019-02-08,4.14367
2019-02-07,4.14355
2019-02-04,4.14425
2019-02-01,4.14428
2019-01-31,4.14421
2019-01-30,4.14411
2019-01-29,4.14407
2019-01-28,4.14414
2019-01-25,4.14413
2019-01-24,4.14406
2019-01-23,4.14382
2019-01-22,4.14354
2019-01-21,4.14384
2019-01-18,4.14403
2019-01-17,4.14402
2019-01-16,4.14389
2019-01-15,4.14318
2019-01-14,4.14291
2019-01-11,4.14286
2019-01-10,4.14254
2019-01-09,4.1419
2019-01-08,4.14172
2019-01-07,4.14111
2019-01-04,4.1402
2019-01-03,4.13982
2019-01-02,4.13932
2018-12-31,4.13926
2018-12-28,4.13924
2018-12-27,4.1387
2018-12-26,4.1378
2018-12-24,4.13779
2018-12-21,4.13789
2018-12-20,4.1384
2018-12-19,4.13867
2018-12-18,4.13625
2018-12-17,4.13556
2018-12-14,4.13496
2018-12-13,4.1349
2018-12-12,4.13443
2018-12-11,4.13472
2018-12-10,4.13396
2018-12-07,4.13413
2018-12-06,4.13349
2018-12-05,4.13341
2018-12-04,4.13317
2018-12-03,4.13053
2018-11-30,4.13075
2018-11-29,4.13084
2018-11-28,4.13086
2018-11-27,4.13095
2018-11-26,4.13005
2018-11-23,4.13031
2018-11-22,4.13031
2018-11-21,4.13028
2018-11-20,4.12956
2018-11-19,4.12944
2018-11-16,4.12923
2018-11-15,4.12949
2018-11-14,4.12952
2018-11-13,4.12967
2018-11-12,4.12965
2018-11-09,4.13008
2018-11-08,4.12975
2018-11-07,4.13015
2018-11-05,4.12875
2018-11-02,4.1275
