Date,Forecasted VaR
2021-12-31,4.05996
2021-12-30,4.06041
2021-12-29,4.06088
2021-12-28,4.06113
2021-12-27,4.06163
2021-12-24,4.06208
2021-12-23,4.06255
2021-12-22,4.06306
2021-12-21,4.0635
2021-12-20,4.06334
2021-12-17,4.06371
2021-12-16,4.06414
2021-12-15,4.06463
2021-12-14,4.06514
2021-12-13,4.06554
2021-12-10,4.06602
2021-12-09,4.06646
2021-12-08,4.06696
2021-12-07,4.06733
2021-12-06,4.06775
2021-12-03,4.06822
2021-12-02,4.06871
2021-12-01,4.06776
2021-11-30,4.06543
2021-11-29,4.06503
2021-11-26,4.06425
2021-11-25,4.06475
2021-11-24,4.06526
2021-11-23,4.06573
2021-11-22,4.06623
2021-11-19,4.06673
2021-11-18,4.06724
2021-11-17,4.06773
2021-11-16,4.06824
2021-11-15,4.06869
2021-11-12,4.06916
2021-11-11,4.06966
2021-11-10,4.07011
2021-11-09,4.07045
2021-11-08,4.07078
2021-11-05,4.07108
2021-11-03,4.07153
2021-11-02,4.07197
2021-11-01,4.07231
2021-10-29,4.0728
2021-10-28,4.07323
2021-10-27,4.07367
2021-10-26,4.07418
2021-10-25,4.07469
2021-10-22,4.07509
2021-10-21,4.07556
2021-10-20,4.07608
2021-10-19,4.07633
2021-10-18,4.07685
2021-10-15,4.07733
2021-10-14,4.07781
2021-10-13,4.07748
2021-10-12,4.07799
2021-10-11,4.07851
2021-10-08,4.07897
2021-10-07,4.07935
2021-10-06,4.07976
2021-10-05,4.08006
2021-10-04,4.07991
2021-10-01,4.07984
2021-09-30,4.08029
2021-09-29,4.0808
2021-09-28,4.08108
2021-09-27,4.08092
2021-09-24,4.08133
2021-09-23,4.08149
2021-09-22,4.0819
2021-09-21,4.08221
2021-09-20,4.08232
2021-09-17,4.08282
2021-09-16,4.08332
2021-09-15,4.08362
2021-09-14,4.08412
2021-09-13,4.08437
2021-09-10,4.08456
2021-09-09,4.08507
2021-09-08,4.08488
2021-09-07,4.08537
2021-09-06,4.08576
2021-09-03,4.08627
2021-09-02,4.08679
2021-09-01,4.08683
2021-08-31,4.08633
2021-08-30,4.08665
2021-08-27,4.0868
2021-08-26,4.08732
2021-08-25,4.08784
2021-08-24,4.08818
2021-08-23,4.0886
2021-08-20,4.08901
2021-08-19,4.08864
2021-08-18,4.08909
2021-08-17,4.08928
2021-08-16,4.08963
2021-08-13,4.09002
2021-08-12,4.09054
2021-08-11,4.09074
2021-08-10,4.09088
2021-08-06,4.0914
2021-08-05,4.0919
2021-08-04,4.09194
2021-08-03,4.0924
2021-08-02,4.09291
2021-07-30,4.09335
2021-07-29,4.09323
2021-07-28,4.09375
2021-07-27,4.09427
2021-07-26,4.09465
2021-07-23,4.09517
2021-07-22,4.095
2021-07-21,4.0955
2021-07-19,4.09527
2021-07-16,4.09573
2021-07-15,4.09618
2021-07-14,4.09662
2021-07-13,4.09698
2021-07-12,4.0974
2021-07-09,4.09768
2021-07-08,4.09768
2021-07-07,4.09716
2021-07-06,4.09663
2021-07-05,4.0971
2021-07-02,4.09762
2021-07-01,4.09813
2021-06-30,4.09791
2021-06-29,4.0978
2021-06-28,4.09832
2021-06-25,4.09884
2021-06-24,4.09937
2021-06-23,4.09986
2021-06-22,4.10035
2021-06-21,4.10057
2021-06-18,4.10109
2021-06-17,4.10161
2021-06-16,4.10159
2021-06-15,4.10192
2021-06-14,4.10244
2021-06-11,4.10296
2021-06-10,4.10346
2021-06-09,4.1039
2021-06-08,4.1044
2021-06-07,4.10467
2021-06-04,4.10511
2021-06-03,4.10563
2021-06-02,4.10586
2021-06-01,4.10617
2021-05-31,4.10661
2021-05-28,4.10707
2021-05-27,4.10745
2021-05-25,4.10776
2021-05-24,4.10828
2021-05-21,4.10879
2021-05-20,4.10931
2021-05-19,4.10917
2021-05-18,4.10793
2021-05-17,4.10818
2021-05-14,4.10657
2021-05-12,4.1069
2021-05-11,4.10679
2021-05-10,4.10718
2021-05-07,4.1074
2021-05-06,4.10778
2021-05-05,4.10802
2021-05-04,4.10854
2021-05-03,4.10859
2021-04-30,4.10911
2021-04-29,4.10965
2021-04-28,4.11017
2021-04-27,4.11067
2021-04-26,4.11116
2021-04-23,4.11168
2021-04-22,4.11176
2021-04-21,4.11168
2021-04-20,4.11208
2021-04-19,4.1126
2021-04-16,4.11301
2021-04-15,4.11354
2021-04-14,4.11404
2021-04-13,4.1145
2021-04-12,4.11498
2021-04-09,4.11552
2021-04-08,4.11602
2021-04-07,4.11649
2021-04-06,4.11703
2021-04-05,4.11723
2021-04-01,4.11766
2021-03-31,4.11791
2021-03-30,4.11835
2021-03-29,4.11876
2021-03-26,4.11918
2021-03-25,4.11969
2021-03-24,4.12023
2021-03-23,4.12076
2021-03-22,4.12128
2021-03-19,4.12182
2021-03-18,4.12201
2021-03-17,4.12255
2021-03-16,4.12309
2021-03-15,4.12358
2021-03-12,4.12406
2021-03-11,4.12429
2021-03-10,4.12445
2021-03-09,4.12435
2021-03-08,4.12334
2021-03-05,4.12388
2021-03-04,4.12433
2021-03-03,4.12453
2021-03-02,4.12507
2021-03-01,4.12533
2021-02-26,4.12557
2021-02-25,4.1249
2021-02-24,4.12485
2021-02-23,4.12535
2021-02-22,4.12589
2021-02-19,4.12601
2021-02-18,4.12648
2021-02-17,4.12691
2021-02-16,4.12745
2021-02-15,4.12797
2021-02-11,4.12852
2021-02-10,4.12902
2021-02-09,4.12955
2021-02-08,4.1298
2021-02-05,4.13034
2021-02-04,4.13064
2021-02-03,4.13113
2021-02-02,4.13145
2021-02-01,4.13197
2021-01-29,4.13235
2021-01-28,4.13214
2021-01-27,4.1326
2021-01-26,4.13274
2021-01-25,4.13313
2021-01-22,4.13335
2021-01-21,4.13373
2021-01-20,4.13428
2021-01-19,4.13481
2021-01-18,4.13525
2021-01-15,4.13579
2021-01-14,4.13609
2021-01-13,4.13664
2021-01-12,4.13717
2021-01-11,4.13767
2021-01-08,4.13444
2021-01-07,4.13397
2021-01-06,4.13451
2021-01-05,4.13506
2021-01-04,4.13549
2020-12-31,4.13568
2020-12-30,4.136
2020-12-29,4.13651
2020-12-28,4.13706
2020-12-24,4.13757
2020-12-23,4.1381
2020-12-22,4.13845
2020-12-21,4.139
2020-12-18,4.1395
2020-12-17,4.13993
2020-12-16,4.14035
2020-12-15,4.1409
2020-12-14,4.14072
2020-12-11,4.14127
2020-12-10,4.14164
2020-12-09,4.14202
2020-12-08,4.14258
2020-12-07,4.14301
2020-12-04,4.1434
2020-12-03,4.14388
2020-12-02,4.14443
2020-12-01,4.14495
2020-11-30,4.14411
2020-11-27,4.14466
2020-11-26,4.14513
2020-11-25,4.14542
2020-11-24,4.14499
2020-11-23,4.14484
2020-11-20,4.14465
2020-11-19,4.14513
2020-11-18,4.14563
2020-11-17,4.14564
2020-11-16,4.1454
2020-11-13,4.14596
2020-11-12,4.14651
2020-11-11,4.14703
2020-11-10,4.14179
2020-11-09,4.14172
2020-11-06,4.14221
2020-11-05,4.13914
2020-11-04,4.13944
2020-11-03,4.13785
2020-11-02,4.13812
2020-10-30,4.13813
2020-10-29,4.13789
2020-10-28,4.13783
2020-10-27,4.1383
2020-10-26,4.13872
2020-10-23,4.13922
2020-10-22,4.13978
2020-10-21,4.14033
2020-10-20,4.14073
2020-10-19,4.14121
2020-10-16,4.14171
2020-10-15,4.14155
2020-10-14,4.14201
2020-10-13,4.14241
2020-10-12,4.1427
2020-10-09,4.14319
2020-10-08,4.14374
2020-10-07,4.14424
2020-10-06,4.1447
2020-10-05,4.14494
2020-10-02,4.14548
2020-10-01,4.1452
2020-09-30,4.14574
2020-09-29,4.1462
2020-09-28,4.14668
2020-09-25,4.1469
2020-09-24,4.14678
2020-09-23,4.1471
2020-09-22,4.14729
2020-09-21,4.14775
2020-09-18,4.14831
2020-09-17,4.14885
2020-09-16,4.14915
2020-09-15,4.1497
2020-09-14,4.15022
2020-09-11,4.15079
2020-09-10,4.15131
2020-09-09,4.15185
2020-09-08,4.15239
2020-09-07,4.15295
2020-09-04,4.15316
2020-09-03,4.15368
2020-09-02,4.15424
2020-09-01,4.15478
2020-08-31,4.15531
2020-08-28,4.1556
2020-08-27,4.15582
2020-08-26,4.15618
2020-08-25,4.15646
2020-08-24,4.15695
2020-08-21,4.15752
2020-08-20,4.15732
2020-08-19,4.15788
2020-08-18,4.1584
2020-08-17,4.1589
2020-08-14,4.15932
2020-08-13,4.15916
2020-08-12,4.15948
2020-08-11,4.16004
2020-08-07,4.16048
2020-08-06,4.16056
2020-08-05,4.16093
2020-08-04,4.16081
2020-08-03,4.15992
2020-07-30,4.15915
2020-07-29,4.15966
2020-07-28,4.16019
2020-07-27,4.16075
2020-07-24,4.16059
2020-07-23,4.16095
2020-07-22,4.1607
2020-07-21,4.16116
2020-07-20,4.16173
2020-07-17,4.16228
2020-07-16,4.16243
2020-07-15,4.16246
2020-07-14,4.16295
2020-07-13,4.16322
2020-07-09,4.16361
2020-07-08,4.16414
