Date,Forecasted VaR
2021-12-30,4.04509
2021-12-29,4.04597
2021-12-28,4.04819
2021-12-27,4.04833
2021-12-24,4.04831
2021-12-23,4.04858
2021-12-22,4.04896
2021-12-21,4.05591
2021-12-20,4.05446
2021-12-17,4.0546
2021-12-16,4.05392
2021-12-15,4.05423
2021-12-14,4.0542
2021-12-13,4.05554
2021-12-09,4.05564
2021-12-08,4.05553
2021-12-07,4.0567
2021-12-03,4.05668
2021-12-02,4.05736
2021-12-01,4.05672
2021-11-30,4.05571
2021-11-29,4.05477
2021-11-26,4.055
2021-11-25,4.055
2021-11-24,4.05512
2021-11-23,4.0553
2021-11-22,4.0582
2021-11-19,4.05829
2021-11-18,4.06335
2021-11-17,4.06366
2021-11-16,4.06536
2021-11-15,4.06559
2021-11-12,4.06629
2021-11-11,4.06764
2021-11-10,4.06777
2021-11-09,4.06793
2021-11-08,4.06793
2021-11-05,4.07018
2021-11-04,4.07503
2021-11-03,4.07581
2021-11-02,4.08594
2021-11-01,4.08681
2021-10-29,4.08777
2021-10-28,4.08782
2021-10-27,4.09032
2021-10-26,4.0911
2021-10-25,4.11134
2021-10-21,4.11154
2021-10-20,4.11145
2021-10-19,4.11113
2021-10-18,4.11185
2021-10-15,4.11189
2021-10-14,4.11293
2021-10-12,4.11752
2021-10-11,4.11807
2021-10-08,4.11885
2021-10-07,4.11848
2021-10-06,4.12022
2021-10-05,4.12428
2021-10-04,4.12413
2021-10-01,4.12414
2021-09-30,4.12908
2021-09-29,4.13929
2021-09-28,4.13925
2021-09-27,4.14
2021-09-23,4.14027
2021-09-22,4.14443
2021-09-21,4.14897
2021-09-20,4.14894
2021-09-17,4.1492
2021-09-16,4.15027
2021-09-15,4.15489
2021-09-14,4.15508
2021-09-13,4.16236
2021-09-10,4.1665
2021-09-09,4.17228
2021-09-08,4.17272
2021-09-07,4.1728
2021-09-06,4.17295
2021-09-03,4.17421
2021-09-02,4.17929
2021-09-01,4.18067
2021-08-31,4.18064
2021-08-30,4.1804
2021-08-27,4.18025
2021-08-26,4.182
2021-08-25,4.21142
2021-08-24,4.21338
2021-08-23,4.23092
2021-08-20,4.23754
2021-08-19,4.24109
2021-08-18,4.30525
2021-08-17,4.33189
2021-08-16,4.33621
2021-08-13,4.33621
2021-08-11,4.33665
2021-08-10,4.33764
2021-08-09,4.33728
2021-08-06,4.3452
2021-08-05,4.357
2021-08-04,4.37075
2021-08-03,4.42207
2021-08-02,4.42319
2021-07-30,4.44824
2021-07-29,4.45748
2021-07-27,4.47983
2021-07-23,4.48057
2021-07-22,4.48045
2021-07-21,4.48051
2021-07-20,4.48021
2021-07-19,4.48373
2021-07-16,4.48379
2021-07-15,4.48379
2021-07-14,4.48567
2021-07-13,4.48535
2021-07-12,4.48676
2021-07-09,4.49437
2021-07-08,4.49244
2021-07-07,4.49699
2021-07-06,4.50071
2021-07-05,4.50244
2021-07-02,4.50258
