Date,Forecasted VaR
2021-12-30,4.59351
2021-12-29,4.59391
2021-12-28,4.59447
2021-12-27,4.59506
2021-12-24,4.59562
2021-12-23,4.59591
2021-12-22,4.59647
2021-12-21,4.59701
2021-12-20,4.59659
2021-12-17,4.59716
2021-12-16,4.59709
2021-12-15,4.59761
2021-12-14,4.59817
2021-12-13,4.59868
2021-12-09,4.59927
2021-12-08,4.59975
2021-12-07,4.59969
2021-12-03,4.60026
2021-12-02,4.60085
2021-12-01,4.6007
2021-11-30,4.60059
2021-11-29,4.6005
2021-11-26,4.59897
2021-11-25,4.59955
2021-11-24,4.60013
2021-11-23,4.60071
2021-11-22,4.60128
2021-11-19,4.60182
2021-11-18,4.60236
2021-11-17,4.60295
2021-11-16,4.60351
2021-11-15,4.60408
2021-11-12,4.60467
2021-11-11,4.60526
2021-11-10,4.60585
2021-11-09,4.60641
2021-11-08,4.607
2021-11-05,4.6076
2021-11-04,4.60791
2021-11-03,4.60844
2021-11-02,4.60902
2021-11-01,4.60947
2021-10-29,4.61006
2021-10-28,4.61064
2021-10-27,4.61113
2021-10-26,4.61172
2021-10-25,4.61219
2021-10-21,4.61274
2021-10-20,4.61327
2021-10-19,4.61359
2021-10-18,4.61415
2021-10-15,4.61474
2021-10-14,4.61532
2021-10-12,4.61578
2021-10-11,4.61633
2021-10-08,4.61688
2021-10-07,4.6172
2021-10-06,4.61776
2021-10-05,4.61823
2021-10-04,4.61871
2021-10-01,4.61931
2021-09-30,4.61971
2021-09-29,4.62031
2021-09-28,4.62089
2021-09-27,4.6213
2021-09-23,4.62171
2021-09-22,4.62229
2021-09-21,4.62269
2021-09-20,4.62251
2021-09-17,4.62305
2021-09-16,4.62364
2021-09-15,4.62422
2021-09-14,4.62467
2021-09-13,4.62527
2021-09-10,4.62582
2021-09-09,4.62623
2021-09-08,4.62681
2021-09-07,4.6272
2021-09-06,4.6278
2021-09-03,4.62839
2021-09-02,4.62876
2021-09-01,4.62933
2021-08-31,4.62991
2021-08-30,4.62978
2021-08-27,4.63026
2021-08-26,4.63087
2021-08-25,4.63121
2021-08-24,4.63178
2021-08-23,4.63109
2021-08-20,4.63158
2021-08-19,4.63208
2021-08-18,4.6326
2021-08-17,4.63294
2021-08-16,4.63354
2021-08-13,4.63411
2021-08-11,4.63455
2021-08-10,4.63515
2021-08-09,4.63521
2021-08-06,4.63575
2021-08-05,4.63579
2021-08-04,4.63636
2021-08-03,4.63659
2021-08-02,4.63718
2021-07-30,4.63736
2021-07-29,4.63797
2021-07-27,4.63848
2021-07-23,4.63899
2021-07-22,4.6394
2021-07-21,4.64001
2021-07-20,4.64012
2021-07-19,4.64017
2021-07-16,4.64078
2021-07-15,4.64138
2021-07-14,4.64199
2021-07-13,4.6419
2021-07-12,4.6425
2021-07-09,4.64301
2021-07-08,4.64184
2021-07-07,4.64209
2021-07-06,4.64248
2021-07-05,4.6431
2021-07-02,4.64333
2021-07-01,4.64389
2021-06-30,4.64448
2021-06-29,4.64488
2021-06-28,4.64547
2021-06-25,4.64607
2021-06-24,4.64661
2021-06-23,4.64714
2021-06-22,4.64775
2021-06-21,4.64814
2021-06-18,4.64872
2021-06-17,4.64925
2021-06-16,4.64986
2021-06-15,4.65029
2021-06-14,4.65089
2021-06-11,4.65133
2021-06-10,4.65194
2021-06-09,4.6523
2021-06-08,4.65292
2021-06-07,4.65354
2021-06-04,4.6541
2021-06-02,4.65471
2021-06-01,4.6544
2021-05-31,4.65482
2021-05-28,4.65544
2021-05-27,4.65574
2021-05-25,4.65593
2021-05-24,4.65654
2021-05-21,4.65716
2021-05-20,4.65767
2021-05-19,4.65825
2021-05-18,4.65839
2021-05-17,4.65901
2021-05-14,4.65963
2021-05-13,4.65931
2021-05-12,4.65984
2021-05-11,4.66032
2021-05-10,4.66093
2021-05-07,4.66129
2021-05-06,4.6611
2021-05-05,4.65983
2021-04-30,4.66036
2021-04-29,4.6607
2021-04-28,4.66084
2021-04-27,4.66147
2021-04-26,4.66204
2021-04-23,4.6623
2021-04-22,4.66269
2021-04-21,4.66331
2021-04-20,4.6639
2021-04-19,4.66346
2021-04-16,4.66399
2021-04-12,4.66354
2021-04-09,4.66408
2021-04-08,4.6647
2021-04-07,4.66444
2021-04-05,4.66461
2021-04-02,4.66524
2021-04-01,4.66577
2021-03-31,4.66639
2021-03-30,4.66697
2021-03-29,4.66748
2021-03-26,4.66808
2021-03-25,4.66871
2021-03-24,4.66928
2021-03-23,4.6699
2021-03-22,4.67052
2021-03-19,4.6711
2021-03-18,4.67173
2021-03-17,4.67235
2021-03-16,4.67297
2021-03-15,4.67359
2021-03-12,4.67413
2021-03-11,4.67476
2021-03-10,4.67459
2021-03-09,4.67515
2021-03-08,4.67578
2021-03-05,4.67625
2021-03-04,4.67673
2021-03-03,4.67464
2021-03-02,4.67526
2021-03-01,4.67587
2021-02-25,4.67645
2021-02-24,4.67691
2021-02-23,4.67665
2021-02-22,4.67636
2021-02-19,4.67679
2021-02-18,4.67739
2021-02-17,4.6779
2021-02-16,4.67853
2021-02-15,4.67882
2021-02-11,4.67932
2021-02-10,4.67995
2021-02-09,4.68058
2021-02-08,4.68054
2021-02-05,4.68085
2021-02-04,4.68148
2021-02-03,4.68208
2021-02-02,4.6826
2021-02-01,4.68302
2021-01-29,4.68365
2021-01-28,4.68266
2021-01-27,4.68289
2021-01-26,4.68332
2021-01-25,4.68394
2021-01-22,4.68412
2021-01-21,4.68475
2021-01-20,4.6853
2021-01-19,4.68568
2021-01-18,4.68616
2021-01-15,4.68629
2021-01-14,4.6867
2021-01-13,4.68726
2021-01-12,4.68788
2021-01-11,4.68852
2021-01-08,4.68829
2021-01-07,4.68814
2021-01-06,4.6884
2021-01-05,4.68639
2021-01-04,4.68638
2020-12-30,4.6867
2020-12-29,4.68719
2020-12-28,4.68568
2020-12-25,4.68409
2020-12-24,4.68229
2020-12-23,4.68278
2020-12-22,4.68241
2020-12-21,4.67032
2020-12-18,4.67095
2020-12-17,4.67159
2020-12-16,4.67219
2020-12-15,4.67283
2020-12-14,4.67338
2020-12-09,4.674
2020-12-08,4.67307
2020-12-04,4.67346
2020-12-03,4.6733
2020-12-02,4.67392
2020-12-01,4.67426
2020-11-30,4.67312
2020-11-27,4.67373
2020-11-26,4.67376
2020-11-25,4.67401
2020-11-24,4.67391
2020-11-23,4.67259
2020-11-20,4.6724
2020-11-19,4.673
2020-11-18,4.67318
2020-11-17,4.67381
2020-11-16,4.67442
2020-11-13,4.67484
2020-11-12,4.67529
2020-11-11,4.6759
2020-11-10,4.66935
2020-11-09,4.66834
2020-11-06,4.66893
2020-11-05,4.66498
2020-11-04,4.66562
2020-11-03,4.66526
2020-11-02,4.66576
2020-10-30,4.66627
2020-10-29,4.6668
2020-10-28,4.66744
2020-10-27,4.66808
2020-10-26,4.66863
2020-10-22,4.66925
2020-10-21,4.66981
2020-10-20,4.67045
2020-10-19,4.66936
2020-10-16,4.66977
2020-10-15,4.66924
2020-10-14,4.66965
2020-10-12,4.6702
2020-10-09,4.67069
2020-10-08,4.67103
2020-10-07,4.67122
2020-10-06,4.67174
2020-10-05,4.67231
2020-10-02,4.67268
2020-10-01,4.67304
2020-09-30,4.67258
2020-09-29,4.67314
2020-09-28,4.67296
2020-09-25,4.67359
2020-09-24,4.6735
2020-09-23,4.67412
2020-09-22,4.67462
2020-09-21,4.67481
2020-09-18,4.67543
2020-09-17,4.67587
2020-09-16,4.67639
2020-09-15,4.67658
2020-09-14,4.67707
2020-09-11,4.67742
2020-09-10,4.67805
2020-09-09,4.6787
2020-09-08,4.67853
2020-09-03,4.67915
2020-09-02,4.67955
2020-09-01,4.68014
2020-08-31,4.6804
2020-08-28,4.68102
2020-08-27,4.68164
2020-08-26,4.6822
2020-08-25,4.68285
2020-08-24,4.68275
2020-08-21,4.68339
2020-08-20,4.68369
2020-08-19,4.68323
2020-08-18,4.6837
2020-08-17,4.68426
2020-08-14,4.684
2020-08-13,4.68445
2020-08-11,4.6846
2020-08-10,4.68524
2020-08-07,4.68571
2020-08-06,4.68632
2020-08-05,4.68689
2020-08-04,4.68734
2020-08-03,4.68786
2020-07-31,4.68815
2020-07-30,4.68758
2020-07-29,4.68822
2020-07-24,4.68806
2020-07-23,4.68871
2020-07-22,4.68846
2020-07-21,4.68836
2020-07-20,4.68902
2020-07-17,4.68938
2020-07-16,4.68994
2020-07-15,4.69021
2020-07-14,4.69087
2020-07-13,4.69137
2020-07-10,4.69148
2020-07-09,4.69212
2020-07-08,4.69252
2020-07-07,4.69318
2020-07-03,4.69383
2020-07-02,4.69315
2020-07-01,4.69357
2020-06-30,4.69405
2020-06-29,4.69471
2020-06-26,4.69533
2020-06-25,4.69585
2020-06-24,4.69527
2020-06-23,4.6959
2020-06-22,4.69576
2020-06-19,4.69641
2020-06-18,4.69705
2020-06-17,4.69755
2020-06-16,4.6968
2020-06-15,4.69372
2020-06-12,4.69393
2020-06-11,4.69355
2020-06-10,4.694
2020-06-09,4.69274
2020-06-08,4.69339
2020-06-05,4.69283
2020-06-04,4.69061
2020-06-02,4.69023
2020-06-01,4.6907
2020-05-29,4.6913
2020-05-28,4.69182
2020-05-27,4.69231
2020-05-26,4.69245
2020-05-25,4.69243
2020-05-22,4.6924
2020-05-21,4.69306
2020-05-20,4.69338
2020-05-19,4.69271
2020-05-18,4.6933
2020-05-15,4.69397
2020-05-14,4.69411
2020-05-13,4.69471
2020-05-12,4.69501
2020-05-11,4.69453
2020-05-08,4.69504
2020-05-07,4.69457
2020-05-05,4.69388
2020-04-30,4.69366
2020-04-29,4.69419
2020-04-28,4.69472
2020-04-27,4.6952
2020-04-24,4.69536
2020-04-23,4.69574
2020-04-22,4.69621
2020-04-21,4.69639
2020-04-20,4.69511
2020-04-17,4.69148
2020-04-16,4.68844
2020-04-15,4.68797
2020-04-14,4.68762
2020-04-13,4.68809
2020-04-10,4.68791
2020-04-09,4.68852
2020-04-08,4.68894
2020-04-07,4.67194
2020-04-03,4.67261
2020-04-02,4.66969
2020-04-01,4.66892
2020-03-31,4.6646
2020-03-30,4.66475
2020-03-27,4.66521
2020-03-26,4.66538
2020-03-25,4.65794
2020-03-24,4.65826
2020-03-23,4.61962
2020-03-20,4.59505
2020-03-19,4.59564
2020-03-18,4.59564
2020-03-17,4.59582
2020-03-16,4.57115
2020-03-13,4.57114
2020-03-12,4.51432
2020-03-11,4.51368
2020-03-10,4.51369
2020-03-09,4.48368
2020-03-06,4.48268
2020-03-05,4.483
2020-03-04,4.48362
2020-03-03,4.48056
2020-03-02,4.48115
2020-02-28,4.47462
2020-02-27,4.47338
2020-02-26,4.4619
2020-02-25,4.46253
2020-02-24,4.45569
2020-02-21,4.45631
2020-02-20,4.45652
2020-02-19,4.45703
2020-02-18,4.4573
2020-02-17,4.45794
2020-02-14,4.4585
2020-02-13,4.45904
2020-02-12,4.45922
2020-02-11,4.45961
2020-02-07,4.46026
2020-02-06,4.4609
2020-02-05,4.46115
2020-02-04,4.46075
2020-02-03,4.46072
2020-01-31,4.46117
2020-01-30,4.46181
2020-01-29,4.46223
2020-01-28,4.46263
2020-01-27,4.45933
2020-01-24,4.45995
2020-01-23,4.46059
2020-01-22,4.46124
2020-01-21,4.46151
2020-01-20,4.46192
2020-01-17,4.46253
2020-01-16,4.46281
2020-01-15,4.46339
2020-01-14,4.46404
2020-01-13,4.46465
2020-01-10,4.4653
2020-01-09,4.46521
2020-01-08,4.4646
2020-01-07,4.46476
2020-01-06,4.46411
2020-01-03,4.46476
2020-01-02,4.46498
2019-12-30,4.46563
2019-12-27,4.46628
2019-12-26,4.46687
2019-12-25,4.4675
2019-12-24,4.4681
2019-12-23,4.46876
2019-12-20,4.46941
2019-12-19,4.4699
2019-12-18,4.47015
2019-12-17,4.4708
2019-12-16,4.47034
2019-12-13,4.47082
2019-12-12,4.47122
2019-12-11,4.47187
2019-12-09,4.47246
2019-12-06,4.47303
2019-12-04,4.47367
2019-12-03,4.47432
2019-12-02,4.47414
2019-11-29,4.4747
2019-11-28,4.47518
2019-11-27,4.47583
2019-11-26,4.47643
2019-11-25,4.4766
2019-11-22,4.47721
2019-11-21,4.47781
2019-11-20,4.47827
2019-11-19,4.47893
2019-11-18,4.47954
2019-11-15,4.48009
2019-11-14,4.48069
2019-11-13,4.48113
2019-11-12,4.48176
2019-11-11,4.48198
2019-11-08,4.48262
2019-11-07,4.48282
2019-11-06,4.48346
2019-11-05,4.4841
2019-11-04,4.48324
2019-11-01,4.48374
2019-10-31,4.48441
2019-10-30,4.48488
2019-10-29,4.48549
2019-10-28,4.48614
2019-10-25,4.48541
2019-10-24,4.48587
2019-10-22,4.48635
2019-10-21,4.48681
2019-10-18,4.48747
2019-10-17,4.48813
2019-10-16,4.48871
2019-10-15,4.48937
2019-10-11,4.48947
2019-10-10,4.48999
2019-10-09,4.49063
2019-10-08,4.4913
2019-10-07,4.49187
2019-10-04,4.49249
2019-10-03,4.49314
2019-10-02,4.4936
2019-10-01,4.49396
2019-09-30,4.49454
2019-09-27,4.49514
2019-09-26,4.4957
2019-09-25,4.49636
2019-09-24,4.49694
2019-09-23,4.49728
2019-09-20,4.49791
2019-09-19,4.49825
2019-09-18,4.49875
2019-09-17,4.49942
2019-09-16,4.5001
2019-09-13,4.50077
2019-09-12,4.50113
2019-09-11,4.5017
2019-09-10,4.50232
2019-09-09,4.503
2019-09-06,4.50367
2019-09-05,4.50415
2019-09-04,4.5044
2019-09-03,4.50482
