Date,Forecasted VaR
2021-12-31,5.37809
2021-12-30,5.37802
2021-12-29,5.39235
2021-12-28,5.39363
2021-12-27,5.40292
2021-12-24,5.41476
2021-12-23,5.41529
2021-12-22,5.4174
2021-12-21,5.41768
2021-12-20,5.42148
2021-12-17,5.4224
2021-12-16,5.42868
2021-12-15,5.43866
2021-12-14,5.44955
2021-12-13,5.46087
2021-12-10,5.46134
2021-12-09,5.46351
2021-12-08,5.46818
2021-12-07,5.48205
2021-12-06,5.49321
2021-12-03,5.49366
2021-12-02,5.50294
2021-12-01,5.51213
2021-11-30,5.52536
2021-11-29,5.52651
2021-11-26,5.5288
2021-11-25,5.52891
2021-11-24,5.52869
2021-11-23,5.52928
2021-11-22,5.52847
2021-11-19,5.52435
2021-11-18,5.53685
2021-11-17,5.53751
2021-11-16,5.53658
2021-11-15,5.53795
2021-11-12,5.54659
2021-11-11,5.55159
2021-11-10,5.55215
2021-11-09,5.55283
2021-11-08,5.55702
2021-11-05,5.5607
2021-11-04,5.56171
2021-11-03,5.56049
2021-11-02,5.55896
2021-11-01,5.56151
2021-10-29,5.56178
2021-10-28,5.56282
2021-10-27,5.56192
2021-10-26,5.56373
2021-10-25,5.56323
2021-10-22,5.57207
2021-10-21,5.57521
2021-10-20,5.58436
2021-10-19,5.58494
2021-10-18,5.58514
2021-10-15,5.59132
2021-10-14,5.59266
2021-10-13,5.59275
2021-10-12,5.59282
2021-10-11,5.59268
2021-10-08,5.59406
2021-10-07,5.59663
2021-10-06,5.59985
2021-10-05,5.60169
2021-10-04,5.60728
2021-10-01,5.60748
2021-09-30,5.61452
2021-09-29,5.61511
2021-09-28,5.61492
2021-09-27,5.61362
2021-09-24,5.61393
2021-09-23,5.61437
2021-09-22,5.61414
2021-09-21,5.61418
2021-09-20,5.61448
2021-09-17,5.61385
2021-09-16,5.61449
2021-09-15,5.61434
2021-09-14,5.61436
2021-09-13,5.61499
2021-09-10,5.61572
2021-09-09,5.61646
2021-09-08,5.61664
2021-09-07,5.61679
2021-09-06,5.61669
2021-09-01,5.61669
2021-08-31,5.61664
2021-08-30,5.61657
2021-08-27,5.61658
2021-08-26,5.61688
2021-08-25,5.61868
2021-08-24,5.61833
2021-08-23,5.61804
2021-08-20,5.61602
2021-08-19,5.61622
2021-08-18,5.62084
2021-08-17,5.62716
2021-08-16,5.63147
2021-08-13,5.63221
2021-08-12,5.63537
2021-08-11,5.63864
2021-08-10,5.6425
2021-08-09,5.64497
2021-08-06,5.64702
2021-08-05,5.64611
2021-08-04,5.64619
2021-08-03,5.64557
2021-08-02,5.6619
2021-07-30,5.66291
2021-07-29,5.67407
2021-07-28,5.67423
2021-07-27,5.67397
2021-07-26,5.67633
2021-07-23,5.682
2021-07-22,5.68101
2021-07-21,5.68131
2021-07-20,5.68014
2021-07-19,5.67122
2021-07-16,5.67293
2021-07-15,5.66934
2021-07-14,5.68003
2021-07-13,5.68052
2021-07-12,5.68141
2021-07-09,5.68044
2021-07-08,5.69096
2021-07-07,5.70029
2021-07-06,5.6983
2021-07-05,5.70081
2021-07-02,5.70698
2021-07-01,5.70867
2021-06-30,5.70867
2021-06-29,5.72212
2021-06-28,5.72555
2021-06-25,5.74132
2021-06-24,5.74481
2021-06-23,5.74802
2021-06-22,5.74926
2021-06-21,5.74925
2021-06-18,5.76351
2021-06-17,5.76617
2021-06-16,5.78529
2021-06-15,5.78535
2021-06-14,5.80688
2021-06-11,5.80649
2021-06-10,5.81752
2021-06-09,5.82714
2021-06-08,5.83426
2021-06-07,5.82993
2021-06-04,5.83163
2021-06-03,5.82968
2021-06-02,5.84353
2021-06-01,5.84434
2021-05-31,5.84387
2021-05-28,5.84729
2021-05-27,5.84751
2021-05-26,5.84784
2021-05-25,5.85149
2021-05-24,5.8687
2021-05-21,5.88264
2021-05-20,5.90042
2021-05-19,5.90944
2021-05-18,5.90995
2021-05-17,5.92006
2021-05-14,5.92189
2021-05-13,5.92124
2021-05-12,5.92446
2021-05-11,5.92938
2021-05-10,5.93269
2021-05-07,5.93264
2021-05-06,5.93298
2021-05-05,5.9325
2021-05-04,5.93716
2021-04-29,5.9397
2021-04-28,5.94262
2021-04-27,5.95709
2021-04-26,5.96734
2021-04-23,5.96703
2021-04-22,5.96858
2021-04-20,5.96967
2021-04-19,5.96974
2021-04-16,5.97531
2021-04-15,5.97944
2021-04-14,5.98181
2021-04-13,5.98305
2021-04-12,5.98411
2021-04-09,5.98466
2021-04-08,5.98531
2021-04-07,5.9856
2021-04-06,5.98587
2021-04-05,5.98708
2021-04-02,5.98986
2021-04-01,5.98999
2021-03-31,5.98946
2021-03-30,5.98927
2021-03-29,5.98839
2021-03-26,5.99016
2021-03-25,5.99008
2021-03-24,5.99025
2021-03-23,5.9908
2021-03-22,5.99156
2021-03-19,5.99189
2021-03-18,5.99217
2021-03-17,5.9939
2021-03-16,5.99799
2021-03-15,6.0036
2021-03-12,6.00718
2021-03-11,6.00824
2021-03-10,6.0103
2021-03-09,6.01034
2021-03-08,6.00969
2021-03-05,6.00897
2021-03-04,6.01166
2021-03-03,6.01218
2021-03-02,6.01477
2021-03-01,6.01569
2021-02-26,6.01517
2021-02-25,6.0111
2021-02-24,6.01105
2021-02-23,6.01239
2021-02-22,6.00951
2021-02-19,6.00951
2021-02-18,6.01095
2021-02-17,6.00926
2021-02-09,6.00917
2021-02-08,6.00969
2021-02-05,6.01178
2021-02-04,6.01254
2021-02-03,6.0077
2021-02-02,6.00449
2021-02-01,6.00228
2021-01-29,5.99254
2021-01-28,5.96774
2021-01-27,5.96522
2021-01-26,5.96534
2021-01-25,5.96179
2021-01-22,5.96255
2021-01-21,5.9599
2021-01-20,5.95405
2021-01-19,5.95192
2021-01-18,5.95144
2021-01-15,5.95213
2021-01-14,5.95344
2021-01-13,5.95467
2021-01-12,5.95533
2021-01-11,5.95639
2021-01-08,5.95707
2021-01-07,5.95646
2021-01-06,5.9568
2021-01-05,5.95809
2021-01-04,5.95915
2020-12-31,5.95705
2020-12-30,5.9586
2020-12-29,5.96006
2020-12-28,5.95994
2020-12-25,5.95892
2020-12-24,5.95877
2020-12-23,5.95869
2020-12-22,5.95575
2020-12-21,5.9529
2020-12-18,5.95056
2020-12-17,5.95239
2020-12-16,5.95171
2020-12-15,5.9518
2020-12-14,5.95292
2020-12-11,5.9532
2020-12-10,5.95553
2020-12-09,5.95607
2020-12-08,5.95692
2020-12-07,5.95825
2020-12-04,5.95826
2020-12-03,5.96048
2020-12-02,5.96079
2020-12-01,5.96125
2020-11-30,5.96236
2020-11-27,5.96334
2020-11-26,5.96425
2020-11-25,5.96506
2020-11-24,5.96504
2020-11-23,5.97447
2020-11-20,5.99208
2020-11-19,6.01101
2020-11-18,6.01273
2020-11-17,6.01116
2020-11-16,6.01121
2020-11-13,6.02934
2020-11-12,6.04406
2020-11-11,6.04457
2020-11-10,6.04488
2020-11-09,6.04648
2020-11-06,6.05931
2020-11-05,6.06273
2020-11-04,6.09046
2020-11-03,6.11066
2020-11-02,6.11567
2020-10-30,6.13469
2020-10-29,6.1489
2020-10-28,6.14821
2020-10-27,6.14755
2020-10-26,6.14681
2020-10-23,6.1653
2020-10-22,6.16887
2020-10-21,6.16894
2020-10-20,6.19027
2020-10-19,6.19622
2020-10-16,6.19631
2020-10-15,6.20246
2020-10-14,6.20252
2020-10-13,6.20259
2020-10-12,6.20402
2020-10-09,6.2063
2020-10-08,6.20694
2020-10-07,6.2067
2020-10-06,6.22063
2020-10-05,6.22183
2020-10-02,6.22143
2020-10-01,6.22146
2020-09-30,6.22123
2020-09-29,6.22351
2020-09-28,6.22414
2020-09-25,6.22465
2020-09-24,6.22563
2020-09-23,6.22589
2020-09-22,6.24361
2020-09-21,6.24781
2020-09-18,6.25608
2020-09-17,6.25605
2020-09-16,6.25664
2020-09-15,6.25727
2020-09-14,6.25701
2020-09-11,6.26314
2020-09-10,6.26371
2020-09-09,6.26545
2020-09-08,6.26541
2020-09-07,6.26641
2020-09-04,6.26742
2020-09-03,6.26745
2020-09-01,6.26847
2020-08-31,6.26844
2020-08-28,6.26973
2020-08-27,6.26992
2020-08-26,6.27476
2020-08-25,6.27476
2020-08-24,6.27602
2020-08-21,6.27553
2020-08-20,6.27475
2020-08-19,6.27357
2020-08-18,6.27464
2020-08-17,6.27636
2020-08-14,6.27626
2020-08-13,6.27619
2020-08-12,6.27646
2020-08-11,6.27512
2020-08-10,6.27541
2020-08-07,6.27537
2020-08-06,6.27545
2020-08-05,6.2748
2020-08-04,6.27375
2020-08-03,6.27173
2020-07-31,6.27167
2020-07-30,6.27135
2020-07-29,6.2715
2020-07-28,6.26378
2020-07-27,6.25106
2020-07-24,6.24538
2020-07-23,6.24593
2020-07-22,6.27818
2020-07-21,6.29663
2020-07-20,6.30247
2020-07-17,6.30307
2020-07-16,6.30359
2020-07-15,6.30367
2020-07-14,6.3044
2020-07-13,6.30745
2020-07-10,6.30994
2020-07-09,6.31396
2020-07-08,6.31538
2020-07-07,6.31554
2020-07-06,6.31584
2020-07-03,6.31593
2020-07-02,6.31608
2020-07-01,6.31664
2020-06-30,6.31716
2020-06-29,6.31466
2020-06-26,6.31827
2020-06-25,6.3197
2020-06-24,6.3205
2020-06-23,6.32226
2020-06-22,6.32412
2020-06-19,6.3228
2020-06-18,6.32282
2020-06-17,6.32278
2020-06-16,6.32308
2020-06-15,6.32072
2020-06-12,6.32103
2020-06-11,6.31632
2020-06-10,6.31644
2020-06-09,6.3187
2020-06-08,6.33825
2020-06-05,6.34606
2020-06-04,6.3463
2020-06-03,6.34426
2020-06-02,6.34769
2020-06-01,6.34599
2020-05-29,6.34603
2020-05-28,6.34625
2020-05-27,6.34854
2020-05-26,6.35036
2020-05-25,6.3493
2020-05-22,6.34877
2020-05-21,6.34835
2020-05-20,6.34745
2020-05-19,6.34745
2020-05-18,6.3474
2020-05-15,6.34615
2020-05-14,6.34613
2020-05-13,6.34642
2020-05-12,6.34712
2020-05-11,6.34651
2020-05-08,6.34568
2020-05-07,6.34484
2020-05-06,6.34435
2020-05-05,6.34433
2020-05-04,6.34442
2020-04-29,6.34436
2020-04-28,6.34465
2020-04-27,6.34452
2020-04-24,6.34453
2020-04-23,6.34498
2020-04-22,6.34372
2020-04-21,6.33637
2020-04-20,6.33621
2020-04-17,6.33575
2020-04-16,6.33583
2020-04-15,6.3364
2020-04-14,6.33649
2020-04-13,6.33633
2020-04-10,6.33604
2020-04-09,6.33593
2020-04-08,6.33594
2020-04-07,6.33814
2020-04-06,6.32812
2020-04-03,6.3269
2020-04-01,6.3234
2020-03-31,6.32394
2020-03-30,6.31785
2020-03-27,6.318
2020-03-26,6.31621
2020-03-25,6.31264
2020-03-24,6.31268
2020-03-23,6.30303
2020-03-20,6.30294
2020-03-19,6.30478
2020-03-18,6.30499
2020-03-17,6.30794
2020-03-16,6.30693
2020-03-13,6.31272
2020-03-12,6.30897
2020-03-11,6.30991
2020-03-10,6.31082
2020-03-09,6.3077
2020-03-06,6.30792
2020-03-05,6.3456
2020-03-04,6.34573
2020-03-03,6.34539
2020-03-02,6.34522
2020-02-28,6.34519
2020-02-27,6.3436
2020-02-26,6.34394
2020-02-25,6.34374
2020-02-24,6.3395
2020-02-21,6.33902
2020-02-20,6.33911
2020-02-19,6.33914
2020-02-18,6.33936
2020-02-17,6.34017
2020-02-14,6.34003
2020-02-13,6.3409
2020-02-12,6.33663
2020-02-11,6.3364
2020-02-10,6.3362
2020-02-07,6.3362
2020-02-06,6.33499
2020-02-05,6.33487
2020-02-04,6.33438
2020-02-03,6.33473
2020-01-31,6.33393
2020-01-30,6.33285
2020-01-22,6.33294
2020-01-21,6.33317
2020-01-20,6.33301
2020-01-17,6.33441
2020-01-16,6.33418
2020-01-15,6.33419
2020-01-14,6.33402
2020-01-13,6.33419
2020-01-10,6.33387
2020-01-09,6.33379
2020-01-08,6.33405
2020-01-07,6.33431
2020-01-06,6.33419
2020-01-03,6.33464
2020-01-02,6.33661
2019-12-31,6.3371
2019-12-30,6.33807
2019-12-27,6.33841
2019-12-26,6.34412
2019-12-25,6.34415
2019-12-24,6.40056
2019-12-23,6.40244
2019-12-20,6.40525
2019-12-19,6.41507
2019-12-18,6.41471
2019-12-17,6.43041
2019-12-16,6.43045
2019-12-13,6.43278
2019-12-12,6.43274
2019-12-11,6.4331
2019-12-10,6.4332
2019-12-09,6.43393
2019-12-06,6.43508
2019-12-05,6.44034
2019-12-04,6.44057
2019-12-03,6.44371
2019-12-02,6.44314
2019-11-29,6.44325
2019-11-28,6.46808
2019-11-27,6.4832
2019-11-26,6.50314
2019-11-25,6.50396
2019-11-22,6.50368
2019-11-21,6.50382
2019-11-20,6.50653
2019-11-19,6.50852
2019-11-18,6.5215
2019-11-15,6.52343
2019-11-14,6.52708
2019-11-13,6.52801
2019-11-12,6.52799
2019-11-11,6.52822
2019-11-08,6.52861
2019-11-07,6.52912
2019-11-06,6.52957
2019-11-05,6.5348
2019-11-04,6.53515
2019-11-01,6.53559
2019-10-31,6.53566
2019-10-30,6.54674
2019-10-29,6.56853
2019-10-28,6.5723
2019-10-25,6.57522
2019-10-24,6.57677
2019-10-23,6.57796
2019-10-22,6.57788
2019-10-21,6.57829
2019-10-18,6.57863
2019-10-17,6.57869
2019-10-16,6.57884
2019-10-15,6.57884
2019-10-14,6.57867
2019-10-11,6.58231
2019-10-10,6.58747
2019-10-09,6.58875
2019-10-08,6.58878
2019-10-07,6.59109
2019-10-04,6.59116
2019-10-03,6.59232
2019-10-02,6.59244
2019-10-01,6.59331
2019-09-30,6.59406
