Date,Forecasted VaR
2021-12-31,6.75211
2021-12-30,6.75281
2021-12-29,6.75366
2021-12-28,6.75361
2021-12-27,6.7543
2021-12-24,6.75505
2021-12-23,6.75443
2021-12-22,6.75523
2021-12-21,6.75609
2021-12-20,6.75691
2021-12-17,6.75775
2021-12-16,6.75848
2021-12-15,6.75932
2021-12-14,6.76006
2021-12-13,6.76037
2021-12-10,6.76118
2021-12-09,6.76195
2021-12-08,6.76268
2021-12-07,6.7621
2021-12-06,6.7605
2021-12-03,6.76031
2021-12-02,6.7611
2021-12-01,6.76189
2021-11-30,6.76266
2021-11-29,6.76348
2021-11-26,6.76432
2021-11-25,6.765
2021-11-24,6.76527
2021-11-23,6.76594
2021-11-22,6.76563
2021-11-19,6.76376
2021-11-18,6.76425
2021-11-17,6.76373
2021-11-16,6.76381
2021-11-15,6.76459
2021-11-12,6.76535
2021-11-11,6.76621
2021-11-10,6.76667
2021-11-09,6.76754
2021-11-08,6.76814
2021-11-05,6.76864
2021-11-04,6.76886
2021-11-03,6.76864
2021-11-02,6.76846
2021-11-01,6.76916
2021-10-29,6.77002
2021-10-28,6.77021
2021-10-27,6.77041
2021-10-26,6.77122
2021-10-25,6.77175
2021-10-22,6.77249
2021-10-21,6.77336
2021-10-20,6.77421
2021-10-19,6.77501
2021-10-18,6.77588
2021-10-15,6.77674
2021-10-14,6.7771
2021-10-13,6.77774
2021-10-12,6.77858
2021-10-11,6.77936
2021-10-08,6.78019
2021-10-07,6.781
2021-10-06,6.7818
2021-10-05,6.78208
2021-10-04,6.78258
2021-10-01,6.78343
2021-09-30,6.78413
2021-09-29,6.78493
2021-09-28,6.78563
2021-09-27,6.78556
2021-09-24,6.78639
2021-09-23,6.78713
2021-09-22,6.78763
2021-09-21,6.78851
2021-09-20,6.78937
2021-09-17,6.7898
2021-09-16,6.79056
2021-09-15,6.79127
2021-09-14,6.79211
2021-09-13,6.79296
2021-09-10,6.79383
2021-09-09,6.79451
2021-09-08,6.79538
2021-09-07,6.79624
2021-09-06,6.79703
2021-09-01,6.7979
2021-08-31,6.79873
2021-08-30,6.79948
2021-08-27,6.80029
2021-08-26,6.80115
2021-08-25,6.80163
2021-08-24,6.80228
2021-08-23,6.8029
2021-08-20,6.80229
2021-08-19,6.80315
2021-08-18,6.80397
2021-08-17,6.80485
2021-08-16,6.80478
