Date,Forecasted VaR
2021-12-31,1.50391
2021-12-30,1.50393
2021-12-29,1.50389
2021-12-28,1.50387
2021-12-27,1.50324
2021-12-24,1.50336
2021-12-23,1.5028
2021-12-22,1.50357
2021-12-21,1.50357
2021-12-20,1.50689
2021-12-17,1.50681
2021-12-16,1.50778
2021-12-15,1.50788
2021-12-14,1.5092
2021-12-13,1.50914
2021-12-10,1.51169
2021-12-09,1.51249
2021-12-08,1.51252
2021-12-07,1.5139
2021-12-06,1.51305
2021-12-02,1.5133
2021-12-01,1.51258
2021-11-30,1.51256
2021-11-29,1.51588
2021-11-26,1.51596
2021-11-25,1.51602
2021-11-24,1.51629
2021-11-23,1.51626
2021-11-22,1.51631
2021-11-19,1.51649
2021-11-18,1.51762
2021-11-17,1.51781
2021-11-16,1.51788
2021-11-15,1.5186
2021-11-12,1.51829
2021-11-11,1.51831
2021-11-10,1.51874
2021-11-09,1.51985
2021-11-08,1.51988
2021-11-05,1.51995
2021-11-03,1.51989
2021-11-02,1.52005
2021-11-01,1.51777
2021-10-29,1.51841
2021-10-28,1.51793
2021-10-27,1.51801
2021-10-26,1.5185
2021-10-25,1.51855
2021-10-22,1.52005
2021-10-21,1.51962
2021-10-20,1.51962
2021-10-18,1.5214
2021-10-15,1.5214
2021-10-14,1.52132
2021-10-13,1.52093
2021-10-12,1.52058
2021-10-11,1.52056
2021-10-08,1.52087
2021-10-07,1.52117
2021-10-06,1.51948
2021-10-05,1.5197
2021-10-04,1.5204
2021-10-01,1.52025
2021-09-30,1.52002
2021-09-29,1.52177
2021-09-28,1.52135
2021-09-27,1.522
2021-09-24,1.52199
2021-09-23,1.52221
2021-09-22,1.52414
2021-09-21,1.5243
2021-09-20,1.52331
2021-09-17,1.52774
2021-09-15,1.52883
2021-09-14,1.52976
2021-09-13,1.52972
2021-09-10,1.52986
2021-09-09,1.52908
2021-09-08,1.52873
2021-09-07,1.52886
2021-09-06,1.53101
2021-09-03,1.53133
2021-09-02,1.53178
2021-09-01,1.53158
2021-08-30,1.53187
2021-08-27,1.53209
2021-08-26,1.5344
2021-08-25,1.5339
2021-08-24,1.53233
2021-08-23,1.53229
2021-08-20,1.53229
2021-08-19,1.53209
2021-08-18,1.53445
2021-08-17,1.53357
2021-08-16,1.53488
2021-08-13,1.53498
2021-08-12,1.53512
2021-08-11,1.53598
2021-08-09,1.53588
2021-08-06,1.5369
2021-08-05,1.53708
2021-08-04,1.53688
2021-08-03,1.5368
2021-08-02,1.5368
2021-07-30,1.53665
2021-07-29,1.53676
2021-07-28,1.5374
2021-07-27,1.53809
2021-07-26,1.53782
2021-07-23,1.54028
2021-07-22,1.54059
2021-07-21,1.54081
2021-07-19,1.5496
2021-07-16,1.55031
2021-07-15,1.55453
2021-07-14,1.55448
2021-07-13,1.55977
2021-07-12,1.56693
2021-07-09,1.56775
2021-07-08,1.56793
2021-07-07,1.56838
2021-07-06,1.56849
2021-07-05,1.56991
2021-07-02,1.57538
2021-07-01,1.57691
2021-06-30,1.57767
2021-06-29,1.57929
2021-06-28,1.58593
2021-06-25,1.58591
2021-06-24,1.58974
2021-06-23,1.58955
2021-06-22,1.59162
2021-06-21,1.59103
2021-06-18,1.59036
2021-06-17,1.59024
2021-06-16,1.59031
2021-06-15,1.59038
2021-06-14,1.5903
2021-06-11,1.59028
2021-06-10,1.59031
2021-06-09,1.59613
2021-06-08,1.59665
2021-06-04,1.5968
2021-06-03,1.59856
2021-06-02,1.59903
2021-06-01,1.59906
2021-05-31,1.60104
2021-05-28,1.60121
