Date,Forecasted VaR
2021-12-31,1.73298
2021-12-30,1.73319
2021-12-29,1.73336
2021-12-28,1.73352
2021-12-27,1.73324
2021-12-24,1.73345
2021-12-23,1.73324
2021-12-22,1.73336
2021-12-21,1.73357
2021-12-20,1.73366
2021-12-17,1.73336
2021-12-16,1.73357
2021-12-15,1.73378
2021-12-14,1.73365
2021-12-13,1.73381
2021-12-10,1.73372
2021-12-09,1.73384
2021-12-08,1.73403
2021-12-07,1.73388
2021-12-06,1.73351
2021-12-02,1.73368
2021-12-01,1.73339
2021-11-30,1.73359
2021-11-29,1.7338
2021-11-26,1.73396
2021-11-25,1.73414
2021-11-24,1.73435
2021-11-23,1.73454
2021-11-22,1.73475
2021-11-19,1.73496
2021-11-18,1.73517
2021-11-17,1.73538
2021-11-16,1.7356
2021-11-15,1.73568
2021-11-12,1.73565
2021-11-11,1.73585
2021-11-10,1.73605
2021-11-09,1.73604
2021-11-08,1.73624
2021-11-05,1.73646
2021-11-03,1.7366
2021-11-02,1.73675
2021-11-01,1.73534
2021-10-29,1.73552
2021-10-28,1.73532
2021-10-27,1.73553
2021-10-26,1.73572
2021-10-25,1.73594
2021-10-22,1.73613
2021-10-21,1.73601
2021-10-20,1.73623
2021-10-18,1.73636
2021-10-15,1.73653
2021-10-14,1.73665
2021-10-13,1.73646
2021-10-12,1.73642
2021-10-11,1.73656
2021-10-08,1.73677
2021-10-07,1.73698
2021-10-06,1.73585
2021-10-05,1.73596
2021-10-04,1.73617
2021-10-01,1.73608
2021-09-30,1.73614
2021-09-29,1.73635
2021-09-28,1.73627
2021-09-27,1.73648
2021-09-24,1.73661
2021-09-23,1.73666
2021-09-22,1.73687
2021-09-21,1.73708
2021-09-20,1.73658
2021-09-17,1.73672
2021-09-15,1.73694
2021-09-14,1.7368
2021-09-13,1.73696
2021-09-10,1.73717
2021-09-09,1.73683
2021-09-08,1.73674
2021-09-07,1.73696
2021-09-06,1.73708
2021-09-03,1.73723
2021-09-02,1.73741
2021-09-01,1.73729
2021-08-30,1.73733
2021-08-27,1.73752
2021-08-26,1.73735
2021-08-25,1.73714
2021-08-24,1.73579
2021-08-23,1.73598
2021-08-20,1.73619
2021-08-19,1.73622
2021-08-18,1.73643
2021-08-17,1.73593
2021-08-16,1.73614
2021-08-13,1.73634
2021-08-12,1.73655
2021-08-11,1.73667
2021-08-09,1.73681
2021-08-06,1.73696
2021-08-05,1.73715
2021-08-04,1.73723
2021-08-03,1.73736
2021-08-02,1.73757
2021-07-30,1.73719
2021-07-29,1.7374
2021-07-28,1.73762
2021-07-27,1.73783
2021-07-26,1.73784
2021-07-23,1.73803
2021-07-22,1.73805
2021-07-21,1.73825
2021-07-19,1.73845
2021-07-16,1.73867
2021-07-15,1.73877
2021-07-14,1.7389
2021-07-13,1.73905
2021-07-12,1.73916
2021-07-09,1.73915
2021-07-08,1.73857
2021-07-07,1.73878
2021-07-06,1.739
2021-07-05,1.73922
2021-07-02,1.73944
2021-07-01,1.73966
2021-06-30,1.73946
2021-06-29,1.73966
2021-06-28,1.7395
2021-06-25,1.7397
2021-06-24,1.73978
2021-06-23,1.73986
2021-06-22,1.74008
2021-06-21,1.73984
2021-06-18,1.73955
2021-06-17,1.73968
2021-06-16,1.73988
2021-06-15,1.7401
2021-06-14,1.74024
2021-06-11,1.74043
2021-06-10,1.74064
2021-06-09,1.7408
2021-06-08,1.74088
2021-06-04,1.74086
2021-06-03,1.74099
2021-06-02,1.741
2021-06-01,1.74121
2021-05-31,1.74124
2021-05-28,1.74146
2021-05-27,1.74129
2021-05-25,1.74146
2021-05-24,1.74154
2021-05-21,1.74147
2021-05-20,1.74165
2021-05-19,1.74168
2021-05-18,1.74181
2021-05-17,1.74203
2021-05-12,1.74222
2021-05-11,1.74238
2021-05-10,1.74258
2021-05-07,1.74268
2021-05-06,1.74289
2021-05-05,1.74285
2021-05-04,1.74307
2021-05-03,1.7431
2021-04-30,1.74324
2021-04-28,1.74346
2021-04-27,1.74324
2021-04-26,1.74313
2021-04-23,1.74336
2021-04-22,1.7434
2021-04-21,1.74342
2021-04-20,1.74357
2021-04-19,1.74369
2021-04-16,1.74391
2021-04-15,1.74399
2021-04-14,1.74422
2021-04-13,1.74425
2021-04-12,1.74445
2021-04-09,1.74454
2021-04-08,1.74476
2021-04-07,1.74425
2021-04-06,1.74443
2021-04-05,1.74465
2021-04-02,1.74487
2021-04-01,1.74496
2021-03-31,1.74315
2021-03-30,1.74336
2021-03-29,1.74344
2021-03-26,1.74365
2021-03-25,1.74384
2021-03-24,1.74399
2021-03-23,1.74348
2021-03-22,1.74357
2021-03-19,1.74379
2021-03-18,1.744
2021-03-17,1.74423
2021-03-16,1.74444
2021-03-15,1.74463
2021-03-12,1.74456
2021-03-11,1.74461
2021-03-10,1.74451
2021-03-09,1.74448
2021-03-08,1.74451
2021-03-05,1.74418
2021-03-04,1.74432
2021-03-03,1.744
2021-03-02,1.74422
2021-03-01,1.74425
2021-02-26,1.74445
2021-02-25,1.74375
2021-02-24,1.74388
2021-02-23,1.74406
2021-02-22,1.74393
2021-02-19,1.74403
2021-02-18,1.74364
2021-02-17,1.74367
2021-02-16,1.74389
2021-02-15,1.74401
