Date,Forecasted VaR
2021-12-31,2.12977
2021-12-30,2.13093
2021-12-29,2.13101
2021-12-28,2.1425
2021-12-27,2.14276
2021-12-24,2.14338
2021-12-23,2.14482
2021-12-22,2.1505
2021-12-21,2.15051
2021-12-20,2.151
2021-12-17,2.15127
2021-12-16,2.15125
2021-12-15,2.15734
2021-12-14,2.15814
2021-12-13,2.15803
2021-12-10,2.15801
2021-12-09,2.15836
2021-12-08,2.16023
2021-12-07,2.16192
2021-12-06,2.16255
2021-12-03,2.16275
2021-12-02,2.16536
2021-12-01,2.16491
2021-11-30,2.16286
2021-11-29,2.16388
2021-11-26,2.16314
2021-11-25,2.1637
2021-11-24,2.1652
2021-11-23,2.16531
2021-11-22,2.16532
2021-11-19,2.16534
2021-11-18,2.16538
2021-11-17,2.16762
2021-11-16,2.16815
2021-11-15,2.1681
2021-11-12,2.17651
2021-11-11,2.17727
2021-11-10,2.17723
2021-11-09,2.17755
2021-11-08,2.17813
2021-11-05,2.17828
2021-11-03,2.17911
2021-11-02,2.18383
2021-11-01,2.18368
2021-10-29,2.18394
2021-10-28,2.18494
2021-10-27,2.18544
2021-10-26,2.18862
2021-10-25,2.18981
2021-10-22,2.18985
2021-10-21,2.19962
2021-10-20,2.20508
2021-10-19,2.20496
2021-10-18,2.20509
2021-10-15,2.20877
2021-10-14,2.20892
2021-10-13,2.20837
2021-10-12,2.20895
2021-10-11,2.21201
2021-10-08,2.21197
2021-10-07,2.21231
2021-10-06,2.21223
2021-10-05,2.21209
2021-10-04,2.21294
2021-10-01,2.21599
2021-09-30,2.21683
2021-09-29,2.22213
2021-09-28,2.23367
2021-09-27,2.2334
2021-09-24,2.23331
2021-09-23,2.233
2021-09-22,2.2365
2021-09-21,2.23866
2021-09-20,2.23889
2021-09-17,2.23888
2021-09-16,2.24328
2021-09-15,2.24457
2021-09-14,2.24703
2021-09-13,2.24998
2021-09-10,2.25346
2021-09-09,2.25445
2021-09-08,2.25798
2021-09-07,2.25808
2021-09-06,2.25798
2021-09-03,2.25896
2021-09-02,2.25959
2021-09-01,2.26589
2021-08-31,2.26548
2021-08-30,2.26743
2021-08-27,2.26983
2021-08-26,2.27146
2021-08-25,2.27464
2021-08-24,2.28321
2021-08-23,2.28319
2021-08-20,2.30384
2021-08-19,2.3031
2021-08-18,2.30899
2021-08-17,2.33628
2021-08-16,2.34263
2021-08-13,2.35278
2021-08-12,2.35311
2021-08-11,2.35642
2021-08-10,2.36131
2021-08-06,2.37174
2021-08-05,2.37559
2021-08-04,2.37735
2021-08-03,2.39155
2021-08-02,2.41202
2021-07-30,2.41582
2021-07-29,2.43163
2021-07-28,2.43168
2021-07-27,2.44324
2021-07-26,2.44595
2021-07-23,2.44596
2021-07-22,2.44541
2021-07-21,2.44692
2021-07-19,2.44695
2021-07-16,2.44754
2021-07-15,2.44748
2021-07-14,2.44992
2021-07-13,2.44991
2021-07-12,2.46065
2021-07-09,2.46045
2021-07-08,2.46107
2021-07-07,2.4606
2021-07-06,2.46358
2021-07-05,2.46398
2021-07-02,2.46737
2021-07-01,2.46862
2021-06-30,2.46825
2021-06-29,2.47485
2021-06-28,2.4762
2021-06-25,2.47931
2021-06-24,2.48056
2021-06-23,2.48145
2021-06-22,2.48174
2021-06-21,2.4826
2021-06-18,2.48268
2021-06-17,2.48268
2021-06-16,2.48258
2021-06-15,2.48246
2021-06-14,2.4825
2021-06-11,2.48316
2021-06-10,2.48338
2021-06-09,2.48438
2021-06-08,2.48454
2021-06-07,2.48449
2021-06-04,2.48443
2021-06-03,2.48444
2021-06-02,2.48424
2021-06-01,2.4842
2021-05-31,2.48444
2021-05-28,2.48551
2021-05-27,2.48567
2021-05-25,2.4856
2021-05-24,2.48596
2021-05-21,2.48616
2021-05-20,2.48615
2021-05-19,2.48624
2021-05-18,2.48509
2021-05-17,2.48493
2021-05-14,2.48446
2021-05-12,2.4843
2021-05-11,2.48688
2021-05-10,2.4871
2021-05-07,2.48893
2021-05-06,2.48892
2021-05-05,2.48904
2021-05-04,2.48903
2021-05-03,2.49088
2021-04-30,2.49109
2021-04-29,2.49134
2021-04-28,2.49143
2021-04-27,2.49179
2021-04-26,2.49265
2021-04-23,2.49333
2021-04-22,2.49303
2021-04-21,2.49283
2021-04-20,2.49273
