Date,Forecasted VaR
2021-12-31,2.53962
2021-12-30,2.5399
2021-12-29,2.54019
2021-12-28,2.54035
2021-12-27,2.54066
2021-12-24,2.54095
2021-12-23,2.54124
2021-12-22,2.54156
2021-12-21,2.54183
2021-12-20,2.54173
2021-12-17,2.54197
2021-12-16,2.54223
2021-12-15,2.54254
2021-12-14,2.54286
2021-12-13,2.54311
2021-12-10,2.54341
2021-12-09,2.54369
2021-12-08,2.544
2021-12-07,2.54423
2021-12-06,2.54449
2021-12-03,2.54478
2021-12-02,2.54509
2021-12-01,2.5445
2021-11-30,2.54304
2021-11-29,2.54279
2021-11-26,2.5423
2021-11-25,2.54261
2021-11-24,2.54293
2021-11-23,2.54323
2021-11-22,2.54354
2021-11-19,2.54385
2021-11-18,2.54417
2021-11-17,2.54448
2021-11-16,2.5448
2021-11-15,2.54508
2021-11-12,2.54538
2021-11-11,2.54568
2021-11-10,2.54597
2021-11-09,2.54618
2021-11-08,2.54638
2021-11-05,2.54658
2021-11-03,2.54685
2021-11-02,2.54713
2021-11-01,2.54734
2021-10-29,2.54765
2021-10-28,2.54792
2021-10-27,2.54819
2021-10-26,2.54851
2021-10-25,2.54883
2021-10-22,2.54908
2021-10-21,2.54938
2021-10-20,2.5497
2021-10-19,2.54986
2021-10-18,2.55018
2021-10-15,2.55048
2021-10-14,2.55079
2021-10-13,2.55058
2021-10-12,2.5509
2021-10-11,2.55122
2021-10-08,2.55151
2021-10-07,2.55175
2021-10-06,2.552
2021-10-05,2.55219
2021-10-04,2.5521
2021-10-01,2.55205
2021-09-30,2.55234
2021-09-29,2.55266
2021-09-28,2.55283
2021-09-27,2.55273
2021-09-24,2.55299
2021-09-23,2.55308
2021-09-22,2.55334
2021-09-21,2.55353
2021-09-20,2.5536
2021-09-17,2.55392
2021-09-16,2.55423
2021-09-15,2.55442
2021-09-14,2.55473
2021-09-13,2.55488
2021-09-10,2.555
2021-09-09,2.55533
2021-09-08,2.5552
2021-09-07,2.55551
2021-09-06,2.55576
2021-09-03,2.55608
2021-09-02,2.5564
2021-09-01,2.55642
2021-08-31,2.55611
2021-08-30,2.55631
2021-08-27,2.5564
2021-08-26,2.55673
2021-08-25,2.55706
2021-08-24,2.55727
2021-08-23,2.55753
2021-08-20,2.55779
2021-08-19,2.55756
2021-08-18,2.55784
2021-08-17,2.55796
2021-08-16,2.55818
2021-08-13,2.55842
2021-08-12,2.55875
2021-08-11,2.55887
2021-08-10,2.55896
2021-08-06,2.55929
2021-08-05,2.5596
2021-08-04,2.55962
2021-08-03,2.55991
2021-08-02,2.56023
2021-07-30,2.5605
2021-07-29,2.56043
2021-07-28,2.56075
2021-07-27,2.56108
2021-07-26,2.56132
2021-07-23,2.56165
2021-07-22,2.56153
2021-07-21,2.56185
2021-07-19,2.5617
2021-07-16,2.56199
2021-07-15,2.56227
2021-07-14,2.56255
2021-07-13,2.56277
2021-07-12,2.56304
2021-07-09,2.56321
2021-07-08,2.56322
2021-07-07,2.56289
2021-07-06,2.56256
2021-07-05,2.56285
2021-07-02,2.56317
2021-07-01,2.56349
2021-06-30,2.56336
2021-06-29,2.56329
2021-06-28,2.56361
2021-06-25,2.56394
2021-06-24,2.56427
2021-06-23,2.56458
2021-06-22,2.56489
2021-06-21,2.56502
2021-06-18,2.56534
2021-06-17,2.56567
2021-06-16,2.56566
2021-06-15,2.56587
2021-06-14,2.56619
2021-06-11,2.56651
2021-06-10,2.56683
2021-06-09,2.5671
2021-06-08,2.56741
2021-06-07,2.56758
2021-06-04,2.56786
2021-06-03,2.56819
2021-06-02,2.56833
2021-06-01,2.56852
2021-05-31,2.5688
2021-05-28,2.56908
2021-05-27,2.56932
2021-05-25,2.56952
2021-05-24,2.56984
2021-05-21,2.57016
2021-05-20,2.57048
2021-05-19,2.5704
2021-05-18,2.56962
2021-05-17,2.56978
2021-05-14,2.56877
2021-05-12,2.56898
2021-05-11,2.56891
2021-05-10,2.56916
2021-05-07,2.56929
2021-05-06,2.56953
2021-05-05,2.56968
2021-05-04,2.57
2021-05-03,2.57003
2021-04-30,2.57036
2021-04-29,2.5707
2021-04-28,2.57103
