Date,Forecasted VaR
2021-12-31,3.36414
2021-12-30,3.3641
2021-12-29,3.37307
2021-12-28,3.37386
2021-12-27,3.37968
2021-12-24,3.38708
2021-12-23,3.38741
2021-12-22,3.38873
2021-12-21,3.38891
2021-12-20,3.39128
2021-12-17,3.39186
2021-12-16,3.39579
2021-12-15,3.40203
2021-12-14,3.40885
2021-12-13,3.41592
2021-12-10,3.41622
2021-12-09,3.41757
2021-12-08,3.4205
2021-12-07,3.42917
2021-12-06,3.43616
2021-12-03,3.43643
2021-12-02,3.44224
2021-12-01,3.44799
2021-11-30,3.45626
2021-11-29,3.45699
2021-11-26,3.45842
2021-11-25,3.45849
2021-11-24,3.45835
2021-11-23,3.45872
2021-11-22,3.45821
2021-11-19,3.45563
2021-11-18,3.46345
2021-11-17,3.46386
2021-11-16,3.46329
2021-11-15,3.46414
2021-11-12,3.46955
2021-11-11,3.47268
2021-11-10,3.47303
2021-11-09,3.47345
2021-11-08,3.47607
2021-11-05,3.47837
2021-11-04,3.479
2021-11-03,3.47824
2021-11-02,3.47728
2021-11-01,3.47888
2021-10-29,3.47905
2021-10-28,3.4797
2021-10-27,3.47914
2021-10-26,3.48027
2021-10-25,3.47996
2021-10-22,3.48548
2021-10-21,3.48745
2021-10-20,3.49317
2021-10-19,3.49353
2021-10-18,3.49366
2021-10-15,3.49753
2021-10-14,3.49836
2021-10-13,3.49842
2021-10-12,3.49847
2021-10-11,3.49838
2021-10-08,3.49924
2021-10-07,3.50085
2021-10-06,3.50286
2021-10-05,3.50401
2021-10-04,3.50751
2021-10-01,3.50763
2021-09-30,3.51204
2021-09-29,3.51241
2021-09-28,3.51229
2021-09-27,3.51148
2021-09-24,3.51167
2021-09-23,3.51195
2021-09-22,3.5118
2021-09-21,3.51182
2021-09-20,3.51201
2021-09-17,3.51162
2021-09-16,3.51202
2021-09-15,3.51192
2021-09-14,3.51194
2021-09-13,3.51233
2021-09-10,3.51279
2021-09-09,3.51325
2021-09-08,3.51336
2021-09-07,3.51346
2021-09-06,3.5134
2021-09-01,3.5134
2021-08-31,3.51336
2021-08-30,3.51332
2021-08-27,3.51333
2021-08-26,3.51351
2021-08-25,3.51464
2021-08-24,3.51442
2021-08-23,3.51424
2021-08-20,3.51298
2021-08-19,3.5131
2021-08-18,3.51599
2021-08-17,3.51994
2021-08-16,3.52264
2021-08-13,3.52311
2021-08-12,3.52508
2021-08-11,3.52713
2021-08-10,3.52954
2021-08-09,3.53109
2021-08-06,3.53237
2021-08-05,3.5318
2021-08-04,3.53185
2021-08-03,3.53146
2021-08-02,3.54167
2021-07-30,3.5423
2021-07-29,3.54929
2021-07-28,3.54939
2021-07-27,3.54923
2021-07-26,3.5507
2021-07-23,3.55425
2021-07-22,3.55363
2021-07-21,3.55382
2021-07-20,3.55308
2021-07-19,3.5475
2021-07-16,3.54857
2021-07-15,3.54633
2021-07-14,3.55302
2021-07-13,3.55332
2021-07-12,3.55388
2021-07-09,3.55327
2021-07-08,3.55985
2021-07-07,3.56569
2021-07-06,3.56444
2021-07-05,3.56601
2021-07-02,3.56987
2021-07-01,3.57093
2021-06-30,3.57093
2021-06-29,3.57934
2021-06-28,3.58149
2021-06-25,3.59135
2021-06-24,3.59354
2021-06-23,3.59555
2021-06-22,3.59632
2021-06-21,3.59632
2021-06-18,3.60523
2021-06-17,3.6069
2021-06-16,3.61886
2021-06-15,3.6189
2021-06-14,3.63236
2021-06-11,3.63212
2021-06-10,3.63902
2021-06-09,3.64504
2021-06-08,3.64949
2021-06-07,3.64678
2021-06-04,3.64785
2021-06-03,3.64663
2021-06-02,3.65529
2021-06-01,3.6558
2021-05-31,3.6555
2021-05-28,3.65764
2021-05-27,3.65778
2021-05-26,3.65799
2021-05-25,3.66027
2021-05-24,3.67104
2021-05-21,3.67975
2021-05-20,3.69088
2021-05-19,3.69652
2021-05-18,3.69684
2021-05-17,3.70316
2021-05-14,3.70431
2021-05-13,3.7039
2021-05-12,3.70591
2021-05-11,3.70899
2021-05-10,3.71106
2021-05-07,3.71103
2021-05-06,3.71124
2021-05-05,3.71094
2021-05-04,3.71386
2021-04-29,3.71545
2021-04-28,3.71727
2021-04-27,3.72633
2021-04-26,3.73274
2021-04-23,3.73255
2021-04-22,3.73351
2021-04-20,3.7342
2021-04-19,3.73424
2021-04-16,3.73772
2021-04-15,3.7403
2021-04-14,3.74179
2021-04-13,3.74256
2021-04-12,3.74323
2021-04-09,3.74357
2021-04-08,3.74398
2021-04-07,3.74416
2021-04-06,3.74432
2021-04-05,3.74509
2021-04-02,3.74682
2021-04-01,3.7469
2021-03-31,3.74657
2021-03-30,3.74645
2021-03-29,3.7459
2021-03-26,3.74701
2021-03-25,3.74696
2021-03-24,3.74707
2021-03-23,3.74741
2021-03-22,3.74788
2021-03-19,3.74809
2021-03-18,3.74827
2021-03-17,3.74935
2021-03-16,3.75191
2021-03-15,3.75542
2021-03-12,3.75766
2021-03-11,3.75832
2021-03-10,3.75961
2021-03-09,3.75963
2021-03-08,3.75923
2021-03-05,3.75878
2021-03-04,3.76046
2021-03-03,3.76078
2021-03-02,3.76241
2021-03-01,3.76298
2021-02-26,3.76266
2021-02-25,3.76011
2021-02-24,3.76008
2021-02-23,3.76091
2021-02-22,3.75911
2021-02-19,3.75911
2021-02-18,3.76001
2021-02-17,3.75896
2021-02-09,3.7589
2021-02-08,3.75923
2021-02-05,3.76053
2021-02-04,3.76101
2021-02-03,3.75798
2021-02-02,3.75598
2021-02-01,3.75459
2021-01-29,3.7485
2021-01-28,3.73299
2021-01-27,3.73141
2021-01-26,3.73149
2021-01-25,3.72926
2021-01-22,3.72974
2021-01-21,3.72808
2021-01-20,3.72442
2021-01-19,3.72309
2021-01-18,3.72279
2021-01-15,3.72322
2021-01-14,3.72404
2021-01-13,3.72481
2021-01-12,3.72522
2021-01-11,3.72589
2021-01-08,3.72631
2021-01-07,3.72593
2021-01-06,3.72615
2021-01-05,3.72695
2021-01-04,3.72761
2020-12-31,3.7263
2020-12-30,3.72727
2020-12-29,3.72818
2020-12-28,3.72811
2020-12-25,3.72747
2020-12-24,3.72737
2020-12-23,3.72733
2020-12-22,3.72549
2020-12-21,3.72371
2020-12-18,3.72224
2020-12-17,3.72338
2020-12-16,3.72296
2020-12-15,3.72301
2020-12-14,3.72372
2020-12-11,3.72389
2020-12-10,3.72535
2020-12-09,3.72569
2020-12-08,3.72622
2020-12-07,3.72705
2020-12-04,3.72706
2020-12-03,3.72844
2020-12-02,3.72864
2020-12-01,3.72893
2020-11-30,3.72962
2020-11-27,3.73023
2020-11-26,3.7308
2020-11-25,3.73131
2020-11-24,3.7313
2020-11-23,3.7372
2020-11-20,3.74821
2020-11-19,3.76005
2020-11-18,3.76113
2020-11-17,3.76015
2020-11-16,3.76018
2020-11-13,3.77152
2020-11-12,3.78073
2020-11-11,3.78105
2020-11-10,3.78124
2020-11-09,3.78224
2020-11-06,3.79027
2020-11-05,3.7924
2020-11-04,3.80975
2020-11-03,3.82238
2020-11-02,3.82552
2020-10-30,3.83742
2020-10-29,3.84631
2020-10-28,3.84588
2020-10-27,3.84546
2020-10-26,3.845
2020-10-23,3.85657
2020-10-22,3.8588
2020-10-21,3.85884
2020-10-20,3.87219
2020-10-19,3.87591
2020-10-16,3.87597
2020-10-15,3.87981
2020-10-14,3.87985
2020-10-13,3.87989
2020-10-12,3.88078
2020-10-09,3.88221
2020-10-08,3.88261
2020-10-07,3.88246
2020-10-06,3.89118
2020-10-05,3.89193
2020-10-02,3.89167
2020-10-01,3.89169
2020-09-30,3.89155
2020-09-29,3.89298
2020-09-28,3.89337
2020-09-25,3.89369
2020-09-24,3.8943
2020-09-23,3.89447
2020-09-22,3.90555
2020-09-21,3.90818
2020-09-18,3.91335
2020-09-17,3.91333
2020-09-16,3.9137
2020-09-15,3.9141
2020-09-14,3.91393
2020-09-11,3.91777
2020-09-10,3.91812
2020-09-09,3.91921
2020-09-08,3.91919
2020-09-07,3.91981
2020-09-04,3.92045
2020-09-03,3.92047
2020-09-01,3.9211
2020-08-31,3.92108
2020-08-28,3.92189
2020-08-27,3.92201
2020-08-26,3.92504
2020-08-25,3.92503
2020-08-24,3.92583
2020-08-21,3.92552
2020-08-20,3.92503
2020-08-19,3.92429
2020-08-18,3.92496
2020-08-17,3.92603
2020-08-14,3.92598
2020-08-13,3.92593
2020-08-12,3.9261
2020-08-11,3.92526
2020-08-10,3.92544
2020-08-07,3.92542
2020-08-06,3.92547
2020-08-05,3.92506
2020-08-04,3.9244
2020-08-03,3.92314
2020-07-31,3.9231
2020-07-30,3.9229
2020-07-29,3.923
2020-07-28,3.91817
2020-07-27,3.91021
2020-07-24,3.90666
2020-07-23,3.907
2020-07-22,3.92718
2020-07-21,3.93871
2020-07-20,3.94237
2020-07-17,3.94275
2020-07-16,3.94307
2020-07-15,3.94312
