Date,Forecasted VaR
2021-12-31,1.96945
2021-12-29,1.96938
2021-12-28,1.97021
2021-12-27,1.9704
2021-12-24,1.9702
2021-12-23,1.9697
2021-12-22,1.96964
2021-12-21,1.96944
2021-12-20,1.96945
2021-12-17,1.9696
2021-12-16,1.96924
2021-12-15,1.96893
2021-12-14,1.96889
2021-12-13,1.96893
2021-12-10,1.96901
2021-12-09,1.96872
2021-12-08,1.96873
2021-12-07,1.96912
2021-12-06,1.96915
2021-12-03,1.96984
2021-12-02,1.96957
2021-12-01,1.96814
2021-11-29,1.96907
2021-11-26,1.96898
2021-11-25,1.96892
2021-11-24,1.96895
2021-11-23,1.96926
2021-11-22,1.96932
2021-11-19,1.96939
2021-11-18,1.96934
2021-11-17,1.96941
2021-11-16,1.96942
2021-11-15,1.96967
2021-11-12,1.97174
2021-11-11,1.97205
2021-11-10,1.97232
2021-11-09,1.97227
2021-11-08,1.97269
2021-11-05,1.97203
2021-11-04,1.97202
2021-11-03,1.97185
2021-11-02,1.97185
2021-10-29,1.972
2021-10-28,1.97239
2021-10-27,1.97238
2021-10-26,1.97838
2021-10-25,1.97816
2021-10-22,1.9784
2021-10-21,1.98091
2021-10-20,1.98088
2021-10-19,1.98081
2021-10-18,1.98094
2021-10-15,1.98128
2021-10-14,1.98095
2021-10-13,1.98184
2021-10-12,1.98185
2021-10-11,1.97982
2021-10-08,1.9801
2021-10-07,1.97979
2021-10-06,1.97955
2021-10-05,1.97968
2021-10-04,1.98
2021-10-01,1.985
2021-09-30,1.98499
2021-09-29,1.98553
2021-09-28,1.98562
2021-09-27,1.99298
2021-09-24,1.99368
2021-09-23,1.99763
2021-09-22,2.00037
2021-09-21,2.00104
2021-09-20,2.00358
2021-09-17,2.00427
2021-09-16,2.00588
2021-09-15,2.00634
2021-09-14,2.00622
2021-09-13,2.00626
2021-09-10,2.00634
2021-09-09,2.00656
2021-09-08,2.00888
2021-09-07,2.00883
2021-09-06,2.0091
2021-09-03,2.0119
2021-09-02,2.01611
2021-09-01,2.02038
2021-08-31,2.0242
2021-08-27,2.02421
2021-08-26,2.0608
2021-08-25,2.0609
2021-08-24,2.06537
2021-08-23,2.06556
2021-08-20,2.06655
2021-08-19,2.06713
2021-08-18,2.06677
2021-08-17,2.07268
2021-08-16,2.07135
2021-08-13,2.07878
2021-08-12,2.07837
2021-08-11,2.09413
2021-08-10,2.09429
2021-08-09,2.09897
2021-08-06,2.10094
2021-08-05,2.10233
2021-08-04,2.103
2021-08-03,2.10294
2021-08-02,2.10185
2021-07-30,2.09924
2021-07-29,2.0995
2021-07-28,2.10035
2021-07-27,2.09944
2021-07-26,2.09872
2021-07-23,2.09962
2021-07-22,2.10343
2021-07-21,2.10677
2021-07-20,2.10718
2021-07-19,2.11107
2021-07-16,2.11476
2021-07-15,2.11444
2021-07-14,2.11478
2021-07-13,2.11419
2021-07-12,2.11395
2021-07-09,2.11359
2021-07-08,2.11382
2021-07-07,2.11371
2021-07-06,2.11408
2021-07-05,2.11416
2021-07-02,2.11411
2021-07-01,2.11424
2021-06-30,2.11412
2021-06-29,2.11413
2021-06-28,2.1142
2021-06-25,2.11404
2021-06-24,2.11418
2021-06-23,2.11411
2021-06-22,2.11438
2021-06-21,2.11435
2021-06-18,2.11429
2021-06-17,2.11429
2021-06-16,2.11434
2021-06-15,2.11575
2021-06-14,2.11576
2021-06-11,2.11577
2021-06-10,2.11831
2021-06-09,2.11795
2021-06-08,2.11794
2021-06-07,2.1179
2021-06-04,2.11791
2021-06-03,2.11881
2021-06-02,2.11686
2021-06-01,2.1171
2021-05-31,2.11718
2021-05-28,2.11888
2021-05-27,2.1148
2021-05-26,2.11376
2021-05-25,2.11396
2021-05-24,2.1139
2021-05-21,2.11403
2021-05-20,2.11448
2021-05-18,2.11509
2021-05-17,2.1152
2021-05-14,2.11521
2021-05-12,2.1151
2021-05-11,2.11541
2021-05-10,2.11567
2021-05-07,2.11635
2021-05-06,2.11652
2021-05-05,2.11721
2021-05-04,2.11737
2021-05-03,2.11808
2021-04-30,2.1174
2021-04-29,2.11843
2021-04-28,2.11785
2021-04-27,2.11819
2021-04-26,2.1184
2021-04-23,2.12035
2021-04-22,2.12038
2021-04-21,2.12059
2021-04-20,2.12054
2021-04-19,2.12055
2021-04-16,2.12174
2021-04-15,2.12176
2021-04-14,2.12195
2021-04-13,2.12312
2021-04-12,2.12559
2021-04-08,2.12516
2021-04-07,2.12582
2021-04-06,2.12544
2021-04-05,2.12581
2021-03-31,2.12529
2021-03-30,2.12525
2021-03-29,2.12533
2021-03-26,2.1254
2021-03-25,2.12514
2021-03-24,2.12504
2021-03-23,2.12495
2021-03-22,2.12515
2021-03-19,2.12346
2021-03-18,2.12335
2021-03-17,2.12335
2021-03-16,2.12335
2021-03-15,2.12194
2021-03-12,2.12198
2021-03-11,2.12213
2021-03-10,2.1222
2021-03-09,2.12228
2021-03-08,2.12169
2021-03-05,2.12173
2021-03-04,2.12174
2021-03-03,2.12196
2021-03-02,2.12208
2021-03-01,2.12183
2021-02-26,2.12183
2021-02-24,2.12208
2021-02-23,2.12323
2021-02-22,2.12272
2021-02-19,2.12273
2021-02-18,2.12245
2021-02-17,2.12234
2021-02-16,2.12221
2021-02-15,2.12224
2021-02-11,2.12195
2021-02-10,2.12199
2021-02-09,2.12206
2021-02-08,2.12211
2021-02-05,2.12158
2021-02-04,2.1216
2021-02-03,2.12159
2021-02-02,2.1221
2021-02-01,2.12032
2021-01-29,2.11907
2021-01-28,2.11912
2021-01-27,2.11873
2021-01-26,2.11855
2021-01-25,2.11853
2021-01-22,2.11831
2021-01-21,2.11845
2021-01-20,2.11893
2021-01-19,2.11933
2021-01-18,2.11935
2021-01-15,2.12255
2021-01-14,2.12281
2021-01-13,2.12285
2021-01-12,2.1232
2021-01-11,2.1232
2021-01-08,2.12546
2021-01-07,2.12697
2021-01-06,2.12677
2021-01-05,2.12666
2021-01-04,2.1267
2020-12-29,2.12724
2020-12-28,2.12701
2020-12-23,2.12702
2020-12-22,2.12713
2020-12-21,2.12703
2020-12-18,2.12895
2020-12-17,2.12896
2020-12-16,2.12879
2020-12-15,2.12881
2020-12-14,2.12885
2020-12-11,2.12871
2020-12-10,2.12864
2020-12-09,2.12831
2020-12-07,2.12822
2020-12-04,2.12884
2020-12-03,2.1284
2020-12-02,2.12821
2020-12-01,2.1268
2020-11-27,2.12628
2020-11-26,2.12619
2020-11-25,2.12585
2020-11-24,2.12566
2020-11-23,2.12585
2020-11-20,2.12474
2020-11-19,2.12485
2020-11-18,2.1261
2020-11-17,2.12769
2020-11-16,2.12896
2020-11-13,2.13544
2020-11-11,2.13549
2020-11-10,2.13157
2020-11-09,2.13357
2020-11-06,2.13513
2020-11-05,2.13382
2020-11-04,2.1331
2020-11-03,2.13349
2020-10-30,2.13346
2020-10-29,2.13261
2020-10-28,2.1327
2020-10-27,2.13384
2020-10-26,2.13393
2020-10-23,2.13516
2020-10-22,2.13495
2020-10-21,2.13385
2020-10-20,2.13383
2020-10-19,2.134
2020-10-16,2.13418
2020-10-15,2.13427
2020-10-14,2.13428
2020-10-13,2.13431
2020-10-12,2.13476
2020-10-09,2.13598
2020-10-08,2.13573
2020-10-07,2.13631
2020-10-06,2.13627
2020-10-05,2.13678
2020-10-02,2.13664
2020-10-01,2.13733
2020-09-30,2.13731
2020-09-29,2.13733
2020-09-28,2.13765
2020-09-25,2.13792
2020-09-24,2.13781
2020-09-23,2.13784
2020-09-22,2.13855
2020-09-21,2.13856
2020-09-18,2.13866
2020-09-17,2.13881
2020-09-16,2.14025
2020-09-15,2.14055
2020-09-14,2.14134
2020-09-11,2.14111
2020-09-10,2.14207
2020-09-09,2.14154
2020-09-08,2.14212
2020-09-07,2.14081
2020-09-04,2.14216
2020-09-03,2.14212
2020-09-02,2.14189
2020-09-01,2.14149
2020-08-28,2.14149
2020-08-27,2.14148
2020-08-26,2.14149
2020-08-25,2.14149
2020-08-24,2.14189
2020-08-20,2.14194
2020-08-19,2.14457
2020-08-18,2.14449
2020-08-17,2.1445
2020-08-14,2.14491
2020-08-13,2.14464
2020-08-12,2.14473
2020-08-11,2.14472
2020-08-10,2.14478
2020-08-07,2.14591
2020-08-06,2.14694
2020-08-05,2.14674
2020-08-04,2.14654
2020-08-03,2.14506
2020-07-30,2.14592
2020-07-29,2.14593
2020-07-28,2.14569
2020-07-27,2.14617
2020-07-24,2.14633
2020-07-23,2.14626
2020-07-22,2.14599
2020-07-21,2.14604
