Date,Forecasted VaR
2021-12-31,2.16543
2021-12-29,2.16565
2021-12-28,2.1659
2021-12-27,2.16602
2021-12-24,2.16616
2021-12-23,2.16594
2021-12-22,2.16614
2021-12-21,2.16625
2021-12-20,2.16641
2021-12-17,2.16657
2021-12-16,2.16655
2021-12-15,2.16644
2021-12-14,2.16666
2021-12-13,2.16694
2021-12-10,2.16716
2021-12-09,2.16721
2021-12-08,2.16749
2021-12-07,2.16776
2021-12-06,2.16787
2021-12-03,2.16813
2021-12-02,2.16819
2021-12-01,2.16636
2021-11-29,2.16644
2021-11-26,2.16646
2021-11-25,2.16666
2021-11-24,2.16693
2021-11-23,2.16681
2021-11-22,2.16709
2021-11-19,2.16735
2021-11-18,2.16755
2021-11-17,2.16782
2021-11-16,2.16808
2021-11-15,2.16831
2021-11-12,2.16852
2021-11-11,2.16873
2021-11-10,2.16888
2021-11-09,2.1691
2021-11-08,2.1693
2021-11-05,2.16903
2021-11-04,2.1693
2021-11-03,2.16939
2021-11-02,2.1696
2021-10-29,2.16952
2021-10-28,2.16963
2021-10-27,2.16989
2021-10-26,2.17013
2021-10-25,2.17021
2021-10-22,2.17048
2021-10-21,2.17075
2021-10-20,2.17101
2021-10-19,2.17123
2021-10-18,2.17151
2021-10-15,2.17177
2021-10-14,2.17165
2021-10-13,2.17188
2021-10-12,2.17215
2021-10-11,2.17091
2021-10-08,2.17112
2021-10-07,2.17102
2021-10-06,2.17112
2021-10-05,2.17139
2021-10-04,2.17163
2021-10-01,2.17188
2021-09-30,2.17216
2021-09-29,2.17237
2021-09-28,2.17247
2021-09-27,2.17275
2021-09-24,2.17299
2021-09-23,2.17326
2021-09-22,2.17354
2021-09-21,2.17381
2021-09-20,2.17398
2021-09-17,2.17415
2021-09-16,2.17419
2021-09-15,2.17441
2021-09-14,2.17461
2021-09-13,2.17489
2021-09-10,2.17511
2021-09-09,2.17537
2021-09-08,2.17561
2021-09-07,2.17586
2021-09-06,2.17613
2021-09-03,2.17629
2021-09-02,2.1765
2021-09-01,2.1766
2021-08-31,2.17673
2021-08-27,2.17697
2021-08-26,2.17726
2021-08-25,2.17683
2021-08-24,2.17685
2021-08-23,2.17706
2021-08-20,2.17707
2021-08-19,2.1773
2021-08-18,2.17708
2021-08-17,2.17729
2021-08-16,2.17612
2021-08-13,2.17417
2021-08-12,2.17398
2021-08-11,2.1742
2021-08-10,2.17448
2021-08-09,2.17446
2021-08-06,2.17474
2021-08-05,2.17497
2021-08-04,2.17523
2021-08-03,2.17504
2021-08-02,2.17409
2021-07-30,2.17228
2021-07-29,2.17255
2021-07-28,2.17273
2021-07-27,2.17215
2021-07-26,2.17155
2021-07-23,2.17171
2021-07-22,2.17162
2021-07-21,2.17142
2021-07-20,2.1717
2021-07-19,2.17155
2021-07-16,2.17179
2021-07-15,2.17164
2021-07-14,2.17188
2021-07-13,2.17165
2021-07-12,2.17174
2021-07-09,2.17173
2021-07-08,2.172
2021-07-07,2.1722
2021-07-06,2.17241
2021-07-05,2.17267
2021-07-02,2.17291
2021-07-01,2.17308
2021-06-30,2.17325
2021-06-29,2.17353
2021-06-28,2.17381
2021-06-25,2.17397
2021-06-24,2.17421
2021-06-23,2.17443
2021-06-22,2.17466
2021-06-21,2.17492
2021-06-18,2.17516
2021-06-17,2.17518
2021-06-16,2.17547
2021-06-15,2.17565
2021-06-14,2.17594
2021-06-11,2.17619
2021-06-10,2.17645
2021-06-09,2.17645
2021-06-08,2.17668
2021-06-07,2.17692
2021-06-04,2.17721
2021-06-03,2.17741
2021-06-02,2.17605
2021-06-01,2.17634
2021-05-31,2.17655
2021-05-28,2.17683
2021-05-27,2.17306
2021-05-26,2.17249
2021-05-25,2.17274
2021-05-24,2.17297
2021-05-21,2.17326
2021-05-20,2.17345
2021-05-18,2.17367
2021-05-17,2.17395
2021-05-14,2.1742
2021-05-12,2.17413
2021-05-11,2.17442
2021-05-10,2.17458
2021-05-07,2.17484
2021-05-06,2.17511
2021-05-05,2.17525
2021-05-04,2.17553
2021-05-03,2.17583
2021-04-30,2.17555
2021-04-29,2.17583
2021-04-28,2.17563
2021-04-27,2.17587
