Date,Forecasted VaR
2021-12-30,1.78907
2021-12-29,1.78946
2021-12-28,1.79044
2021-12-27,1.79051
2021-12-24,1.7905
2021-12-23,1.79061
2021-12-22,1.79078
2021-12-21,1.79385
2021-12-20,1.79321
2021-12-17,1.79328
2021-12-16,1.79297
2021-12-15,1.79311
2021-12-14,1.7931
2021-12-13,1.79369
2021-12-09,1.79374
2021-12-08,1.79369
2021-12-07,1.79421
2021-12-03,1.79419
2021-12-02,1.7945
2021-12-01,1.79421
2021-11-30,1.79377
2021-11-29,1.79335
2021-11-26,1.79346
2021-11-25,1.79345
2021-11-24,1.79351
2021-11-23,1.79359
2021-11-22,1.79487
2021-11-19,1.79491
2021-11-18,1.79715
2021-11-17,1.79729
2021-11-16,1.79804
2021-11-15,1.79814
2021-11-12,1.79845
2021-11-11,1.79904
2021-11-10,1.7991
2021-11-09,1.79917
2021-11-08,1.79917
2021-11-05,1.80017
2021-11-04,1.80231
2021-11-03,1.80266
2021-11-02,1.80714
2021-11-01,1.80752
2021-10-29,1.80794
2021-10-28,1.80797
2021-10-27,1.80908
2021-10-26,1.80942
2021-10-25,1.81837
2021-10-21,1.81846
2021-10-20,1.81842
2021-10-19,1.81828
2021-10-18,1.8186
2021-10-15,1.81861
2021-10-14,1.81907
2021-10-12,1.8211
2021-10-11,1.82135
2021-10-08,1.82169
2021-10-07,1.82153
2021-10-06,1.8223
2021-10-05,1.8241
2021-10-04,1.82403
2021-10-01,1.82403
2021-09-30,1.82622
2021-09-29,1.83073
2021-09-28,1.83072
2021-09-27,1.83105
2021-09-23,1.83117
2021-09-22,1.83301
2021-09-21,1.83501
2021-09-20,1.835
2021-09-17,1.83511
2021-09-16,1.83559
2021-09-15,1.83763
2021-09-14,1.83772
2021-09-13,1.84094
2021-09-10,1.84277
2021-09-09,1.84532
2021-09-08,1.84552
2021-09-07,1.84555
2021-09-06,1.84562
2021-09-03,1.84618
2021-09-02,1.84842
2021-09-01,1.84903
2021-08-31,1.84902
2021-08-30,1.84892
2021-08-27,1.84885
2021-08-26,1.84962
2021-08-25,1.86263
2021-08-24,1.8635
2021-08-23,1.87126
2021-08-20,1.87419
2021-08-19,1.87576
2021-08-18,1.90413
2021-08-17,1.91592
2021-08-16,1.91783
2021-08-13,1.91783
2021-08-11,1.91802
2021-08-10,1.91846
2021-08-09,1.9183
2021-08-06,1.9218
2021-08-05,1.92702
2021-08-04,1.9331
2021-08-03,1.9558
2021-08-02,1.9563
2021-07-30,1.96738
