Date,Forecasted VaR
2021-12-30,2.03163
2021-12-29,2.0318
2021-12-28,2.03205
2021-12-27,2.03231
2021-12-24,2.03256
2021-12-23,2.03269
2021-12-22,2.03294
2021-12-21,2.03317
2021-12-20,2.03299
2021-12-17,2.03324
2021-12-16,2.03321
2021-12-15,2.03344
2021-12-14,2.03369
2021-12-13,2.03391
2021-12-09,2.03417
2021-12-08,2.03439
2021-12-07,2.03436
2021-12-03,2.03461
2021-12-02,2.03487
2021-12-01,2.03481
2021-11-30,2.03476
2021-11-29,2.03472
2021-11-26,2.03404
2021-11-25,2.0343
2021-11-24,2.03456
2021-11-23,2.03481
2021-11-22,2.03506
2021-11-19,2.0353
2021-11-18,2.03554
2021-11-17,2.0358
2021-11-16,2.03605
2021-11-15,2.0363
2021-11-12,2.03656
2021-11-11,2.03682
2021-11-10,2.03709
2021-11-09,2.03733
2021-11-08,2.03759
2021-11-05,2.03786
2021-11-04,2.03799
2021-11-03,2.03823
2021-11-02,2.03849
2021-11-01,2.03868
2021-10-29,2.03895
2021-10-28,2.0392
2021-10-27,2.03942
2021-10-26,2.03968
2021-10-25,2.03989
2021-10-21,2.04013
2021-10-20,2.04037
2021-10-19,2.04051
2021-10-18,2.04076
2021-10-15,2.04102
2021-10-14,2.04127
2021-10-12,2.04148
2021-10-11,2.04172
2021-10-08,2.04196
2021-10-07,2.0421
2021-10-06,2.04235
2021-10-05,2.04256
2021-10-04,2.04277
2021-10-01,2.04304
2021-09-30,2.04321
2021-09-29,2.04348
2021-09-28,2.04374
2021-09-27,2.04392
2021-09-23,2.0441
2021-09-22,2.04435
2021-09-21,2.04453
2021-09-20,2.04445
2021-09-17,2.04469
2021-09-16,2.04495
2021-09-15,2.04521
2021-09-14,2.04541
2021-09-13,2.04567
2021-09-10,2.04592
2021-09-09,2.0461
2021-09-08,2.04636
2021-09-07,2.04653
2021-09-06,2.04679
2021-09-03,2.04706
2021-09-02,2.04722
2021-09-01,2.04747
2021-08-31,2.04772
2021-08-30,2.04767
2021-08-27,2.04788
2021-08-26,2.04815
2021-08-25,2.0483
2021-08-24,2.04855
2021-08-23,2.04825
2021-08-20,2.04846
2021-08-19,2.04869
2021-08-18,2.04892
