Date,Forecasted VaR
2021-12-31,2.98634
2021-12-30,2.98664
2021-12-29,2.98702
2021-12-28,2.987
2021-12-27,2.9873
2021-12-24,2.98764
2021-12-23,2.98736
2021-12-22,2.98772
2021-12-21,2.9881
2021-12-20,2.98846
2021-12-17,2.98883
2021-12-16,2.98915
2021-12-15,2.98953
2021-12-14,2.98985
2021-12-13,2.98999
2021-12-10,2.99035
2021-12-09,2.99069
2021-12-08,2.99101
2021-12-07,2.99075
2021-12-06,2.99005
2021-12-03,2.98996
2021-12-02,2.99031
2021-12-01,2.99066
2021-11-30,2.991
2021-11-29,2.99137
2021-11-26,2.99174
2021-11-25,2.99204
2021-11-24,2.99216
2021-11-23,2.99245
2021-11-22,2.99232
2021-11-19,2.99149
2021-11-18,2.9917
2021-11-17,2.99148
2021-11-16,2.99151
2021-11-15,2.99186
2021-11-12,2.99219
2021-11-11,2.99257
2021-11-10,2.99278
2021-11-09,2.99316
2021-11-08,2.99343
2021-11-05,2.99364
2021-11-04,2.99375
2021-11-03,2.99365
2021-11-02,2.99357
2021-11-01,2.99388
2021-10-29,2.99426
2021-10-28,2.99434
2021-10-27,2.99443
2021-10-26,2.99479
2021-10-25,2.99502
2021-10-22,2.99535
2021-10-21,2.99574
2021-10-20,2.99611
2021-10-19,2.99646
2021-10-18,2.99685
2021-10-15,2.99723
2021-10-14,2.99739
2021-10-13,2.99767
2021-10-12,2.99804
2021-10-11,2.99839
2021-10-08,2.99876
2021-10-07,2.99911
2021-10-06,2.99947
2021-10-05,2.99959
2021-10-04,2.99981
2021-10-01,3.00019
2021-09-30,3.0005
2021-09-29,3.00085
2021-09-28,3.00116
2021-09-27,3.00113
2021-09-24,3.0015
2021-09-23,3.00183
2021-09-22,3.00205
2021-09-21,3.00243
2021-09-20,3.00282
2021-09-17,3.00301
2021-09-16,3.00334
2021-09-15,3.00366
2021-09-14,3.00403
2021-09-13,3.0044
2021-09-10,3.00479
2021-09-09,3.00509
2021-09-08,3.00547
2021-09-07,3.00586
2021-09-06,3.0062
2021-09-01,3.00659
2021-08-31,3.00696
2021-08-30,3.00729
2021-08-27,3.00764
2021-08-26,3.00803
2021-08-25,3.00824
2021-08-24,3.00852
2021-08-23,3.0088
2021-08-20,3.00853
2021-08-19,3.00891
2021-08-18,3.00927
2021-08-17,3.00966
2021-08-16,3.00963
2021-08-13,3.00996
2021-08-12,3.01035
2021-08-11,3.01073
2021-08-10,3.01093
2021-08-09,3.01104
2021-08-06,3.01143
2021-08-05,3.0115
2021-08-04,3.01188
2021-08-03,3.01208
2021-08-02,3.01247
2021-07-30,3.01269
2021-07-29,3.01282
2021-07-28,3.01321
2021-07-27,3.01349
2021-07-26,3.01387
2021-07-23,3.01403
2021-07-22,3.01409
2021-07-21,3.01449
2021-07-20,3.01381
2021-07-19,3.01096
2021-07-16,3.01133
2021-07-15,3.01059
2021-07-14,3.01098
2021-07-13,3.0112
2021-07-12,3.00909
2021-07-09,3.00842
2021-07-08,3.00863
2021-07-07,3.00901
2021-07-06,3.00842
2021-07-05,3.00881
2021-07-02,3.00915
2021-07-01,3.00948
2021-06-30,3.00987
2021-06-29,3.01026
2021-06-28,3.0104
2021-06-25,3.01068
2021-06-24,3.01107
2021-06-23,3.01144
2021-06-22,3.01183
2021-06-21,3.01214
2021-06-18,3.01251
2021-06-17,3.01278
2021-06-16,3.01291
2021-06-15,3.01329
2021-06-14,3.01363
2021-06-11,3.01369
2021-06-10,3.01371
2021-06-09,3.0128
2021-06-08,3.01135
2021-06-07,3.01033
2021-06-04,3.01072
2021-06-03,3.01044
2021-06-02,3.0107
2021-06-01,3.01109
2021-05-31,3.01085
2021-05-28,3.01081
2021-05-27,3.01121
2021-05-26,3.01147
2021-05-25,3.01185
2021-05-24,3.01218
2021-05-21,3.01247
2021-05-20,3.01287
2021-05-19,3.01326
2021-05-18,3.01359
2021-05-17,3.01394
2021-05-14,3.01353
2021-05-13,3.01361
2021-05-12,3.01392
2021-05-11,3.01431
2021-05-10,3.01471
2021-05-07,3.01508
2021-05-06,3.01548
2021-05-05,3.01573
2021-05-04,3.01587
2021-04-29,3.01626
2021-04-28,3.01663
2021-04-27,3.01703
2021-04-26,3.01729
2021-04-23,3.01751
2021-04-22,3.01665
2021-04-20,3.01704
2021-04-19,3.01735
2021-04-16,3.01762
2021-04-15,3.018
2021-04-14,3.01831
2021-04-13,3.01855
2021-04-12,3.01891
2021-04-09,3.01931
2021-04-08,3.0197
2021-04-07,3.02009
2021-04-06,3.02049
2021-04-05,3.02069
2021-04-02,3.02102
2021-04-01,3.02097
2021-03-31,3.02093
2021-03-30,3.02096
2021-03-29,3.02095
2021-03-26,3.02113
2021-03-25,3.02149
2021-03-24,3.02166
2021-03-23,3.02196
2021-03-22,3.02223
2021-03-19,3.02263
2021-03-18,3.02302
2021-03-17,3.02342
2021-03-16,3.02381
2021-03-15,3.02419
2021-03-12,3.0246
2021-03-11,3.02434
2021-03-10,3.02467
2021-03-09,3.02504
2021-03-08,3.02522
2021-03-05,3.02535
2021-03-04,3.0257
2021-03-03,3.0254
2021-03-02,3.02542
2021-03-01,3.02565
2021-02-26,3.02588
2021-02-25,3.0249
2021-02-24,3.02528
2021-02-23,3.02567
2021-02-22,3.02509
2021-02-19,3.0255
2021-02-18,3.0259
2021-02-17,3.02558
2021-02-09,3.02558
2021-02-08,3.02575
2021-02-05,3.02615
2021-02-04,3.02656
2021-02-03,3.02529
2021-02-02,3.02458
