Date,Forecasted VaR
2021-12-31,2.46658
2021-12-30,2.46658
2021-12-29,2.46658
2021-12-28,2.4898
2021-12-27,2.4898
2021-12-24,2.4898
2021-12-23,2.4898
2021-12-22,2.4898
2021-12-21,2.4898
2021-12-20,2.4898
2021-12-17,2.4898
2021-12-16,2.4898
2021-12-15,2.4898
2021-12-14,2.4898
2021-12-13,2.4898
2021-12-10,2.4898
2021-12-09,2.4898
2021-12-08,2.4898
2021-12-07,2.4898
2021-12-06,2.4898
2021-12-03,2.4898
2021-12-02,2.4898
2021-12-01,2.4898
2021-11-30,2.4898
2021-11-29,2.4898
2021-11-26,2.4898
2021-11-25,2.4898
2021-11-24,2.4898
2021-11-23,2.4898
2021-11-22,2.4898
2021-11-19,2.4898
2021-11-18,2.4898
2021-11-17,2.4898
2021-11-16,2.4898
2021-11-15,2.4898
2021-11-12,2.49815
2021-11-11,2.49815
2021-11-10,2.49815
2021-11-09,2.49815
2021-11-08,2.49815
2021-11-05,2.49815
2021-11-03,2.49815
2021-11-02,2.49815
2021-11-01,2.49815
2021-10-29,2.49815
2021-10-28,2.49815
2021-10-27,2.49815
2021-10-26,2.49815
2021-10-25,2.49815
2021-10-22,2.49815
2021-10-21,2.50783
2021-10-20,2.56816
2021-10-19,2.56816
2021-10-18,2.56816
2021-10-15,2.58847
2021-10-14,2.58847
2021-10-13,2.58847
2021-10-12,2.58847
2021-10-11,2.58847
2021-10-08,2.58847
2021-10-07,2.58847
2021-10-06,2.58847
2021-10-05,2.58847
2021-10-04,2.58847
2021-10-01,2.58847
2021-09-30,2.58847
2021-09-29,2.60508
2021-09-28,2.61669
2021-09-27,2.61669
2021-09-24,2.61669
2021-09-23,2.61669
2021-09-22,2.61669
2021-09-21,2.61669
2021-09-20,2.61669
2021-09-17,2.61669
2021-09-16,2.64009
2021-09-15,2.64009
2021-09-14,2.64009
2021-09-13,2.65418
2021-09-10,2.65418
2021-09-09,2.65418
2021-09-08,2.65418
2021-09-07,2.65418
2021-09-06,2.65418
2021-09-03,2.65418
2021-09-02,2.65418
2021-09-01,2.65418
2021-08-31,2.65418
2021-08-30,2.65418
2021-08-27,2.65418
2021-08-26,2.65418
2021-08-25,2.65418
2021-08-24,2.65604
2021-08-23,2.65604
2021-08-20,2.66176
2021-08-19,2.66176
2021-08-18,2.76403
2021-08-17,2.76403
2021-08-16,2.76403
2021-08-13,2.76403
2021-08-12,2.76403
2021-08-11,2.83101
2021-08-10,2.83101
2021-08-06,2.83101
2021-08-05,2.83101
2021-08-04,2.83101
2021-08-03,2.84625
2021-08-02,2.84625
2021-07-30,2.90014
2021-07-29,2.90014
2021-07-28,2.90014
2021-07-27,2.90014
2021-07-26,2.90014
2021-07-23,2.90014
2021-07-22,2.90014
2021-07-21,2.90014
2021-07-19,2.90014
2021-07-16,2.90014
2021-07-15,2.90014
2021-07-14,2.90014
2021-07-13,2.90014
2021-07-12,2.92284
2021-07-09,2.92284
2021-07-08,2.92284
2021-07-07,2.92284
2021-07-06,2.92284
2021-07-05,2.92284
2021-07-02,2.92284
2021-07-01,2.92284
2021-06-30,2.92284
2021-06-29,2.93973
2021-06-28,2.93973
2021-06-25,2.93973
2021-06-24,2.93973
2021-06-23,2.93973
2021-06-22,2.93973
2021-06-21,2.93973
2021-06-18,2.93973
2021-06-17,2.93973
2021-06-16,2.93973
2021-06-15,2.93973
2021-06-14,2.93973
2021-06-11,2.93973
