Date,Forecasted VaR
2021-12-31,3.90766
2021-12-30,3.90766
2021-12-29,3.93514
2021-12-28,3.93514
2021-12-27,3.96012
2021-12-24,4.02311
2021-12-23,4.02311
2021-12-22,4.02311
2021-12-21,4.02311
2021-12-20,4.02311
2021-12-17,4.02311
2021-12-16,4.04184
2021-12-15,4.04184
2021-12-14,4.04184
2021-12-13,4.04184
2021-12-10,4.04184
2021-12-09,4.04184
2021-12-08,4.04184
2021-12-07,4.05293
2021-12-06,4.06032
2021-12-03,4.06032
2021-12-02,4.06032
2021-12-01,4.07444
2021-11-30,4.11453
2021-11-29,4.11453
2021-11-26,4.11453
2021-11-25,4.11453
2021-11-24,4.11453
2021-11-23,4.11453
2021-11-22,4.11453
2021-11-19,4.11453
2021-11-18,4.139
2021-11-17,4.139
2021-11-16,4.139
2021-11-15,4.139
2021-11-12,4.13927
2021-11-11,4.13927
2021-11-10,4.13927
2021-11-09,4.13927
2021-11-08,4.13927
2021-11-05,4.13927
2021-11-04,4.13927
2021-11-03,4.13927
2021-11-02,4.13927
2021-11-01,4.13927
2021-10-29,4.13927
2021-10-28,4.13927
2021-10-27,4.13927
2021-10-26,4.13927
2021-10-25,4.13927
2021-10-22,4.2145
2021-10-21,4.2145
2021-10-20,4.2145
2021-10-19,4.2145
2021-10-18,4.2145
2021-10-15,4.2145
2021-10-14,4.2145
2021-10-13,4.2145
2021-10-12,4.2145
2021-10-11,4.2145
2021-10-08,4.2145
2021-10-07,4.2145
2021-10-06,4.2145
2021-10-05,4.2145
2021-10-04,4.2145
2021-10-01,4.2145
2021-09-30,4.2145
2021-09-29,4.2145
2021-09-28,4.2145
2021-09-27,4.2145
2021-09-24,4.2145
2021-09-23,4.2145
2021-09-22,4.2145
2021-09-21,4.2145
2021-09-20,4.2145
2021-09-17,4.2145
2021-09-16,4.2145
2021-09-15,4.2145
2021-09-14,4.2145
2021-09-13,4.2145
2021-09-10,4.2145
2021-09-09,4.2145
2021-09-08,4.2145
2021-09-07,4.2145
2021-09-06,4.2145
2021-09-01,4.2145
2021-08-31,4.2145
2021-08-30,4.2145
2021-08-27,4.2145
2021-08-26,4.2145
2021-08-25,4.2145
2021-08-24,4.2145
2021-08-23,4.2145
2021-08-20,4.2145
2021-08-19,4.2145
2021-08-18,4.2145
2021-08-17,4.2145
2021-08-16,4.2145
2021-08-13,4.2145
2021-08-12,4.2145
2021-08-11,4.2145
2021-08-10,4.2145
2021-08-09,4.2145
2021-08-06,4.2145
