Date,Forecasted VaR
2021-12-30,1.57592
2021-12-29,1.57592
2021-12-28,1.57592
2021-12-27,1.57592
2021-12-24,1.57592
2021-12-23,1.57592
2021-12-22,1.57592
2021-12-21,1.57592
2021-12-20,1.57592
2021-12-17,1.57592
2021-12-16,1.57592
2021-12-15,1.57592
2021-12-14,1.57592
2021-12-13,1.57592
2021-12-09,1.57592
2021-12-08,1.57592
2021-12-07,1.57592
2021-12-03,1.57592
2021-12-02,1.57592
2021-12-01,1.57592
2021-11-30,1.57592
2021-11-29,1.57592
2021-11-26,1.58183
2021-11-25,1.58183
2021-11-24,1.58183
2021-11-23,1.58183
2021-11-22,1.58183
2021-11-19,1.58183
2021-11-18,1.58183
2021-11-17,1.58183
2021-11-16,1.58205
2021-11-15,1.58205
2021-11-12,1.58205
2021-11-11,1.58376
2021-11-10,1.58376
2021-11-09,1.58376
2021-11-08,1.58376
2021-11-05,1.58387
2021-11-04,1.58387
2021-11-03,1.58387
2021-11-02,1.58387
2021-11-01,1.58387
2021-10-29,1.58387
2021-10-28,1.58387
2021-10-27,1.58387
2021-10-26,1.58387
2021-10-25,1.58689
2021-10-21,1.58689
2021-10-20,1.58689
2021-10-19,1.58689
2021-10-18,1.58689
2021-10-15,1.58689
2021-10-14,1.58689
2021-10-12,1.58689
2021-10-11,1.58689
2021-10-08,1.58689
2021-10-07,1.58689
2021-10-06,1.5976
2021-10-05,1.5977
2021-10-04,1.5977
2021-10-01,1.5977
2021-09-30,1.59986
2021-09-29,1.60008
2021-09-28,1.60008
2021-09-27,1.60008
2021-09-23,1.60008
2021-09-22,1.60008
2021-09-21,1.61936
2021-09-20,1.61936
2021-09-17,1.61936
2021-09-16,1.61936
2021-09-15,1.61936
2021-09-14,1.61936
2021-09-13,1.61936
2021-09-10,1.61936
2021-09-09,1.61936
2021-09-08,1.61936
2021-09-07,1.61936
2021-09-06,1.61936
2021-09-03,1.61936
2021-09-02,1.61936
2021-09-01,1.61936
2021-08-31,1.61936
2021-08-30,1.61936
2021-08-27,1.61936
2021-08-26,1.62042
2021-08-25,1.62527
2021-08-24,1.63138
2021-08-23,1.63138
2021-08-20,1.63138
2021-08-19,1.64159
2021-08-18,1.64159
2021-08-17,1.64159
2021-08-16,1.64159
2021-08-13,1.64159
2021-08-11,1.64159
2021-08-10,1.64159
2021-08-09,1.64159
2021-08-06,1.64159
2021-08-05,1.64494
2021-08-04,1.64789
2021-08-03,1.64789
2021-08-02,1.64789
2021-07-30,1.64789
2021-07-29,1.64789
2021-07-27,1.64789
2021-07-23,1.64789
2021-07-22,1.64789
2021-07-21,1.64789
2021-07-20,1.64789
2021-07-19,1.64789
2021-07-16,1.64789
2021-07-15,1.64789
2021-07-14,1.66144
2021-07-13,1.66144
2021-07-12,1.66144
2021-07-09,1.66191
2021-07-08,1.66191
2021-07-07,1.66191
2021-07-06,1.66191
2021-07-05,1.66191
2021-07-02,1.66191
2021-07-01,1.66191
2021-06-30,1.66191
2021-06-29,1.66191
2021-06-28,1.66689
2021-06-25,1.66689
2021-06-24,1.66689
2021-06-23,1.66689
2021-06-22,1.66689
